job_id,title,role,category,final_filename,save_dir,final_target_path,references,prompt_file,prompt
B01_001,Mat_HectonSurface_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,Mat_HectonSurface_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_001_Mat_HectonSurface_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\Mat_HectonSurface_Normal.png,Hecton planet surface mood reference if available. `LOOKDEV_APPROVED_REF_SEED_011.png` if geology seed exists.,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_001_Mat_HectonSurface_Normal.txt,"Create a premium heightfield source for the planet Hecton as an alien ocean-world survey surface, designed for conversion into a clean BC5 normal map. Build elegant large-scale landform relief: smooth abyssal shelves, soft basin ridges, continental mineral shelves, pearl-white sediment plains, opal fracture networks, and subtle turquoise hydrothermal seams. The image should feel scientific, expensive, and readable, like a high-resolution orbital geology plate prepared by a NASA ocean lab. Avoid crater spam, random noise, black pits, and dramatic landscape lighting; this is a material source, not a space painting. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
B01_002,Mat_Visor_Glass_Albedo.png,ALBEDO,HABITAT_INTERIORS,Mat_Visor_Glass_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_002_Mat_Visor_Glass_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\Mat_Visor_Glass_Albedo.png,`LOOKDEV_APPROVED_REF_SEED_005.png` Optional approved habitat material swatch anchor,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_002_Mat_Visor_Glass_Albedo.txt,"Create a seamless albedo source for premium pressure-rated visor glass used in HECTON-8 expedition helmets. Show a clean smoky-clear transparent polymer with a faint sea-green optical coating, subtle laminated layers, graphite gasket contact haze, delicate anti-fog wipe arcs, tiny hairline micro-scratches, soft pressure stress curves, and a few pale salt freckles near sealed edges. The material should feel wearable, expensive, aerospace-grade, and maintained. Keep the diffuse restrained and elegant; shine will come from shader reflection and roughness, not painted highlights. Do not create cracked horror glass or mirrored chrome. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
B01_003,ceiling_10_trimsheet_normal_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,ceiling_10_trimsheet_normal_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_003_ceiling_10_trimsheet_normal_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\ceiling_10_trimsheet_normal_Normal.png,`LOOKDEV_APPROVED_REF_SEED_001.png` `LOOKDEV_APPROVED_REF_SEED_003.png` if available,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_003_ceiling_10_trimsheet_normal_Normal.txt,"Create a beautiful modular abyssal habitat ceiling trim heightfield source for BC5 normal baking. Design recessed service channels, quiet acoustic baffles, gasketed inspection seams, countersunk fastener wells, cable raceway lips, shallow pressed ribs, and small maintenance hatch outlines. The construction language should be calm and premium: off-white ceramic-coated pressure panels, satin titanium ribs, graphite rubber separators, amber locator inserts, and pale mineral dust gathered only in the deepest grooves. Leave clean open panel areas so the ceiling feels engineered and spacious, not busy. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
B01_004,floor_05_stripes_basecolor_Albedo.png,ALBEDO,HABITAT_INTERIORS,floor_05_stripes_basecolor_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_004_floor_05_stripes_basecolor_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\floor_05_stripes_basecolor_Albedo.png,`LOOKDEV_APPROVED_REF_SEED_001.png` `LOOKDEV_APPROVED_REF_SEED_002.png` Optional approved habitat floor anchor after it exists,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_004_floor_05_stripes_basecolor_Albedo.txt,"Create a seamless albedo source for the first HECTON-8 prologue route floor. Make a confident modular floor panel with warm off-white composite pressure plates, satin graphite anti-slip insets, thin amber route stripes, restrained teal maintenance ticks, satin titanium edge rails, rubber isolation seams, and shallow drainage lines. The floor should look safe, premium, readable, and used with care, like a well-funded ocean research base. Add curated boot polish, soft scuffs in walking lanes, tiny edge chips, pale salt halos in seams, and subtle rubber sheen. Keep large shapes broad enough for gameplay navigation and close-up quality high enough for first-person inspection. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
B01_005,floor_05_trimsheet_normal_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,floor_05_trimsheet_normal_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_005_floor_05_trimsheet_normal_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\floor_05_trimsheet_normal_Normal.png,`LOOKDEV_APPROVED_REF_SEED_002.png` approved floor albedo anchor if available,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_005_floor_05_trimsheet_normal_Normal.txt,"Create a heightfield source for a clean modular habitat floor trim sheet normal map. Build shallow engineered geometry: fine anti-slip ridges, inset drainage channels, rounded composite panel seams, rubber gasket lips, titanium rail screw sockets, access plate bevels, quiet pressure-formed ribs, and small service cover outlines. The surface should feel strong, level, and premium underfoot. Keep the rhythm organized and the value structure balanced so the normal map will read clearly without shimmer. Avoid heavy dents, random cracks, and noisy scratches across every area. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
B01_006,floor_large_8x8_trimsheet_normal_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,floor_large_8x8_trimsheet_normal_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_006_floor_large_8x8_trimsheet_normal_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\floor_large_8x8_trimsheet_normal_Normal.png,`LOOKDEV_APPROVED_REF_SEED_002.png` approved floor anchor if available,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_006_floor_large_8x8_trimsheet_normal_Normal.txt,"Create a large-format 8x8 meter habitat floor heightfield source for BC5 normal baking. The design should feel like a spacious expedition deck: broad composite pressure plates, long satin titanium reinforcement spines, recessed utility covers, wide quiet anti-slip fields, soft gasket seams, sparse circular maintenance hatches, and shallow orientation strips. Keep the composition dignified and calm, with large clean shapes that will not shimmer in gameplay. Add only refined wear cues: polished foot-traffic arcs, pale mineral dust in seam corners, soft rubber compression on walking paths, and tiny paint abrasion on amber locator strips. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
B01_007,wall_01_2x3_a_stripes_basecolor_Albedo.png,ALBEDO,HABITAT_INTERIORS,wall_01_2x3_a_stripes_basecolor_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_007_wall_01_2x3_a_stripes_basecolor_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\wall_01_2x3_a_stripes_basecolor_Albedo.png,`LOOKDEV_APPROVED_REF_SEED_001.png` `LOOKDEV_APPROVED_REF_SEED_003.png` approved wall anchor if available,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_007_wall_01_2x3_a_stripes_basecolor_Albedo.txt,"Create a seamless albedo source for a 2x3 meter starter corridor wall stripe panel in a premium abyssal habitat. Use warm off-white pressure plating, satin titanium frame rails, graphite gasket borders, a slim amber direction stripe, and one restrained teal service stripe. The wall should feel safe, bright enough to read, and cleanly manufactured for a funded ocean research mission. Add soft hand scuffs near access zones, pale salt dust only in seams, tiny coating chips on hard edges, and mild cleaning swirls. Keep the panel hierarchy clear and calm. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
B01_008,wall_01_2x3_a_trimsheet_normal_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,wall_01_2x3_a_trimsheet_normal_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_008_wall_01_2x3_a_trimsheet_normal_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\wall_01_2x3_a_trimsheet_normal_Normal.png,`LOOKDEV_APPROVED_REF_SEED_003.png` approved wall anchor if available,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_008_wall_01_2x3_a_trimsheet_normal_Normal.txt,"Create a heightfield source for a 2x3 modular habitat wall trim sheet. Design shallow pressed geometry with rectangular service plates, soft bevels, gasket grooves, recessed fastener wells, narrow cable conduit covers, slim frame lips, and small inspection hatch outlines. The wall must feel precise, clean, and expensive, with smooth open plate fields between details so lighting can breathe. Use deliberate manufacturing rhythm and avoid random scratched clutter. This is a normal-map source for a maintained pressure habitat, not a ruined wall. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
B01_009,wall_01_4x3_c_labels_basecolor_Albedo.png,ALBEDO,HABITAT_INTERIORS,wall_01_4x3_c_labels_basecolor_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_009_wall_01_4x3_c_labels_basecolor_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\wall_01_4x3_c_labels_basecolor_Albedo.png,`LOOKDEV_APPROVED_REF_SEED_001.png` `LOOKDEV_APPROVED_REF_SEED_006.png` if terminal/no-text seed exists approved wall anchor if available,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_009_wall_01_4x3_c_labels_basecolor_Albedo.txt,"Create a seamless albedo source for a 4x3 meter premium habitat wall panel with technical label zones but no readable text. Use off-white ceramic pressure panels, graphite service bands, small amber locator blocks, teal maintenance tabs, satin titanium separators, and blank label plaques shaped like professional equipment tags. The design should imply organized engineering information while containing no letters, numbers, words, symbols, logos, or fake UI. Add tasteful edge wear, faint cleaning swirls, pale salt freckles in lower seams, and subtle discoloration around access plates. The panel should feel calm, bright, expensive, and practical. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
B01_010,wall_01_4x3_c_stripes_basecolor_Albedo.png,ALBEDO,HABITAT_INTERIORS,wall_01_4x3_c_stripes_basecolor_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch01_Blockers\B01_010_wall_01_4x3_c_stripes_basecolor_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\wall_01_4x3_c_stripes_basecolor_Albedo.png,`LOOKDEV_APPROVED_REF_SEED_001.png` `LOOKDEV_APPROVED_REF_SEED_003.png` approved wall anchor if available,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch01_Blockers\B01_010_wall_01_4x3_c_stripes_basecolor_Albedo.txt,"Create a seamless albedo source for a wide 4x3 meter HECTON-8 corridor wall stripe panel. Compose broad off-white pressure panels, a graphite lower service band, satin titanium separators, a thin amber route stripe, and a muted teal system stripe. The panel should guide the player through a bright underwater research corridor without becoming noisy signage. Add careful scuffs, rubbed corners, pale salt in lower seams, clean manufactured edges, and slight hand-polish near access zones. Keep the image attractive, balanced, and premium. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
