"Path","Line","Text","Severity","Reason"
"Assets/_Project/Scripts/EnvironmentalAnalyzerTool.cs","686","case ItemCategory.Material:","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/HectonSurvivalSystem.cs","2296","(item.category == ItemCategory.Material || item.category == ItemCategory.Organic);","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/ItemCatalog.cs","1150","case ItemCategory.Material:","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/PDAInventoryTab.cs","1657","case ItemCategory.Material:","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/PDAInventoryTab.cs","2572","case ItemCategory.Material: return ""MATERIAL"".AsSpan();","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/PDAInventoryTab.cs","2634","return item.category == ItemCategory.Material;","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/PDAInventoryTab.cs","2652","return category == ItemCategory.Material;","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/PDAInventoryTab.cs","3210","case ItemCategory.Material:","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/RecipeData.cs","184","case ItemCategory.Material:","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/SalvageSamplerTool.cs","717","ItemCategory.Material => ResolveLocalized(""ITEM_CATEGORY_MATERIAL"", ""Material""),","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/ScannerTool.cs","1947","return item.category == ItemCategory.Material || item.category == ItemCategory.Component;","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/ScannerTool.cs","2057","case ItemCategory.Material: return ""Material"";","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/Core/ConnectionSplineBatchRenderer.cs","591","if (batch.Material == null)","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/Core/ConnectionSplineBatchRenderer.cs","594","batch.Material.SetBuffer(s_FlexiblePipeInstancesId, batch.InstanceBuffer);","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/Core/ConnectionSplineBatchRenderer.cs","598","ApplyMaterialColor(batch.Material, batch.Color);","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/Core/ConnectionSplineBatchRenderer.cs","647","if (batch.InstanceCount <= 0 || batch.Mesh == null || batch.Material == null || batch.InstanceBuffer == null)","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/Core/ConnectionSplineBatchRenderer.cs","650","RenderParams renderParams = new RenderParams(batch.Material)","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
"Assets/_Project/Scripts/Core/ConnectionSplineBatchRenderer.cs","787","if (batch.Material != null)","REVIEW","Non-renderer material access; likely UI/TMP/custom pass, review allocation semantics"
