path,file_mib,triangles,geometry_estimate_mib,lod_detected,meta_is_readable,meta_mesh_compression,meta_optimize_mesh,meta_import_blend_shapes,meta_add_colliders,meta_generate_secondary_uv,meta_keep_quads,flags,recommendation
Assets/Feel/MMTools/Demos/MMGhostCamera/Models/MMGhostCameraCity.fbx,2.195,127645,18.990,false,0,0,,1,0,0,0,MESH_GEOMETRY_ESTIMATE_GT_16MIB_STATIC;MESH_GT_80K_ABSOLUTE_STATIC;MESH_REDLINE_GT_50K_NO_LOD;MESH_COMPRESSION_OFF_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,Add LOD0/LOD1/LOD2 or cull/impostor path before production visibility beyond 20m.
Assets/ScifiFacility/Models/structural/walls/viewing_deck.fbx,0.448,12778,1.901,false,1,2,,1,0,1,0,MESH_READ_WRITE_ENABLED_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,"Fix ModelImporter risk: disable Read/Write, BlendShapes, colliders, or compression-off unless CPU/hero proof exists."
Assets/_Project/Art/Materials/Meshy_AI_Alien_barnacles_clust_0301230506_texture.fbx,1.905,10000,1.488,false,0,0,,1,0,1,0,MESH_COMPRESSION_OFF_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,"Fix ModelImporter risk: disable Read/Write, BlendShapes, colliders, or compression-off unless CPU/hero proof exists."
Assets/ScifiFacility/Models/props/details/technical/detail_04_b.fbx,0.749,7377,1.097,false,1,2,,1,0,1,0,MESH_READ_WRITE_ENABLED_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,"Fix ModelImporter risk: disable Read/Write, BlendShapes, colliders, or compression-off unless CPU/hero proof exists."
Assets/_Project/Art/Models/Rocks/Rock 7/SAMMPLE.fbx,2.588,6519,0.970,false,0,0,,1,0,1,0,MESH_COMPRESSION_OFF_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,"Fix ModelImporter risk: disable Read/Write, BlendShapes, colliders, or compression-off unless CPU/hero proof exists."
Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_h.fbx,0.287,5388,0.802,false,1,2,,1,0,1,0,MESH_READ_WRITE_ENABLED_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,"Fix ModelImporter risk: disable Read/Write, BlendShapes, colliders, or compression-off unless CPU/hero proof exists."
Assets/ScifiFacility/Models/props/prop_14.fbx,0.221,5189,0.772,false,1,2,,1,0,1,0,MESH_READ_WRITE_ENABLED_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,"Fix ModelImporter risk: disable Read/Write, BlendShapes, colliders, or compression-off unless CPU/hero proof exists."
Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock_4.fbx,0.232,5000,0.744,false,0,0,,1,0,1,0,MESH_COMPRESSION_OFF_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,"Fix ModelImporter risk: disable Read/Write, BlendShapes, colliders, or compression-off unless CPU/hero proof exists."
Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Forest_Rock_Shelf_wgpqfjl_Mid.fbx,0.178,4038,0.601,false,0,0,,1,0,1,0,MESH_COMPRESSION_OFF_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,"Fix ModelImporter risk: disable Read/Write, BlendShapes, colliders, or compression-off unless CPU/hero proof exists."
Assets/ScifiFacility/Models/props/prop_10_base.fbx,0.110,3952,0.588,false,1,2,,1,0,1,0,MESH_READ_WRITE_ENABLED_STATIC_SUSPECT;MESH_BLENDSHAPES_IMPORT_ENABLED_STATIC_SUSPECT,"Fix ModelImporter risk: disable Read/Write, BlendShapes, colliders, or compression-off unless CPU/hero proof exists."
