"Path","Width","Height","StandaloneFormat","TextureCompression","EstimatedRGBA32MB","PotentialSavingsMB","Flags","CinematicFake"
"Assets/AmplifyImpostors/Plugins/EditorResources/Textures/About.png","482","150","Automatic","Uncompressed","0.276","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AmplifyImpostors/Plugins/EditorResources/Textures/Icon64.png","160","160","Automatic","Uncompressed","0.098","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/scene_box@1x.png","32","32","Automatic","Uncompressed","0.004","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/scene_box@2x.png","64","64","Automatic","Uncompressed","0.016","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/DarkSkin/hex_diameter@1x.png","32","32","Automatic","Uncompressed","0.004","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/DarkSkin/hex_diameter@2x.png","64","64","Automatic","Uncompressed","0.016","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/DarkSkin/hex_width@1x.png","32","32","Automatic","Uncompressed","0.004","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/DarkSkin/hex_width@2x.png","64","64","Automatic","Uncompressed","0.016","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/DarkSkin/lock_closed@1x.png","27","28","Automatic","Uncompressed","0.003","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/DarkSkin/lock_closed@2x.png","54","56","Automatic","Uncompressed","0.012","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
