contract_id,route_stage,owner,source_artifact,static_fact,evidence_label,unity_proof_required,reject_if
OCN-001,authority,2007 static packet,AGENTS.md;TASTE.md;VISION_LOCKS.md;water.md;rendering.md;shaders.md,Surface/shoreline/photic/medium-depth visuals must be bright readable premium and not hidden by noir darkness,STATIC_DOC,Reference comparison plus Compact/Middle/High/Ultra Game View captures,Surface or photic proof is dark muddy flat or below Subnautica-level floor
OCN-002,producer,OceanSinglePassRuntime,Assets/_Project/Scripts/Rendering/OceanSinglePass/OceanSinglePassRuntime.cs,VisualSyncTick resolves GlobalQualityWeight camera AUP and uploads ocean constants through double GraphicsBuffer LockBufferForWrite,STATIC_SOURCE,Profiler/GC proof and Frame Debugger binding proof,Hot upload allocates or uses managed SetData churn without proof
OCN-003,shoreline producer,ShorelineFoamGraftRuntime,Assets/_Project/Scripts/Rendering/OceanSinglePass/ShorelineFoamGraftContracts.cs,Shoreline foam params are produced as presentation-only DataVault rows 71940..71946,STATIC_SOURCE,Unity import and profiler proof for active rows and 0 B/frame,DTO layout or ownership changes per quality tier
OCN-004,dto contract,ShorelineFoamParamsDTO,Assets/_Project/Scripts/Rendering/OceanSinglePass/ShorelineFoamGraftContracts.cs,DTO is 32 bytes with FoamIntensityAndFalloff at offset 0 and QualityAndLimits at offset 16,STATIC_SOURCE,Unity Console/import and layout validator proof,Properties managed refs or offset drift appear
OCN-005,quality scaling,ShorelineFoamMath,Assets/_Project/Scripts/Rendering/OceanSinglePass/ShorelineFoamGraftContracts.cs,GlobalQualityWeight scales active limit shader loop decay intensity falloff depth bias and normal perturbation,STATIC_SOURCE,Capture all numeric quality lanes plus profiler deltas,Binary low/high switch changes gameplay truth DTO layout or ownership
OCN-006,render consumer,HectonSinglePassOceanFeature,Assets/_Project/Scripts/Rendering/OceanSinglePass/HectonSinglePassOceanFeature.cs,RecordRenderGraph imports ocean constant buffer and shoreline foam buffer into Hecton Ocean Single-Camera Depth,STATIC_SOURCE,RenderGraph Viewer or Frame Debugger named pass proof,Pass missing hidden blit chain active or shoreline buffer unbound
OCN-007,depth foam shader,Hidden/Hecton8/OceanDepthFoam,Assets/_Project/Art/Shaders/Hidden_Hecton_OceanDepthFoam.shader,Shader reconstructs world position from active camera depth and computes shoreline/absorption mask,STATIC_SOURCE,Frame Debugger texture binding plus visual waterline capture,Aux camera Camera.Render or ReadPixels route replaces screen-depth fake
OCN-008,wake compute,Hecton_WakeDisplacement.compute,Assets/_Project/Art/Shaders/Hecton_WakeDisplacement.compute,Wake compute caps event budget by GlobalQualityWeight and writes one RenderGraph-owned wake texture,STATIC_SOURCE,GPU profiler and Frame Debugger proof for Hecton Ocean Wake Compute,Compute runs over budget with no load-shed path
OCN-009,atmosphere bridge,ShinobuOceanSurfaceAtmosphereRuntime,Assets/_Project/Scripts/Atmosphere/ShinobuOceanSurfaceAtmosphereRuntime.cs,Atmosphere publishes ocean shader globals wave buffer radial LOD surface flow and optional async wave-height readback,STATIC_SOURCE,Readback cadence profiler proof when enabled and shader global proof,Same-frame blocking readback or gameplay reliance on optional readback
OCN-010,waterline signal,WaterlineBreachSignal,Assets/_Project/Scripts/Atmosphere/ShinobuOceanSurfaceAtmosphereContracts.cs,Waterline breach signal is a 64-byte explicit unmanaged SignalBus payload,STATIC_SOURCE,Play Mode signal evidence if water entry/exit is claimed,Managed event or string route owns waterline truth
OCN-011,crest prefab boundary,Ocean_Crest.prefab,Assets/_Project/Prefabs/Ocean_Crest.prefab,_createSeaFloorDepthData and _createFoamSim are 0 by static YAML,STATIC_SOURCE,Unity Inspector and Frame Debugger proof that Crest depth/foam cameras remain disabled,Crest foam/depth hidden render work is active without owner approval
OCN-012,crest vendor boundary,Crest donor,Assets/Crest/Crest/**,Crest remains vendor-owned and must not be edited by this route,STATIC_SOURCE,Git diff and Unity import proof after owner work,Vendor files are modified or material clones/overrides are added as workaround
OCN-013,crest textures,Crest texture candidates,Assets/Crest/Crest/Textures/WaveNormals/WaveNormals.png;Foam2.png;foam.png;Caustics/Caustics_tex_color.png,Wave normal foam and caustic texture files exist as candidate source inputs,STATIC_SOURCE,Unity material slot and import settings proof,Texture existence is claimed as active visual proof
OCN-014,coastline material gap,1907 package,Docs/Reports/Batch19/1907_TERRAIN_COASTLINE_MATERIAL_PACKAGE.md,Packed foam ribbon waterline wet/dry basalt biome control and caustic sources remained missing or pending,STATIC_DOC,Unity material slot proof and regenerated source package proof,Flat foam strip glossy wet rock or empty mask slots pass review
OCN-015,screenshot route,URP screenshot pipeline,Docs/ARCHITECTURE/URP_SCREENSHOT_PIPELINE.md,Runtime screenshot/proof route must avoid Camera.Render and ReadPixels and use no-Assets output paths,STATIC_DOC,Proof packet manifest and artifact paths under Docs/Reports/Batch20/VisualProof,Screenshots or profiler artifacts are stored under Assets
OCN-016,black-box telemetry,Ocean render telemetry,OceanSinglePassContracts.cs;ShorelineFoamGraftContracts.cs,300-row telemetry rings exist in DTO contracts but dump write routines are not proven by this worker,STATIC_SOURCE,Forced dump artifact under Docs/AgentLogs with Unity trigger proof,Report claims black-box dump works without artifact

