Priority,Front,Blocker,EvidenceFiles,FirstOwner,RequiredProof,ForbiddenShortcut,LowTierConsequence,MiddleTierConsequence,HighTierConsequence,UltraTierConsequence
P0,h8_1475_proof_tool_integrity,"H8VisualProofCapture1912 has editor-mutating probe paths and a deleted SurfaceWaterReadability shader reference that can produce false water/h8_1475 proof.","H8_VISUAL_PROOF_CAPTURE_1912_STATIC_RISK_REVIEW_20260605.md; SURFACE_WATER_RECOVERY_PROBE_1914_STATIC_REVIEW_20260605.md; ASSET_OWNER_36_H8_1475_PROOF_EXECUTION_PACKET.md; ASSET_OWNER_37_H8_1475_ANTI_FALSE_PROOF_ALIGNMENT_PACKET.md",h8_1475 proof owner plus visual QA controller,"Clean process gate; no-mutation capture method; scene dirty-state before/after; canonical HectonProofPackets output; no editor_only_unsaved metadata; no missing shader path","Do not accept editor-mutated diagnostic screenshots or raw MCP captures as canonical visual proof","Proof class is invariant; compact capture still needs premium readable surface/water","Proof class is invariant; middle capture must show route-owned materials","Proof class is invariant; high capture must spend budget on richer surface detail after proof","Proof class is invariant; ultra capture may add overdetail but cannot change truth label"
P0,water_foam_contact,"Rejected foam/contact source is active-route reachable.","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL_20260605.csv; TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.csv; ASSET_OWNER_06_UNITY_READBACK_EXECUTION_PACKET.md",Unity material readback plus texture authoring,"Crest/ocean material slot table; bright shoreline screenshot; Frame Debugger notes; no Crest wrapper","Do not promote foam.png or tune darkness/fog to hide weak contact art","Preserve readable premium waterline without flat sheet","Use clean role-owned contact masks","Spend budget on wet-edge breakup and foam detail","Layer richer shoreline response after render and memory proof"
P0,flora_coral_proxy,"WorldProceduralProxy flora/coral/kelp material contamination reaches active world evidence.","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL_20260605.csv; VISUAL_MESH_ASSET_TAXONOMY_20260605.csv; MESH_PREFAB_REVIEW_QUEUE_20260605.csv",Unity material readback plus mesh/prefab owner,"Active material readback; final non-proxy material proof; LOD/silhouette screenshots","Do not use proxy or placeholder materials as low-tier fallback","Preserve organic silhouettes and material identity","Use final non-proxy material stacks","Increase near-field flora detail after proof","Extend density and LOD residency after proof"
P0,audio_musicdirector_mixer,"MusicDirector music/stinger mixer refs are null in static config evidence.","AUDIO_PROFILE_ROUTE_MATRIX_20260605.csv; AUDIO_ASSET_TAXONOMY_20260605.csv; AUDIO_PROFILE_USAGE_REVIEW_20260605.md",Audio/MusicDirector owner,"Unity config readback; mixer route or native/DSP bypass proof; listening priority plan","Do not treat profile clip refs as mix proof","Admit breath/warnings/UI before music beds","Prove profile routing and ducking","Add transition/stinger variety only after cooldown proof","Layer richer mix without changing ownership or release order"
P0,audio_player_direct_refs,"Player.prefab has direct AudioClip refs without owner/release/playback proof.","AUDIO_DIRECT_REF_DETAIL_20260605.csv; AUDIO_PROFILE_ROUTE_MATRIX_20260605.csv; AUDIO_LISTENING_PASS_QUEUE_20260605.csv",Audio lifecycle owner,"Prefab readback; owner ledger; load/release route; playback route; no-allocation proof","Do not remove/reroute refs from static CSV alone","Prioritize player-critical cues and release ownership","Prove direct-ref exceptions or route migration","Expand variety only after lifecycle proof","Add richer cue layering after proof"
P0,audio_import_authority,"Audio import policy remains authority-conflicted.","AUDIO_IMPORT_POLICY_EXCEPTION_TABLE_20260605.csv; AUDIO_PROFILE_ROUTE_MATRIX_20260605.csv; AUDIO_IMPORT_POLICY_DECISION_BRIEF_3217_20260605.md",Audio policy owner,"Stable authority decision; import readback plan; Memory/GC proof target","Do not mass edit import settings from recommendation docs","Prevent generic streaming SFX and bad player-loop latency","Use duration-plus-route policy after owner decision","Increase bank breadth after memory proof","Richer mix/residency only after proof"
P0,addressables_ownership,"Addressables groups/keys/settings remain planning only.","ADDRESSABLES_ASSET_GROUP_PLAN_20260605.csv; ASSET_PLANNING_CONSOLIDATION_3222_20260605.md; ADDRESSABLES_STATIC_COVERAGE_GAP_3218_20260605.md",Addressables owner,"Unity settings/group/catalog readback; handle/release plan; memory proof","Do not create groups/keys/catalogs from planning docs alone","Protect compact residency and release discipline","Define stable groups and labels","Prefetch richer sets after proof","Extend residency only with memory proof"
P1,sky_aegir_cloud,"Sky/Aegir/cloud sources are reachable but hero slot and bright-route proof are absent.","TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.csv; ASSET_PROOF_ARTIFACT_INDEX_20260605.md; VISUAL_ASSET_REVIEW_QUEUE_20260605.csv",Unity sky/material owner,"Material slot table; bright surface screenshot; Frame Debugger notes","Do not use dark panoramas or soft baked disc as final hero proof","Keep bright readable surface sky","Use route-owned cloud/Aegir material stack","Add richer cloud/Aegir response","Layer atmospheric overdetail after proof"
P1,terrain_geology,"Terrain/geology sources are reachable but clean PBR and route proof are absent.","TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.csv; TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL_20260605.csv; ASSET_PROOF_ARTIFACT_INDEX_20260605.md",Terrain/geology owner,"Material/terrain readback; clean PBR proof; tile seam proof; route screenshot; memory proof","Do not import generated source packs directly","Preserve material identity and route landmarks","Use clean role-owned terrain stacks","Add wet breakup and geology detail","Use hero geology overdetail after proof"
P1,ui_oxygen,"Detailed oxygen sprite source is not proven bound; mask silhouette is not colored icon proof.","UI_SPRITE_ROUTE_STATIC_TABLE_3216_20260605.md; ASSET_PROOF_ARTIFACT_INDEX_20260605.md; VISUAL_ASSET_REVIEW_QUEUE_20260605.csv",UI sprite owner,"HUD binding readback; sprite import/atlas proof; compact readability screenshot","Do not treat oxygen-tank.png mask as final colored HUD icon","Keep oxygen readable at compact scale","Use atlas/import proof","Add richer HUD material response","Extend UI detail without route confusion"
