file,reference_type,evidence,risk,action
"Assets/_Project/Prefabs/Construction/Final/PFB_SargassumCollapseChunk.prefab","owned target prefab","Production Final path; root GameObject PFB_SargassumCollapseChunk; root script Hecton8.World.SargassumCollapseChunk; visible child Visual uses Unity built-in mesh m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Production-path primitive Final; visible art fails generated/authoring floor.","Do not ship as-is. Rebuild visible mesh/LOD/material proof or quarantine after feature owner fences references."
"Assets/_Project/Prefabs/Construction/Final/PFB_SargassumCollapseChunk.prefab.meta","prefab GUID","GUID 9db2f4052d714d29bc4e7a55d3114a59. Static GUID scan found no active serialized scene/data/prefab reference outside the prefab meta itself.","No active serialized placement proven, but not proof of safe deletion because path-based editor fallback exists.","Preserve GUID/path if rebuilding. If quarantining or deleting, move/delete prefab and meta together only after path fallback is removed or repointed."
"Assets/_Project/Scripts/World/SargassumGlobalDragManager.cs","runtime owner source","Field collapseChunkPrefab exists; TrySpawnCollapseChunks and RegisterCollapseChunkImpact spawn from it; editor OnValidate loads Assets/_Project/Prefabs/Construction/Final/PFB_SargassumCollapseChunk.prefab when null.","Latent relink risk. Manager validation can restore reference from production Final path even when serialized reference is absent.","Feature owner must either retain a rebuilt final prefab at this path or explicitly remove/repoint the fallback before quarantine."
"Assets/_Project/Scripts/World/SargassumCollapseChunk.cs","behavior script source","Pooled rigidbody collapse chunk behavior with ActivateChunk, Tick, FixedTick, LateFrameTick, pool/despawn/scrap/silt/scavenger hooks.","Prefab is not a harmless decorative orphan; it is tied to an active runtime feature path.","Rebuild should preserve behavior contract and collider proxy semantics unless feature owner intentionally retires collapse chunks."
"Docs/Reports/Batch18/1851_GENERATED_ASSET_PRODUCTION_AUDIT.md","direct audit evidence","Report contains FINAL_PREFAB_BUILTIN_PRIMITIVE_MESH for Assets/_Project/Prefabs/Construction/Final/PFB_SargassumCollapseChunk.prefab.","Existing direct production Final audit error confirmed.","Keep direct Final root primitive scan. Do not rely only on family links."
"Docs/Reports/Batch18/1852_PROCEDURAL_PLACEHOLDER_FINAL_GATE.md","gate evidence","Report states SargassumCollapseChunk is additionally caught by direct production path scan despite not being caught as current final-ready family link.","Family-link validators alone miss this class of production-path primitive.","Add/retain direct path gate and family-independent prefab root scanning."
"Docs/Reports/Batch18/1853_PRIMITIVE_FINAL_REPLACEMENT_PLAN.md","prior replacement plan","Report classifies PFB_SargassumCollapseChunk as the extra unlinked production-path primitive final; requires dev/proxy quarantine or non-primitive rebuild.","Existing plan agrees with static classification.","Use this packet as final mutation guide for Sargassum-specific handling."
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Scrap.mat","current material reference","Prefab MeshRenderer uses GUID 1ab6d90547f252c41bb386cefc8d12c2; material has empty texture slots and generic scrap color.","Not acceptable as primary visible organic sargassum collapse material.","Use only for intentional embedded salvage shards. Primary material must be organic wet sargassum."
"Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_sargassum_leaf_scraps.mat","candidate material family","Sargassum leaf scraps material exists but static inspection shows texture slots pending/empty.","Potential semantic match, not complete proof-ready production material by itself.","May be upgraded or referenced by rebuild after texture/material proof exists."
"Assets/_Project/Prefabs/Nature/Flora/PFB_Sargassum_Type2.prefab","organic reference asset","Uses generated Sargassum LOD mesh assets and LODGroup; relevant organic silhouette/material reference, not direct collapse replacement.","Useful style/source reference only.","Use as reference for generated organic mass, LOD chain, and material family."
"Assets/_Project/Art/Meshes/Generated/Sargassum/GEN_Sargassum_Type2_LOD0.asset","reference generated mesh","Generated Sargassum LOD0 mesh asset exists for live flora family.","Proof that non-primitive generated sargassum mesh route already exists.","Collapse chunk rebuild should create its own broken/torn chunk LODs, not reuse a live plant mesh blindly."
"Assets/_Project/Scenes + Assets/_Project/Data + Assets/_Project/Prefabs static scan","active placement scan","Exact prefab GUID/path/name scan found no active serialized scene/data/prefab placement outside the prefab itself.","No production placement proven by static serialization; runtime fallback still prevents orphan classification.","Treat as latent relink risk, not safe deletion."
"Assets/_Project/Data/Flora and Assets/_Project/Prefabs/Nature/Flora sargassum assets","family/source scan","Sargassum flora templates/proxies/materials exist, but no direct final-ready family link to PFB_SargassumCollapseChunk was found.","Current audit gap is family linkage, not direct path detection.","Future validators should check both direct Final roots and semantic sargassum/collapse family outputs."
