packet_id,loc_id,locale,source_voice,subtitle_text,target_duration_seconds,caption_priority,source_noise,rtl_or_cjk_note,review_status
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_en_US,en_US,Automated Broadcast,Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ar_SA,ar_SA,Automated Broadcast,[AR] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_de_DE,de_DE,Automated Broadcast,[DE] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_es_ES,es_ES,Automated Broadcast,[ES] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_fr_FR,fr_FR,Automated Broadcast,[FR] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_he_IL,he_IL,Automated Broadcast,[HE] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_id_ID,id_ID,Automated Broadcast,[ID] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ja_JP,ja_JP,Automated Broadcast,[JA] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ko_KR,ko_KR,Automated Broadcast,[KO] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_nl_NL,nl_NL,Automated Broadcast,[NL] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_pl_PL,pl_PL,Automated Broadcast,[PL] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_pt_BR,pt_BR,Automated Broadcast,[PT] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ru_RU,ru_RU,Automated Broadcast,Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_uk_UA,uk_UA,Automated Broadcast,[UK] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_zh_CN,zh_CN,Automated Broadcast,[ZH] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_en_US,en_US,Automated Broadcast,Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ar_SA,ar_SA,Automated Broadcast,[AR] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_de_DE,de_DE,Automated Broadcast,[DE] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_es_ES,es_ES,Automated Broadcast,[ES] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_fr_FR,fr_FR,Automated Broadcast,[FR] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_he_IL,he_IL,Automated Broadcast,[HE] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_id_ID,id_ID,Automated Broadcast,[ID] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
