packet_id,packet_hash_hex,packet_hash_uint,release_set,primary_component,primary_field,secondary_component,secondary_field,suggested_world_target,unlock_moment,notes
P001_CRASH_SHELF,0xBBDE0731,3151890225,RS001_FIRST_DESCENT,NarrativeDiscovery,appliedLorePacketHash,NarrativeSpatialTriggerAuthoring,AppliedLoreHash,Crash shelf drop shell or first shelter trigger,First capsule inspection or first shelter activation,Use direct interaction first; AUP trigger is acceptable if first shelter is proximity-driven.
P002_BLACK_KEEL_CONTACT,0x29404F82,692080514,RS001_FIRST_DESCENT,MessageTerminal,appliedLorePacketHash,NarrativeDiscovery,appliedLorePacketHash,Service buoy signal mast or damaged uplink box,First readable Black Keel handshake,Terminal access is preferred because the packet has strong terminal/audio surfaces.
P003_BARNARD_MARK,0xE1A514C7,3785692359,RS001_FIRST_DESCENT,NarrativeDiscovery,appliedLorePacketHash,NarrativeSpatialTriggerAuthoring,AppliedLoreHash,Worker locker shift board or scratched Barnard stamp,First colony-human identity clue,Bind to a physical mark rather than a generic container.
P004_BLUE_DEBT,0x6F61C092,1868677266,RS001_FIRST_DESCENT,ScannableFragment,appliedLoreFinalPacketHash,NarrativeDiscovery,appliedLorePacketHash,Pressure casket blue debt sample,Completed scan or sample extraction,Prefer scan completion; direct interaction can unlock if sample handling is not built yet.
P005_REPAIR_SCAR,0xC4EDBEBA,3303915194,RS001_FIRST_DESCENT,ScannableFragment,appliedLoreHalfPacketHash,ScannableFragment,appliedLoreFinalPacketHash,Atlas repair scar or drone nest seam,Half scan reveals category error; full scan confirms repair logic,Can use same packet at final only if staged scan UI is not ready.
P006_DEAD_CLAIM_CACHE,0x796A7B58,2037021528,RS002_DEEPENING_DESCENT,NarrativeDiscovery,appliedLorePacketHash,MessageTerminal,appliedLorePacketHash,Dead Marauder cache or sealed claim tube,Opening cache or reading claim note,Good early replay seed variant packet.
P007_BRINE_STAIR,0xB8462357,3091604311,RS002_DEEPENING_DESCENT,ScannableFragment,appliedLoreFinalPacketHash,NarrativeSpatialTriggerAuthoring,AppliedLoreHash,Brine stair thermal descent marker,First confirmed brine route scan,Use AUP trigger only if route discovery is location-based.
P008_EVACUATION_HOLD,0xBC39FDD7,3157917143,RS002_DEEPENING_DESCENT,MessageTerminal,appliedLorePacketHash,NarrativeDiscovery,appliedLorePacketHash,Evacuation hold manifest terminal,First manifest access,Terminal route is canonical; direct prop mark can support damaged terminal variants.
P009_BOTTOM_FACTORY,0x1444CE45,340053573,RS002_DEEPENING_DESCENT,ScannableFragment,appliedLoreFinalPacketHash,NarrativeSpatialTriggerAuthoring,AppliedLoreHash,Factory-temple threshold scan,First full bottom-factory classification,Do not unlock in shallow biomes.
P010_PAYLOAD_WINDOW,0x2F1F093E,790563134,RS002_DEEPENING_DESCENT,MessageTerminal,appliedLorePacketHash,NarrativeDiscovery,appliedLorePacketHash,Payload relay console or late carrier channel,First false-exit or payload-window route,Keep as late-game gated content.
P011_DOMAIN_MARKS_2190,0x108B72AE,277574318,RS003_HUMAN_SPACE_AEGIR_ROUTE,NarrativeDiscovery,appliedLorePacketHash,NarrativeSpatialTriggerAuthoring,AppliedLoreHash,Domain stamp plate on equipment or cargo,First domain mark inspection,Can appear in several seeds; one unlock is enough.
P012_RELAY_SPINE,0x88B4DC98,2293554328,RS003_HUMAN_SPACE_AEGIR_ROUTE,MessageTerminal,appliedLorePacketHash,NarrativeDiscovery,appliedLorePacketHash,Relay cabinet buffer or comms maintenance panel,First delayed relay log,Terminal route preferred for hard-sci-fi delay exposition.
P013_NEARLIGHT_SHIP_CLASSES,0x3DA55C38,1034247224,RS003_HUMAN_SPACE_AEGIR_ROUTE,MessageTerminal,appliedLorePacketHash,NarrativeDiscovery,appliedLorePacketHash,Carrier manifest or orbital vehicle plate,First ship-class reference,Supports Black Keel as claim-pool tender rather than hero ship.
P014_AEGIR_ROUTE_WINDOW,0x3C0D7D62,1007517026,RS003_HUMAN_SPACE_AEGIR_ROUTE,MessageTerminal,appliedLorePacketHash,NarrativeSpatialTriggerAuthoring,AppliedLoreHash,Orbital window console or sky timing station,First route-window calculation,Use near rescue/payload systems, not random shallow loot.
P015_BLACK_KEEL_LEDGER,0x8E6BB94F,2389424463,RS003_HUMAN_SPACE_AEGIR_ROUTE,MessageTerminal,appliedLorePacketHash,NarrativeDiscovery,appliedLorePacketHash,Black Keel ledger terminal or claim debt record,First claim/debt ledger access,Should imply custody and hidden priority hooks without making the ship personal luxury.
