id,category,artifact_path,field_or_claim,value,evidence_class,reachability_impact,recommended_owner_action
R001,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_CopperVein.asset,stableId,resource.node.copper_vein,static_yaml,CopperVein identity for first-hour copper audit,Keep stable ID fixed unless migration/update proof exists
R002,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_CopperVein.asset,requiredToolClass,2 Drill,static_yaml,Blocks starter unless Drill route exists,Author SeafloorDrill item/prefab/loadout or route copper elsewhere
R003,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_CopperVein.asset,depth_range_m,40-420,static_yaml,Only 40-50 m is within Standard Suit safe depth,Constrain first-hour copper placement to shallow safe band
R004,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_CopperVein.asset,yield,Data_Copper amount 1-2 weight 1 defaultLootCount 2,static_yaml,Harvest target item is correct for quest_copper_sample,Prove runtime harvest grants Data_Copper
R005,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_FiberKelpStand.asset,tool_and_depth,Any class 0 depth 0-140 probability 0.82 yield Data_FiberKelp,static_yaml,Reachable starter raw resource candidate,Use only if recipe route needs fiber and placement proof exists
R006,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_SilicaShardCluster.asset,tool_and_depth,Any class 0 depth 0-260 probability 0.78 yield Data_SilicaShards,static_yaml,Reachable starter raw resource candidate,Use only with authored placement and quest/craft proof
R007,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_TitaniumScrap.asset,tool_and_depth,Salvage class 4 depth 0-220 probability 0.88 yield Data_TitaniumScrap,static_yaml,Titanium resource-node path blocked unless SalvageSampler is starter/unlocked,Grant/unlock SalvageSampler or route titanium through outcrop
R008,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_MembraneTissueBloom.asset,tool_and_depth,Any class 0 depth 80-460 probability 0.60 yield Data_MembraneTissue,static_yaml,Ingredient for Emergency O2 Canister starts beyond 50 m safe depth,Do not rely on canister crafting before depth support unless placed shallow alternative exists
R009,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_HydrocarbonResinPod.asset,tool_and_depth,Any class 0 depth 120-540 probability 0.62 yield Data_HydrocarbonResin,static_yaml,Potential fiber mesh chain ingredient but beyond starter safe depth,Keep out of first-hour critical route unless route oxygen/depth support proven
R010,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_SulfurVentClump.asset,tool_and_depth,Any class 0 depth 120-680 probability 0.56 yield Data_SulfurClumps,static_yaml,Potential sealant/electrolyte economy ingredient but beyond starter safe depth,Do not gate first hour on it without proof
R011,resource_node,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_SilverVein.asset,tool_and_depth,Drill class 2 depth 180-620 probability 0.58 yield Data_SilverOre,static_yaml,Not starter-safe through vein path,Keep outside first-hour critical path
