role_id,domain,role_name,credible_existing_source,status,evidence_class,evidence,rejection_or_gap,next_required_source
TRANSPORT_CargoSled_HULL,transport,CargoSled pressure/load-frame hull,"Assets/_Project/Art/RuntimeShell1428/MAT_H8Shell_PressureHull.mat; Assets/_Project/Art/RuntimeShell1428/H8_Shell_Submarine_WetSteel.mat; Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_WetPressureMetal.mat",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"Current prefab uses built-in cube at Assets/_Project/Prefabs/Transport/PFB_CargoSled_Transport.prefab:49 and unresolved material GUID at line 96; candidate materials exist but no albedo/normal/MRAO maps are assigned in inspected YAML.","Current candidate materials are flat parameter materials, not final PBR texture sets; default/unresolved material is rejected.","Author transport-specific albedo, BC5 normal, packed MRAO, wetness/wear/decal mask for sled hull/load rails."
TRANSPORT_CargoSled_RUBBER_GRIP,transport,CargoSled rubber pads/grips/tow buffers,"MISSING_SOURCE_REQUIRED",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"No project-owned rubber material with texture role maps was found in targeted Assets/_Project material/texture scan.","Placeholder construction materials and package/cache/default routes are rejected.","Author matte rubber/gasket albedo, normal, MRAO and edge-wear mask for pads/handles/straps."
TRANSPORT_CargoSled_LABEL_TRIM,transport,CargoSled labels/clamps/hazard trims,"Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_WornLabel.mat; Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_WornLabelWhite.mat; Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_OldAmberPaint.mat; Assets/_Project/Art/RuntimeShell1428/MAT_H8Shell_AmberSignal.mat; Assets/_Project/Art/RuntimeShell1428/MAT_H8Shell_CyanSignal.mat",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"Named label/signal materials exist; inspected RuntimeVisualProof family uses color parameters with no assigned texture maps for most slots.","Flat color signal/label materials are trim placeholders only; no decal atlas or wear mask proven.","Author trim/decal atlas with worn service labels, clamp wear, hazard paint chips, packed mask channels."
TRANSPORT_ExosuitFrame_FRAME,transport,ExosuitFrame structural metal/composite frame,"Assets/_Project/Art/RuntimeShell1428/MAT_H8Shell_PressureHull.mat; Assets/_Project/Art/RuntimeShell1428/H8_Shell_Submarine_WetSteel.mat; Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_WetEdgeSteel.mat",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"Current prefab uses built-in cube at Assets/_Project/Prefabs/Transport/PFB_Exosuit_Frame_Transport.prefab:49 and unresolved material GUID at line 96; candidate metal materials exist.","No authored exosuit-frame texture set or mesh-slot manifest exists; blockout/default materials rejected.","Author frame plate albedo, BC5 normal, packed MRAO, hydraulic grime, scrape/wear masks."
TRANSPORT_ExosuitFrame_RUBBER_SEALS,transport,ExosuitFrame seals/grips/straps,"MISSING_SOURCE_REQUIRED",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"No project-owned rubber/seal material with mapped albedo/normal/MRAO was found in targeted scan.","Construction placeholder and third-party ScifiFacility rubber candidates are not accepted first-party sources.","Author rubber/seal material set with matte roughness, pressure crease normals, AO and wetness mask."
TRANSPORT_ExosuitFrame_SIGNAL_LABELS,transport,ExosuitFrame labels/latches/instrument trims,"Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_PlayerSuitCyanEdge.mat; Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_PlayerSuitAmberLatch.mat; Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_WornLabel.mat",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"Cyan/amber/worn-label material names exist and are semantically close to latches/instrument trims.","Inspected materials are color/emission values without assigned final decal/mask textures.","Author exosuit trim/decal atlas for service marks, latch chips, instrument strips, emission mask."
TRANSPORT_MicroSub_HULL,transport,MicroSub pressure hull,"Assets/_Project/Art/RuntimeShell1428/H8_Shell_Submarine_WetSteel.mat; Assets/_Project/Art/RuntimeShell1428/MAT_H8Shell_PressureHull.mat; Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_WetPressureMetal.mat",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"Current prefab uses built-in cube at Assets/_Project/Prefabs/Transport/PFB_MicroSub_Transport.prefab:49 and unresolved material GUID at line 96; submarine wet steel material exists.","No micro-sub-specific PBR maps, wear masks, pressure-vessel panel atlas, or viewport-linked material manifest found.","Author rounded-hull albedo, normal, packed MRAO, waterline grime, salt/corrosion, pressure-panel decal mask."
TRANSPORT_MicroSub_GLASS,transport,MicroSub viewport/glass/lens,"Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_DirtyPressureGlass.mat; Assets/_Project/Art/RuntimeShell1428/H8_Shell_1428_BlackGlass.mat; Assets/_Project/Art/RuntimeShell1428/H8_Shell_1428_HazeGlass.mat",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"DirtyPressureGlass and Shell glass materials exist as transparent glass candidates.","DirtyPressureGlass and shell glass inspected as parameter materials; no viewport scratch/droplet texture set bound for transport glass.","Author viewport glass with scratch normal, grime, droplet/runoff/wetness mask and compact-safe opaque fallback."
TRANSPORT_MicroSub_TRIM,transport,MicroSub labels/clamps/signal trims,"Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_WornLabel.mat; Assets/_Project/Art/RuntimeShell1428/MAT_H8Shell_AmberSignal.mat; Assets/_Project/Art/RuntimeShell1428/MAT_H8Shell_CyanSignal.mat",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"Named label and signal materials exist.","No micro-sub decal atlas, clamp wear mask, or emission trim texture proven.","Author service label/decal atlas, clamp-edge wear mask, emissive trim mask."
TRANSPORT_ScoutGlider_BODY,transport,ScoutGlider directional body/fins/battery shell,"Assets/_Project/Art/RuntimeShell1428/H8_Shell_1428_WetGraphite.mat; Assets/_Project/Art/RuntimeShell1428/H8_Shell_Submarine_WetSteel.mat; Assets/_Project/Art/Materials/RuntimeVisualProof/MAT_RuntimeVisualProof_BlackHullNoir.mat",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"Current prefab uses built-in cube at Assets/_Project/Prefabs/Transport/PFB_ScoutGlider_Transport.prefab:49 and unresolved material GUID at line 96; graphite/hull materials exist.","No authored glider body material texture set or fins/battery slot manifest found.","Author glider graphite/composite albedo, normal, packed MRAO, fin scrape, battery wear, hydrodynamic grime mask."
TRANSPORT_ScoutGlider_GRIPS_RUBBER,transport,ScoutGlider hand/ride rails and rubber grips,"MISSING_SOURCE_REQUIRED",MISSING_SOURCE_REQUIRED,STATIC_SOURCE,"No first-party rubber material with final texture-role maps found in targeted scan.","Flat color or third-party rubber is rejected without ownership/import proof.","Author grip rubber albedo, normal, MRAO, hand-wear/salt mask."
