"channel_name","channel_profile_url","country_candidates","source_games","source_segments","surfaces_seen","raw_occurrences","max_public_metric_seen","recommended_segment","pitch_angle","personalized_pitch_stub","risk_notes","contact_route","verification_status","next_action"
"241RandyTV Gaming","https://www.letsplayindex.com/channels/1747302-241randytv-gaming","Canada","Barotrauma","abyss_pressure_horror","latest_letsplay; most_lp_views","2","10527","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"AlexofAllTrades","https://www.letsplayindex.com/channels/1405938-alexofalltrades","United States","Barotrauma","abyss_pressure_horror","review_channels","1","1940","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"ArcAngela","https://www.letsplayindex.com/channels/136315-arcangela","Canada","Barotrauma","abyss_pressure_horror","review_channels","1","67500","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Arqui-Alpaka","https://www.letsplayindex.com/channels/3811247-arqui-alpaka","Argentina","Barotrauma","abyss_pressure_horror","latest_letsplay; most_lp_views","2","2602","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Bad Buddy093","https://www.letsplayindex.com/channels/2452839-bad-buddy093","UNKNOWN","Barotrauma","abyss_pressure_horror","review_channels","1","232","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Bardon Plays","https://www.letsplayindex.com/channels/64973-bardon-plays","Ireland","Barotrauma","abyss_pressure_horror","latest_letsplay; most_lp_views","2","3321","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Based Bros","https://www.letsplayindex.com/channels/2956075-based-bros","UNKNOWN","Barotrauma","abyss_pressure_horror","review_channels","1","313","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"BigYous","https://www.letsplayindex.com/channels/1840330-bigyous","United States","Barotrauma","abyss_pressure_horror","review_channels","1","8840","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"bilobatedysj Gaming","https://www.letsplayindex.com/channels/1611137-bilobatedysj-gaming","UNKNOWN","Barotrauma","abyss_pressure_horror","latest_letsplay; most_lp_views","2","23305","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"bladtax","https://www.letsplayindex.com/channels/2418627-bladtax","United States","Barotrauma","abyss_pressure_horror","latest_letsplay; most_lp_views","2","2953","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
