risk_id,severity,area,static_evidence,blocker,required_owner_action,evidence_needed,status
R-2007-001,HIGH,visual floor,TASTE.md;VISION_LOCKS.md;water.md;rendering.md,Surface/photic/medium-depth water cannot be dark or muddy but current critique target does not prove waterline or shallows,Recreate critique angle and capture full shotlist across quality lanes,Unity Game View plus reference comparison,PENDING_VERIFICATION
R-2007-002,HIGH,shoreline foam,1907_TERRAIN_COASTLINE_MATERIAL_PACKAGE.md,Prior package reported inactive foam/ribbons and missing packed masks,Inspect active scene/materials and bind or create real source masks outside this packet,Inspector material slot proof plus Game View closeups,PENDING_UNITY_OWNER
R-2007-003,HIGH,waterline material,1907_TERRAIN_COASTLINE_MATERIAL_PACKAGE.md,Wet basalt and terrain control/mask package remains incomplete,Provide wet/dry mask roughness normal AO and terrain control proof,Material slot proof plus close/wide captures,PENDING_UNITY_OWNER
R-2007-004,HIGH,RenderGraph proof,HectonSinglePassOceanFeature.cs,RecordRenderGraph structure exists but no Frame Debugger or RenderGraph Viewer proof was run,Open Frame Debugger/RenderGraph Viewer and export pass/resource evidence,FRAME_DEBUGGER artifact,PENDING_VERIFICATION
R-2007-005,HIGH,profiler proof,performance.md;mandates,No CPU/GPU/GC/VRAM metrics exist for active route,Record Profiler GC memory rendering stats and GPU timing,PROFILER and MEMORY_PROFILER artifacts,PENDING_VERIFICATION
R-2007-006,HIGH,Crest boundary,CREST_VERSION_QUARANTINE_SHINOBU_260.md;Ocean_Crest.prefab static scan,Crest depth/foam disabled by text but Unity active state and hidden pass state unproven,Inspect prefab and Frame Debugger for hidden Crest depth/foam/planar-reflection work,Inspector plus Frame Debugger artifacts,PENDING_VERIFICATION
R-2007-007,MEDIUM,async readback,ShinobuOceanSurfaceAtmosphereRuntime.cs:1494,Atmosphere has opt-in AsyncGPUReadback wave sampling; cadence and no-blocking state unproven,Test with readback disabled and enabled separately; prove no same-frame wait,Profiler timeline and latency telemetry,PENDING_VERIFICATION
R-2007-008,HIGH,screenshot hygiene,UNITY_VISUAL_PROOF_CAPTURE_RUNBOOK_20260604.md,Proof saved under Assets would trigger imports and invalidate route hygiene,Use Docs/Reports/Batch20/VisualProof session folder only,Manifest paths and filesystem proof,PENDING_UNITY_OWNER
R-2007-009,MEDIUM,black-box dump,OceanSinglePassContracts.cs;ShorelineFoamGraftContracts.cs,Telemetry ring exists but dump write routines are not proven by this worker,Force a safe dump test in Unity owner lane or keep dump claim pending,Docs/AgentLogs/Dump_* artifact,PENDING_VERIFICATION
R-2007-010,MEDIUM,texture import,Crest texture file metadata,Texture files exist but import settings and active bindings are unknown,Inspect importer settings and material references,Importer screenshots and material slot proof,PENDING_VERIFICATION
R-2007-011,HIGH,visual fake misuse,OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt,Fake-first can fail if it becomes cheap-looking flat water,Reject cheap fake; improve shader/material/source package before simulation,Before/after captures plus profiler,PENDING_UNITY_OWNER
R-2007-012,HIGH,gameplay readability,water.md;rendering.md,Water visuals must preserve traversal hazards depth cues and return route,Record shore entry swim shallow and 20-50 m route shots with UI on/off,Game View/player route proof,PENDING_VERIFICATION
R-2007-013,MEDIUM,quality scaling,GlobalQualityWeight doctrine,Quality lanes can accidentally change truth or become binary switches,Record numeric GlobalQualityWeight and verify DTO/layout/ownership unchanged,Manifest plus source diff/profiler proof,PENDING_VERIFICATION
R-2007-014,MEDIUM,Aegir horizon,critique image;TASTE.md,Aegir and horizon need premium texture/cloud/haze check; current passive shot is not proof,Capture long shot crop and horizon water interaction,Reference comparison plus Game View captures,PENDING_VERIFICATION
R-2007-015,HIGH,false green reporting,URP_SCREENSHOT_PIPELINE.md;runbook,Static docs cannot prove Unity visual/profiler acceptance,Keep all runtime claims pending until artifacts exist,Report evidence labels per claim,PENDING_VERIFICATION

