StringID,English Text,LocContext (Translator Note),Character Limit,Status
ns.lore.deep.al_atlas_reply.title,Atlas Reply,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_atlas_reply.author,Atlas-6 Terminal,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_atlas_reply.text,[SYNTHETIC TONE] Query received. Evacuation request denied. Reason: Biological presence in Sector 9 violates Xenon-Omega sterility baseline. [HUMAN VOICE SHOUTING] We are the biological presence! Open the door! [SYNTHETIC TONE] Sterilization protocol initiated. Please assume a compliant posture.,Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_cold_mist.title,Cold Mist Leak,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_cold_mist.author,Engineer Cross,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_cold_mist.text,"It's just a bolt head. A single stripped bolt head on the primary manifold. It's spraying a mist so fine it looks like smoke. But it's cutting through the insulation like a razor. If I try to tighten it, the thread snaps and we lose the room. If I leave it, the mist fills the compartment in four minutes. Pass me the sealant and pray.",Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_evac_queue.title,Evac Queue,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_evac_queue.author,Evac Coordinator,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_evac_queue.text,"Sector 4 is sealed. They aren't answering. The umbilical to the primary carrier is locked. Atlas-6 keeps throwing an asset-retention error. [ALARMS IN BACKGROUND] Route cards! Everyone hold your physical route cards up to the scanner. If you aren't in the system, the door won't cycle. [SHOUTING] It's not reading them! The cards are clean, the system just doesn't care!",Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_hull_choir.title,Hull Choir,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_hull_choir.author,Unknown,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_hull_choir.text,"[HIGH PITCHED METALLIC WHINE] You hear that? Sounds like singing. It's the pressure ribs. When the steel gets sheared past its tensile limit, the microfractures vibrate. It means the corridor is deciding which way to collapse. [LOUD SNAP] It decided.",Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_last_shift.title,Last Shift Marker,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_last_shift.author,Marauder Entry Team,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_last_shift.text,"[HEAVY BREATHING THROUGH REGULATOR] Found the airlock. They jammed it with a pry bar from the inside to stop the flood. Found the bodies, too. They didn't leave any sentimental garbage. Just a tally of the oxygen they had left, written in grease pencil. That's a good crew. Log the coordinates and let's strip the room.","Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.al_leviathan_bearing.title,Leviathan Bearing,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_leviathan_bearing.author,Sub Pilot,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_leviathan_bearing.text,"Sonar is returning a bearing, but no range. The ping just gets swallowed. [RAPID PINGING] It's massive. It's blocking the whole channel. Why isn't the proximity alarm tripping? [PINGING STOPS] It absorbed the acoustic wave. It's not just big. It's hunting by sound. Cut the engines. Cut everything.",Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_manual_gauge.title,Manual Gauge,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_manual_gauge.author,Marauder Vet,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_manual_gauge.text,"Never trust the digital readout. The Corp writes the software to average out the spikes so the insurance boys don't get nervous. Tap the analog gauge. [CLINK, CLINK] See that needle bounce? That's the real pressure. The water doesn't lie. Only the firmware lies.","Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.al_narcosis_test.title,Narcosis Test,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_narcosis_test.author,Diver Elias,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_narcosis_test.text,"[RHYTHMIC BREATHING] Depth is 1800 meters. Partial pressure is climbing. I'm doing the math test. Seven times eight is fifty-six. My daughter's name is Maya. [STATIC] The suit... the suit keeps using her voice to tell me the tank is empty. It's a firmware glitch. It has to be. [BREATHING QUICKENS] Maya, I told you not to play with the radio.",Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_payroll_dead.title,Payroll Dead,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_payroll_dead.author,Shift Supervisor,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_payroll_dead.text,"I can't send them back out. The suits are compromised. [PAUSE] I don't care what the daily quota is. If they die, my department eats the liability cost. But if I suspend operations, the penalty comes out of my bonus. [SIGHS] Log it as an 'extended calibration dive'. If they don't come back, we blame the equipment manufacturer.","Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
ns.lore.deep.al_pump_blessing.title,Pump Room Blessing,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_pump_blessing.author,Maintenance Shift 4,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_pump_blessing.text,"[HEAVY THUMPING RHYTHM] Come on, you bastard. Just one more cycle. Give me 400 kilopascals and I'll buy you a beer. [THUMPING STOPS] Wait. The main feed is dead. Why is the secondary still moving? [METALLIC CREAKING] It's not pumping water. The water is pushing the pump backward. [SQUELCH] Run. [SILENCE]",Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_scrubber_bed.title,Scrubber Bed,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_scrubber_bed.author,Habitat Tech,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_scrubber_bed.text,[HISSING OF GAS] The lithium hydroxide is gone. It's just warm ash. We've been breathing our own exhaust for six hours. No wonder I can't feel my hands. [STATIC] I wrote the repair ticket three weeks ago. Varnek denied it. Said the margin was acceptable. I hope he drowns in an acceptable margin.,Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_service_chapel.title,Service Chapel,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_service_chapel.author,Colony Maintenance,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_service_chapel.text,[SCRAPING METAL] They call it the chapel. It's just a maintenance junction with good acoustics. We come down here to write the names of the ones who got 'reassigned'. Deep Reach deletes their accounts. But graphite on steel lasts longer than a corporate database. Read the walls.,Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_shift_b_air.title,Shift B Air Count,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_shift_b_air.author,Shift B Lead,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_shift_b_air.text,Dalton partial-pressure reads nominal. The dashboard says we have twelve hours. But look at the heat exchange. It's barely warm. The scrubber is saturated. The sensor is reading the nitrogen as breathable volume. [COUGHING] Deep Reach didn't design the gauge to tell us when we suffocate. They designed it to tell them when we stopped being productive. Crack the reserve valve.,"Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
ns.lore.deep.al_thermal_pocket.title,Thermal Pocket,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_thermal_pocket.author,Surveyor Lin,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_thermal_pocket.text,"The current is moving sideways. That shouldn't happen at this depth. The thermal vent is discharging horizontally, creating a shear layer. If we drop the payload through that, the temperature delta will crack the pressure glass. We have to route around it. [RUMBLE] Never mind. It's routing us.",Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.al_window_watch.title,Window Watch,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.al_window_watch.author,Worker 719,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.al_window_watch.text,Turn off the work lamp. Just do it. Look at the glass. It's supposed to be flat. It's concave. The floodlight outside isn't swinging because of the current. It's swinging because the hull frame is twisting. The storm hasn't even hit the basin yet and the whole annex is bending. [GLASS GROANS] Don't stand in front of it.,Industrial sci-fi tone. NASA-punk. Audio transcript. Keep sound tags like [STATIC] intact.,1000,OK
ns.lore.deep.eco_abyss_51.title,Ecological Collapse: Deep Abyss 2500-4000m,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.eco_abyss_51.author,Atlas-6 Ecology Subroutine,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.eco_abyss_51.text,"Prey are rare, large, and scarred by bad oxygen history. Predators patrol by vibration, not sight, because bloom stole the midwater. Old eggs hatch wrong and die before they learn current. Oxygen pocket warnings are carved into walls, not terminals. The sector is not empty; it is holding its breath after the kill.",Industrial sci-fi tone. NASA-punk.,1000,OK
ns.lore.deep.eco_drop_31.title,Ecological Collapse: Drop 1000-2500m,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.eco_drop_31.author,Atlas-6 Ecology Subroutine,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.eco_drop_31.text,"Light drops faster than the depth palette changes. Prey movement becomes vertical, avoiding toxic layers like invisible floors. Biomass noise fools sonar into reporting crowds inside dead chambers. Predators abandon territory and follow the last oxygen seams. Atlas-6 labels the crash a 'population correction'. Hatch windows show drifting bones before they show the room.",Industrial sci-fi tone. NASA-punk.,1000,OK
ns.lore.deep.eco_drowned_11.title,Ecological Collapse: Drowned Factories 100-1500m,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.eco_drowned_11.author,Atlas-6 Ecology Subroutine,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.eco_drowned_11.text,"Algae bloom thickens around coolant leaks. Oxygen recovers for minutes after pump cycles, then drops harder. Predators stop patrolling and wait beside forced-flow vents. Biomass accounting marks the sector productive because corpse mass increased. The vents exhale green-brown snow that ruins visibility before it kills. The bloom has crossed the food chain.",Industrial sci-fi tone. NASA-punk.,1000,OK
ns.lore.deep.eco_spine_01.title,Ecological Collapse: Spine 0-100m,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.eco_spine_01.author,Atlas-6 Ecology Subroutine,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.eco_spine_01.text,"Photic zone baseline variance detected. Surface-fed algae blooms are clinging to module vents. Oxygen levels read stable at hatch height, but Marauder route marks indicate visual toxicity. Predators hold at the edge of bright work lamps and avoid silent corridors. The biological die-off has initiated, masked as seasonal color by corporate reporting algorithms.",Industrial sci-fi tone. NASA-punk.,1000,OK
ns.lore.deep.eco_thermal_71.title,Ecological Collapse: Thermal Fields 4000-5500m,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.eco_thermal_71.author,Atlas-6 Ecology Subroutine,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.eco_thermal_71.text,"Oxygen spikes near vents, then becomes chemically hostile. Heat-fed bloom glows in cracks and dies in open water. Predators hunt across heat boundaries with patient confidence. Biomass is mineralized into pipes, vents, and teeth. The collapse ends where the Corporation started counting the planet as inventory.",Industrial sci-fi tone. NASA-punk.,1000,OK
ns.lore.deep.ev_arendt_01.title,Directive Weighting Override,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.ev_arendt_01.author,"Selene Arendt, Atlas Continuity Lead",Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.ev_arendt_01.text,"System query: Evacuation logic path failure. Origin: Arendt, S. (Admin Override). The habitat pressure seal is failing at Sector 44. Atlas-6 default routing prioritizes human extraction via the primary umbilical. I am injecting a negative weight to the biological preservation parameter, citing contamination risk to the Xenon-Omega substrate below the basin. The machine is not built to weigh 800 workers against a trillion-credit material claim. I have to force it. The substrate continuity is now locked as Priority One. The workers are reclassified as environmental load. Atlas will save the process, even if it has to drown the crew to stabilize the pressure.",Industrial sci-fi tone. NASA-punk.,1000,OK
ns.lore.deep.ev_haldane_01.title,Hold Order 8-Quarantine,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.ev_haldane_01.author,"Noor Haldane, Evacuation Certification Counsel",Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.ev_haldane_01.text,"Release of the escape carriers is denied. We cannot verify that the returning personnel are free of Xenon-Omega biomatter contamination. While the atmospheric variance in the lower modules is critical, deploying the carriers without an external audit violates Keelmark Mutual's biological containment clauses. If we bring them up unchecked, the entire Aegir orbital infrastructure gets flagged as a hazard zone. Keep them at the staging lock. I understand they are running out of air. Tell them to wait for the certification packet. We lose less money on dead workers than we do on a quarantined relay station.","Industrial sci-fi tone. NASA-punk. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
