"proof_id","claim","evidence_type","required_artifact","pass_condition","owner"
"FH_ROUTE_AUTHORITY_SINGLE_OWNER","First-hour has one mandatory resource/tool spine.","Static + PlayMode","Route owner table; PlayMode quest progression capture/log","Only chosen spine gates first-hour progression; secondary resource does not block route.","Gameplay/Narrative"
"FH_STARTER_LOADOUT","Starter loadout/unlock matches mandatory resource gate.","Static + PlayMode","Player prefab/loadout asset inspection; runtime inventory/tool slot capture","Required tool is assigned or unlocked before matching node/objective; no debug grant.","Tools/Player"
"FH_RESOURCE_COPPER_REACH","Copper can be collected if copper remains first-hour critical.","PlayMode","Route run log with position/depth/O2; inventory hash/quantity; node scar/depletion","Collect Data_Copper from authored source and return alive.","Scavenging/World/Survival"
"FH_RESOURCE_TITANIUM_REACH","Titanium can be collected if titanium remains first-hour critical.","PlayMode","Route run log with position/depth/O2; inventory hash/quantity; outcrop/node scar","Collect Data_TitaniumScrap after first_hour_exit_lifepod and return alive.","Scavenging/World/Survival"
"FH_CRAFT_FIRST_TOOL_OR_COMPONENT","Chosen first craft consumes actual runtime ingredients and emits expected result.","PlayMode + static data","Recipe owner declaration; fabricator transaction log","Craft scanner or copper wire using declared runtime source; inventory delta matches recipe.","Crafting/Data"
"FH_OXYGEN_RETURN_ALIVE","Opening resource route is survivable but still oxygen-pressured.","PlayMode","Peak depth, route duration, min oxygen normalized, refill source, death/fail behavior","Player can complete route with nonzero O2 margin; overextension can still kill.","Survival/World"
"FH_SCENIC_ROUTE_CAPTURE","Opening route remains bright, scenic, semi-open, and uneasy.","Screenshot + PlayMode","Compact and normal screenshots from start, midpoint, resource source, return landmark","Surface/photic route is readable and Subnautica-floor or better; no darkness/fog concealment.","World/Rendering/Presentation"
"FH_RESPAWN_RESOURCE","Death after first-hour collection/craft does not softlock progression.","PlayMode","Death test with starter tools, copper/titanium, copper wire/scanner, O2 item; respawn telemetry","Core tools persist; critical resources persist or are recoverable; quest state stays valid.","Respawn/Inventory/Quest"
"FH_SAVE_LOAD_ROUTE","Save/load preserves first-hour progress and world scars.","PlayMode","Save/load test log; inventory/quest/depleted-node/marker snapshot before and after","Inventory, quest state, resource depletion, and route markers survive load.","Persistence/Quest/World"
"FH_BLACK_BOX","Survival/respawn failures are explainable from telemetry.","Runtime fault/death test","Last-300-frame telemetry dump or accessible ring artifact","Death/failure has route, oxygen, depth, inventory, respawn sequence, and dropped count evidence.","Telemetry/Survival/Respawn"

