Beat,Policy,CandidateTarget,SourceProof,VisualCue,UICue,RejectionRisk,UnityOwnerAction
boot_to_world,DIEGETIC_CUE_ONLY,None,"1803 boot/menu target static; first-20 contract route start","Menu/world handoff only","Loading/boot state only","Marker before world context is noise","Do not add mission marker; prove boot->world separately in route smoke test"
safe_anchor_start,REQUIRED_MARKER,"CANDIDATE Route_Anchor or damaged safe anchor","1803 says Route_Anchor socket exists but is not live proof; 1806 lists Route_Anchor active scene reference","Damaged safe anchor silhouette; shelter lights; industrial frame","Anchor bearing/return icon after player start/discovery","Missing anchor marker can kill return readability under oxygen pressure","Prove live anchor object; bind known-anchor marker or explicit anchor target; capture return use"
quest_arrival,PENDING_DISCOVERY,"CANDIDATE Route_Anchor / exit orientation OR explicit no-marker","1818: Quest_Arrival has questId only; no serialized marker fields","Safe anchor exit geometry; hatch/shoreline/foam line","Optional orientation prompt only if quest remains visible","Blank quest marker if active quest has title but no target","Decide if quest completes before marker display; otherwise assign anchor/orientation target and prove clear-on-completion"
first_surface_look,FORBIDDEN_MARKER,None,"1806 and 1816 require first surface/Aegir screenshot proof; VISION_LOCKS and TASTE make this beauty route critical","Aegir, sky, moons, coastline, ocean surface","Minimal HUD; no objective clutter","GPS marker would cover spectacle and hide weak composition","Forbid mission marker in this beat; prove world landmark readability instead"
waterline_coast,FORBIDDEN_MARKER,None,"1806 waterline/coastline beats; 1816 first screenshot set","Foam ribbons, wet basalt, water color, entry/exit line","Depth/oxygen only if relevant","Marker would distract from material/waterline proof","Do not bind marker; capture waterline readability without objective overlay"
photic_0_30m_calm,DIEGETIC_CUE_ONLY,None,"1806 0_30m_shallows beat; VISION_LOCKS scenic rest allowed","Starter_ReefField, colorful biota, return silhouette","Oxygen/depth readouts; optional compass bearing","Flat GPS undermines semi-open exploration","Use landmarks and HUD state; no mission marker unless survival urgency escalates"
swim_route,OPTIONAL_HINT,"CANDIDATE Route_Anchor bearing / Route_Frontier bearing","1803 swim/control pending; 1816 return/cockpit gate pending","Coastline, reef corridor, industrial silhouettes","Compass/sonar bearing with confidence/stale state","Constant arrow can turn route into GPS corridor","Enable optional low-clutter hint only after player delay, low oxygen, or scan/route memory"
oxygen_pressure_safety,REQUIRED_MARKER,"Known Route_Anchor return marker; no marker for oxygen itself","1803 oxygen route partial; survival.md owns oxygen/pressure; first-20 route requires oxygen/depth pressure","Breath audio, suit warning, depth gradient, shelter silhouette","O2/depth/pressure HUD plus return-marker urgency","Marker could imply UI owns survival truth","Survival publishes state; marker system only intensifies known return cue under warning thresholds"
first_depth_pressure,PENDING_DISCOVERY,"CANDIDATE Route_Frontier or safe descent/depth band","1803 pressure route blocked/static; 1818 says quest_first_breath has no marker fields","Depth transition, lower photic silhouettes, instrument pressure cue","Depth/pressure gauge; optional safe-depth route hint","Marking arbitrary depth coordinate without gameplay owner proof is fake certainty","Discover/prove safe descent target or explicitly no-marker policy backed by depth/HUD proof"
quest_first_breath,PENDING_DISCOVERY,"CANDIDATE Route_Frontier / safe descent route OR explicit no-marker","1818: Quest_FirstBreath has questId only; no markerTargetId/worldPosition proof","Depth route boundary, pressure cue, return landmark","Pressure/depth HUD, warning cadence","Blank active marker or magic coordinate","Assign safe descent/depth target or prove diegetic-only objective; capture activation/clear state"
resource_search_copper,REQUIRED_MARKER,"CANDIDATE Node_Copper_A / Resource_FieldSources route zone","1803: Node_Copper_A socket, copper template and quest exist; 1818: quest_copper_sample lacks marker fields","Resource bowl, copper vein silhouette, substrate/material contrast","Scanner/sonar confidence arc; zone marker after evidence","Exact hidden pickup marker violates sonar/no-omniscience law","Bind discovered resource-zone target; gate exact object marker behind scan/proximity/discovery proof"
quest_copper_sample,REQUIRED_MARKER,"CANDIDATE Node_Copper_A zone, not exact hidden item by default","1818: Quest_CopperSample has questId only; no markerTargetId/worldPosition proof","Copper route pocket and nearby industrial route hints","Quest objective marker after discovery/sensor confidence","No marker blocks core route; exact marker leaks hidden truth","Assign route-zone marker target or explicit discovery-gated exact target; prove marker appears and clears"
scrap_salvage,OPTIONAL_HINT,"CANDIDATE Scrap_A after visual discovery","1806 lists Scrap_A route beat; 1816 scrap smoke gate pending","Physical salvage silhouette, cut marks, debris context","Scanner ping or interaction prompt after proximity","Loot-sparkle behavior rejected","Use optional proximity/scanner hint only; do not make generic loot GPS"
forward_fabricator,REQUIRED_MARKER,"CANDIDATE Forward_Fabricator / Fabrication_Outpost","1803: fabricator socket not live proof; 1806/1816 list fabricator route beat/gate","Machine silhouette, panel light, sound, safe pocket","Known station marker after discovery; interaction affordance","Menu-only machine or missing marker breaks craft gate","Prove live physical station; bind marker after discovery/quest intro; capture craft/return use"
craft_repair_build_gate,REQUIRED_MARKER,"CANDIDATE Forward_Fabricator or route-improvement object","first-20 contract requires craft/repair/build improvement; 1803 says broad craft completion is too weak","Changed route state, repaired/powered object, station feedback","Objective state and completion clear","Marker to any craft is false route proof","Bind marker to route-relevant craft/repair/build target only; prove consumed resource changes route"
industrial_trace,DIEGETIC_CUE_ONLY,None,"1806/1816 industrial trace beat; world.md requires machinery/evidence layer","SUB_PRESSURE_HULL, SUB_PORTLIGHT, Power_CurrentTurbine, dock/turbine silhouettes","Optional scan labels after inspection","Marker turns environmental evidence into checklist clutter","Use visual/sound/evidence cues; no mission marker unless trace becomes explicit route objective"
first_hazard,DIEGETIC_CUE_ONLY,"Optional CANDIDATE hazard zone only after evidence","1803 first fair hazard blocked/static; 1816 hazard readability pending","Audio first, disturbed silt, damage, silhouette, pressure/leak cue","Amber/red warning, hydrophone/sonar confidence if sensed","Exact hazard GPS or hidden creature marker kills dread and violates sonar law","Stage fair cue; allow warning zone only after sensor/world evidence; forbid exact hidden target"
return_path,REQUIRED_MARKER,"CANDIDATE Route_Anchor / coastline / safe pocket bearing","1803 return path pending; 1806 return_path beat; 1816 return/cockpit gate","Coastline, reef corridor, anchor lights, fabricator/safe pocket","Compass/sonar/marker bearing; oxygen urgency pulse","No return cue fails first-route survival readability; too many cues becomes GPS clutter","Bind known return marker; max one return cue plus one objective cue; prove player returns without debug knowledge"
save_load_return,OPTIONAL_HINT,"Known Route_Anchor or last safe anchor if persisted","1803 save/load unproven; first-20 contract requires same-state return","Same anchor/state after reload","Marker restore/clear state if objective persists","Marker state mismatch after load can fake progression","If marker state persists, prove save/load same target/quest completion; otherwise mark pending"
death_respawn_return,REQUIRED_MARKER,"Known safe anchor after respawn if death reachable","survival.md death policy; 1803 death/respawn partial and anchor proof missing","Respawn at safe anchor; dropped resource route if applicable","Return/anchor cue after respawn; death reason report","Respawn marker to invalid anchor creates death loop","Only if death test is in route proof: bind/prove safe anchor marker and invalid-anchor fail state"
