line,name,active,renderer_enabled,layer,pos,scale,mesh,material_guids
6788,NOIR_LEFT_VIGNETTE_SLAB,1,1,0,"x: -15.2, y: 3.2, z: -2","x: 0.3, y: 7.5, z: 15",fileID 10202 guid 0000000000000000e000000000000000 type 0,1763ea6867c15774ea09e5c90cc8675b
7798,H8_WORLD_LOW_WATER_OCCLUSION_00_1428,1,1,0,"x: -7, y: -0.07, z: 18.8","x: 3.2, y: 0.06, z: 0.4",fileID 10202 guid 0000000000000000e000000000000000 type 0,09da3dc87b1df5945a9996378de36940
9861,H8_DEPTH_LOW_SHELF_1428,1,1,0,"x: 0, y: -0.9, z: 30","x: 58, y: 1.15, z: 8",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
16971,H8_WORLD_LOW_WATER_OCCLUSION_02_1428,1,1,0,"x: 2.1999998, y: -0.07, z: 23.599998","x: 3.2, y: 0.06, z: 0.4",fileID 10202 guid 0000000000000000e000000000000000 type 0,09da3dc87b1df5945a9996378de36940
43591,H8_WORLD_LOW_WATER_OCCLUSION_01_1428,1,1,0,"x: -2.4, y: -0.07, z: 21.199999","x: 3.2, y: 0.06, z: 0.4",fileID 10202 guid 0000000000000000e000000000000000 type 0,09da3dc87b1df5945a9996378de36940
57089,H8_WORLD_LOW_WATER_OCCLUSION_03_1428,1,1,0,"x: 6.7999997, y: -0.07, z: 26","x: 3.2, y: 0.06, z: 0.4",fileID 10202 guid 0000000000000000e000000000000000 type 0,09da3dc87b1df5945a9996378de36940
58411,NOIR_RIGHT_VIGNETTE_SLAB,1,1,0,"x: 12.2, y: 3, z: -3","x: 0.3, y: 7, z: 15",fileID 10202 guid 0000000000000000e000000000000000 type 0,1763ea6867c15774ea09e5c90cc8675b
75100,H8_DEPTH_CEILING_OCCLUSION_1428,1,1,0,"x: -4, y: 7.8, z: 25","x: 70, y: 1, z: 8",fileID 10202 guid 0000000000000000e000000000000000 type 0,f3e2d325400cdbb408f84e6acc9de027
5028,NOIR_UPPER_PRESSURE_LID,1,1,0,"x: 0, y: 8.6, z: 5","x: 38, y: 0.25, z: 30",fileID 10202 guid 0000000000000000e000000000000000 type 0,1763ea6867c15774ea09e5c90cc8675b
11376,NOIR_CYAN_INSTRUMENT_TICK_04,1,1,0,"x: 0.8000002, y: 1.04, z: -0.9","x: 0.22, y: 0.035, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,c38c3d211bac5774c9fd2c154e5df074
