source_packet,target_packet,edge_type,shared_term,spoiler_relation,reason
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P421_BRINE_CANYON_DENSITY_LADDER,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P426_WORKER_QUEUE_DELAY_BODYLESS,P428_QUARANTINE_RELEASE_DELAY,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P424_DEEP_REACH_LIABILITY_HOLD,P420_SERVICE_CANYON_CUT_PANEL,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P434_PUBLIC_LEDGER_LEAK,P439_FINAL_QUESTION_SEVERANCE_MERCY_THEFT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P433_QUARANTINE_HOLD_INTERROGATION,P435_ATLAS_SEVERANCE_RECORD,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P439_FINAL_QUESTION_SEVERANCE_MERCY_THEFT,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P429_SENSOR_TAGGED_FAUNA_FEEDBACK,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P429_SENSOR_TAGGED_FAUNA_FEEDBACK,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P416_ROUTE_BEACON_SALT_CORROSION,P421_BRINE_CANYON_DENSITY_LADDER,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P430_MATERIAL_PAYOUT_RECEIPT,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P425_ATLAS_WEIGHTING_AUDIT,P433_QUARANTINE_HOLD_INTERROGATION,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
