packet_id,article_id,file,locale_count,speaker_source,duration_risk,subtitle_risk,unlock_context
P001_CRASH_SHELF,hecton8.crash_shelf,Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json,15,Black Keel / carrier tender,low: 14 words,low,unlock.first_shelter | poi.crash_shelf/poi.service_buoy | biome.shallow_reef/biome.storm_shelf/biome.kelp_shallows
P002_BLACK_KEEL_CONTACT,black_keel.contact,Docs/Lore/AppliedContent/packets/P002_BLACK_KEEL_CONTACT.json,15,Black Keel / carrier tender,low: 15 words,low,unlock.black_keel_handshake | poi.signal_mast/poi.service_buoy | biome.storm_shelf/biome.shallow_reef
P003_BARNARD_MARK,player.barnard_mark,Docs/Lore/AppliedContent/packets/P003_BARNARD_MARK.json,15,colony worker / recovered worker record,medium: 21 words,low,unlock.first_barnard_mark | poi.worker_locker/poi.shift_board | biome.drowned_infrastructure
P004_BLUE_DEBT,resource.blue_debt,Docs/Lore/AppliedContent/packets/P004_BLUE_DEBT.json,15,unknown damaged source,low: 15 words,low,unlock.first_blue_debt_sample | poi.pressure_casket/poi.cable_forest | biome.industrial_descent/biome.thermal_field
P005_REPAIR_SCAR,atlas.repair_scar,Docs/Lore/AppliedContent/packets/P005_REPAIR_SCAR.json,15,Atlas fragment / maintenance telemetry,low: 15 words,low,unlock.first_atlas_category_error | poi.repair_scar/poi.drone_nest | biome.cable_forest/biome.deep_abyss
P007_BRINE_STAIR,hecton8.brine_stair,Docs/Lore/AppliedContent/packets/P007_BRINE_STAIR.json,15,Atlas fragment / maintenance telemetry,low: 15 words,low,unlock.first_brine_layer_route | poi.brine_curtain/poi.ballast_station/poi.vent_chimney | biome.brine_stairs/biome.thermal_field
P008_EVACUATION_HOLD,colony.evacuation_hold,Docs/Lore/AppliedContent/packets/P008_EVACUATION_HOLD.json,15,Atlas fragment / maintenance telemetry,low: 9 words,low,unlock.first_evacuation_hold_record | poi.evac_gate/poi.medical_route_lock/poi.substrate_priority_terminal | biome.deep_abyss/biome.drowned_colony
P009_BOTTOM_FACTORY,atlas.bottom_factory,Docs/Lore/AppliedContent/packets/P009_BOTTOM_FACTORY.json,15,Atlas fragment / maintenance telemetry,low: 9 words,low,unlock.first_bottom_factory_contact | poi.factory_temple_gate/poi.living_pressure_skin/poi.atlas_conduit_organ | biome.atlas_bottom/biome.factory_temple
P010_PAYLOAD_WINDOW,ending.payload_window,Docs/Lore/AppliedContent/packets/P010_PAYLOAD_WINDOW.json,15,insurer / quarantine relay,low: 10 words,low,unlock.first_payload_window | poi.ascent_package/poi.launch_floodgate/poi.carrier_geometry_lock | biome.atlas_bottom/biome.deep_launch_route
P006_DEAD_CLAIM_CACHE,marauder.dead_claim_cache,Docs/Lore/AppliedContent/packets/RS002_DEEPENING_DESCENT.packets.json,15,Black Keel / carrier tender,low: 17 words,low,unlock.first_marauder_cache | poi.dead_claim_buoy/poi.marauder_cache/poi.cut_tether | biome.service_canyons/biome.drowned_infrastructure
