"curator_id","curator_name","steam_url","focus_tags","language","status","fit_score","followers","review_quality","recent_activity","scam_risk","message_variant","copies_planned","last_checked","notes"
"CUR-001","Rely on Horror","https://store.steampowered.com/curator/6856130-Rely-on-Horror/","Horror;Survival Horror;Psychological Horror","en","CURATOR_CONNECT_AFTER_STEAM_PAGE_AND_BUILD","5","79757","Editorial curator with site review links; mixed recommended/not-recommended history","Recent Steam reviews visible in 2025/2026 page snapshot","LOW if sent only through Steam Curator Connect; HIGH if external key request appears","Horror curator: pressure dread and survival systems; no co-op claim","1","2026-05-19","High-priority curator after Steam page/build exists. Do not email raw keys; use Curator Connect."
"CUR-002","HORROR gems","https://store.steampowered.com/curator/41487727-HORROR-gems/","Horror;Immersive Horror;Survival Horror","en","LOW_REACH_CURATOR_CONNECT_AFTER_PAGE","3","195","Small curator; mostly informational/recommended rows need Steamworks confirmation","Recent activity not fully established from public page","MEDIUM due low reach and identity ambiguity","Short horror angle only after page/build; no external keys","1","2026-05-19","Worth considering only if Curator Connect has spare copy capacity after higher-fit rows."
"CUR-003","Survival Horror tag surface","https://store.steampowered.com/tags/en/Survival%20Horror/","Survival Horror","various","DISCOVERY_SURFACE","TBD","UNKNOWN","N/A","N/A","N/A","N/A","0","2026-05-19","Use inside Steamworks/tag browsing to find active curators; not a recipient."
"CUR-004","Atmospheric tag surface","https://store.steampowered.com/tags/en/Atmospheric/","Atmospheric","various","DISCOVERY_SURFACE","TBD","UNKNOWN","N/A","N/A","N/A","N/A","0","2026-05-19","Broad/noisy discovery surface. Filter by curator review history and recent activity."
"CUR-005","Base Building tag surface","https://store.steampowered.com/tags/en/Base%20Building/","Base Building","various","DISCOVERY_SURFACE","TBD","UNKNOWN","N/A","N/A","N/A","N/A","0","2026-05-19","Use only after base-building screenshots/gameplay prove the feature."
"CUR-006","Survival Horror","https://store.steampowered.com/curator/1048349-Survival-Horror/","Survival Horror","en","LOW_PRIORITY_STALE_CHECK","2","73","Small curated list; limited review count","Search snapshot shows old March 2024 review examples","MEDIUM due low reach/stale risk","No message until current activity is verified in Steamworks","0","2026-05-19","Hold unless Steamworks shows newer activity; likely not worth first 100 Curator Connect slots."
"CUR-007","Indie Horror Hidden Gems","https://store.steampowered.com/curator/45309524-Indie-Horror-Hidden-Gems/","Indie Horror;Hidden Gems","en","CURATOR_CONNECT_AFTER_STEAM_PAGE_AND_BUILD","4","290","Focused indie-horror curator; streamer identity noted in public page","Recent list/review activity visible in search snapshot","MEDIUM because creator identity must be verified in Steamworks","Indie horror hidden-gem angle; use one copy only","1","2026-05-19","Good small-fit target after horror clip and Steam page exist."
"CUR-008","Good Indie Horror and others","https://store.steampowered.com/curator/43650382-Good-Indie-Horror-and-others/","Indie Horror;Odd Horror","en","CURATOR_CONNECT_AFTER_STEAM_PAGE_AND_BUILD","4","UNKNOWN","Focused indie-horror commentary; follower count not captured in this pass","Search snapshot shows May review activity","MEDIUM until Steamworks identity/activity is checked","Odd industrial underwater horror angle","1","2026-05-19","Good thematic fit; verify followers and activity inside Steamworks before allocation."
"CUR-009","Horror Video Games","https://store.steampowered.com/curator/45689784-Horror-Video-Games/","Horror;Survival Horror;Co-op Horror","en","LOW_REACH_FORMULAIC_HOLD","2","27","Large list structure but very low follower count and formulaic review text","Recent 2026 activity visible in search snapshot","MEDIUM; low reach and potentially list-aggregation behavior","Skip first wave","0","2026-05-19","Do not spend first-wave copy unless Curator Connect capacity is unused."
"CUR-010","La Cueva Del Survival Horror","https://store.steampowered.com/curator/32435415-La-Cueva-Del-Survival-Horror/","Survival Horror;Terror;Suspense","es","REGIONAL_AFTER_SPANISH_ASSET_CHECK","3","130","Spanish horror/survival focus; old popular review examples visible","Recent activity not established in this pass","MEDIUM; regional route needs Spanish-safe copy and current activity check","Spanish horror curator angle after localized screenshot/Steam text exists","1","2026-05-19","Potential Spanish/regional curator only after Spanish copy is reviewed by a human."
"CUR-011","Crafting/Survival Games","https://store.steampowered.com/curator/6944947-Crafting-Survival-Games/","Crafting;Survival;Base Building","en","LOW_PRIORITY_STALE_CHECK","2","146","Survival fit but only 10 reviews in about snapshot","Review examples are from 2014 in search snapshot","LOW scam risk but high stale risk","Skip unless Steamworks shows current activity","0","2026-05-19","Probably stale; not first-wave."
"CUR-012","The 1% ers","https://store.steampowered.com/curator/38635030/","Multiplayer Survival;Co-op;Crafting;Base Building","en","COOP_EXPECTATION_RISK_HOLD","2","316","Active-looking BLR-style survival curator; heavy co-op framing","Recent 2025 activity visible in search snapshot","MEDIUM; fit risk because HECTON-8 is single-player-first","No outreach until no-coop stance is explicit in Steam page","0","2026-05-19","Do not trigger co-op expectations. Consider only if single-player positioning survives."
"CUR-013","Get your Early Access Survival Crafting Games","https://store.steampowered.com/curator/8124734-Get-your-Early-Access-Survival-Crafting-/","Early Access;Survival Crafting","en","LOW_QUALITY_FORMULAIC_HOLD","1","1050","Repeated boilerplate informational review style","Search snapshot shows old 2016-2020 activity examples","LOW scam risk through Steam; low brand value","Skip first wave","0","2026-05-19","Follower count is not enough; review quality is too low for scarce copy allocation."
"CUR-014","Explore Build Craft Survive","https://store.steampowered.com/curator/42788727/","Survival;Base Building;Exploration;Sandbox","en","CURATOR_CONNECT_AFTER_BASE_PROOF","3","652","Broad survival/base/exploration curator with YouTube link","Recent 2026 review activity visible in search snapshot","MEDIUM; broad taste and external identity should be checked","Base/exploration angle only after base proof screenshots exist","1","2026-05-19","Use after base-building and exploration screenshots are real, not before."
"CUR-015","STGenGames","https://store.steampowered.com/curator/33871902/","Open World Survival Craft;Exploration","en","LOW_INFO_HOLD","2","UNKNOWN","Public search result exposes tag lists but not curator identity/follower quality","Recent activity not established in this pass","MEDIUM due incomplete identity/activity proof","Skip until verified inside Steamworks","0","2026-05-19","Candidate seed only. Do not allocate copies without Steamworks verification."
"CUR-016","Survival PC Gaming","https://store.steampowered.com/curator/8960386-Survival-PC-Gaming/about/","Survival;Survival Horror;Base Building;Open World Survival Craft","en","CURATOR_CONNECT_AFTER_STEAM_PAGE_AND_BUILD","4","1248","Clear survival-PC positioning; about snapshot lists 28 reviews","Current activity not fully established from search result","LOW/MEDIUM; verify current activity in Steamworks","PC survival angle; pressure/salvage/machinery","1","2026-05-19","Good survival fit if still active. Use Curator Connect only."
"CUR-017","Exploration Games","https://store.steampowered.com/curator/6862928-Exploration-Games/?l=english","Exploration;Mystery;Nonlinear Worlds","en","LOW_PRIORITY_EXPLORATION_PROOF","3","188","Exploration-focused curator; small audience","Search snapshot shows 2022 review examples","LOW scam risk through Steam; possible stale risk","Exploration/anomaly angle after route gameplay exists","0","2026-05-19","Hold until HECTON-8 can show exploration, not just survival horror."
"CUR-018","IndieGems","https://store.steampowered.com/curator/32732116/","Indie;Hidden Gems;Horror Gems;Simulation;Survival","en","BUILD_REQUIRED_NO_DEMO_FIRST_WAVE_CANDIDATE","4","16649","High-follower indie curator; explicit hidden-gems focus; page says no VR/demos in search snapshot","Recent May activity visible in search snapshot","LOW through Steam; external email ignored for key safety","Indie hidden-gem angle; full build/preview access only","1","2026-05-19","High-value candidate but do not send demo-only pitch if their page still says no demos."
"CUR-019","Unknown Worlds","https://store.steampowered.com/curator/5312-Unknown-Worlds/","Subnautica;Developer Curator","en","DO_NOT_CONTACT_COMPETITOR","0","103146","Competitor/developer page, not a marketing recipient","Current competitor product activity visible","N/A","N/A","0","2026-05-19","Competitor source signal only. Never send HECTON-8 key or pitch."
"CUR-020","Open World Survival Craft tag surface","https://store.steampowered.com/tags/en/Open%20World%20Survival%20Craft/","Open World Survival Craft","various","DISCOVERY_SURFACE","TBD","UNKNOWN","N/A","N/A","N/A","N/A","0","2026-05-19","Use after real base/exploration/crafting proof; crowded/scam-heavy discovery lane."
