"RefinementId","Domain","SourceTable","StaticProblem","FirstOwnerPacket","RequiredUnityReadback","RequiredOfflineWork","RequiredProof","ForbiddenShortcut","Status"
"PF-REF-001","material_foam_ocean_contact","PRODUCT_FACE_MATERIAL_P0_TARGET_TABLE_20260605.csv","29 water_ocean_contact rows plus rejected foam support rows keep shoreline and ocean-contact material truth pending; static rows do not prove Crest visible slots or contact quality.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Read active Crest/ocean renderers, visible foam/contact material slots, texture roles, shader, keywords, render queue, and scene users; include h8_1475 crest_ocean_waterline_readback before mutation.","Author cleaned salt rim, wet edge, bubble breakup, shallow normal breakup, and low-contrast foam/contact masks with documented PBR roles and import targets.","Unity material readback, texture import readback, shoreline screenshot, Frame Debugger or Stats, Console state, and memory or VRAM evidence in a canonical proof packet.","No foam.png promotion; no artist texture in Crest _WD data lanes; no runtime Crest wrapper, clone, override, fog, darkness, bloom, or cropped proof.","PENDING_UNITY_READBACK"
"PF-REF-002","material_crest_boundary","PRODUCT_FACE_MATERIAL_P0_TARGET_TABLE_20260605.csv","Crest/ocean rows mix visible material repair with data-lane risk; static tables cannot prove which slots are visible art and which slots are wave-data inputs.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Read OceanRenderer, Crest material asset refs, _WD slot refs, foam/contact inputs, hidden damping primitives, material instance state, and active scene binding.","Separate visible material family contracts from Crest data lanes; keep _WD lanes data-only; prepare route-owned visible masks only after slot ownership is proven.","Crest slot inspector readback, Frame Debugger visible contribution, material instance count, SetPass or batch report, and no clone or wrapper statement.","No custom wrapper scripts; no runtime material copies; no assigning art textures to _WD wave-data lanes; no treating hidden input primitives as visible art clearance.","PENDING_CREST_SLOT_READBACK"
"PF-REF-003","material_flora_coral_kelp","PRODUCT_FACE_MATERIAL_P0_TARGET_TABLE_20260605.csv","44 flora_coral_fauna rows include 40 proxy-contamination blockers and generated proxy material routes; static texture paths do not prove organic channel semantics or visible route quality.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Read active flora, coral, and kelp renderers; material slots; alpha or dither path; LOD state; texture roles; shader keywords; scene users.","Build or clean organic albedo, normal, AO cavity, wetness roughness, alpha or dither, and optional biolum masks; prove tile and mip behavior with contact sheets.","Unity material readback, import readback, organic material manifest, LOD or silhouette proof, route screenshots, Frame Debugger or Stats, and memory evidence.","No WorldProceduralProxy promotion; no alpha-blend spam; no proxy material camouflage; no random scatter covering weak terrain, water, or route composition.","PENDING_UNITY_READBACK"
"PF-REF-004","material_proxy_blockout_default","PRODUCT_FACE_MATERIAL_P0_TARGET_TABLE_20260605.csv","31 proxy_placeholder rows plus player blockout and package-default material rows keep tools, items, player, and product-face routes on placeholder or default material evidence.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Read exact renderer paths, current material refs, null or default refs, shader names, texture slots, and scene or prefab users for placeholder, blockout, and package-default rows.","Define route-owned shared MAT families for player, held tools, world tool items, pickups, and transport with TX role contracts and no per-object material uniqueness.","Renderer/material readback table, material family manifest, import readback for changed maps, product-face screenshots, Frame Debugger or Stats, and compact memory risk report.","No primitive with better material as clearance; no package Lit.mat route; no null slot acceptance; no per-prefab one-off material spam; no raw YAML edits.","PENDING_UNITY_READBACK"
"PF-REF-005","material_sky_aegir_cloud","PRODUCT_FACE_MATERIAL_P0_TARGET_TABLE_20260605.csv","13 sky_aegir_cloud rows are P0 readback targets because Aegir, sky, and cloud slots are product-face hero context; static material tokens do not prove active skybox binding or visual quality.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Read Mat_HectonSky, Aegir, cloud overlay, skybox, active scene bindings, stale or duplicate slots, shader keywords, texture roles, and h8_1475 sky_aegir_cloud_slot_readback.","Clean or author band, cloud, limb, haze, terminator, and atmosphere texture roles only after active slot ownership is proven.","Sky/Aegir slot inspector readback, surface sky screenshot, visual critique comparison, Frame Debugger or Stats, Console state, and material import readback.","No smeared pasted sphere acceptance; no sine stripes; no stale orbit-only proof; no darkness, storm grade, fog, bloom, or exposure crush hiding weak sky art.","PENDING_SKY_AEGIR_READBACK"
"PF-REF-006","material_terrain_geology","PRODUCT_FACE_MATERIAL_P0_TARGET_TABLE_20260605.csv","3 terrain_geology rows and the critique checklist keep coast and photic terrain material truth blocked; static source texture rows do not prove terrain material binding, scale, or route geology.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Read terrain material slots, rock and wet geology material refs, texture roles, scene users, shader, keywords, and h8_1475 terrain_material_route_readback.","Prepare wet basalt, sediment, strata, shell sand, and rubble role packs with tileability at 1x, 2x, and 4x plus packed mask semantics.","Terrain material slot readback, texture import readback, photic terrain screenshot, critique comparison, Frame Debugger or Stats, and VRAM or texture budget evidence.","No random scatter camouflage; no blurry source promotion; no fog cover; no crushed black shoreline; no material binding without scale witnesses and PBR role proof.","PENDING_TERRAIN_READBACK"
"PF-REF-007","prefab_player_product_face","PRODUCT_FACE_PREFAB_P0_TARGET_TABLE_20260605.csv","Player.prefab has BUILTIN_PRIMITIVE_MESH_REF_17 plus missing static LODGroup token and reported blockout/default material route; static YAML is not prefab or scene-instance proof.","taskslocal/asset_system_20260605/ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md","Prefab Stage or scoped Editor API readback of player renderers, mesh refs, material refs, LODGroup, colliders, anchors, scripts, active state, and scene overrides.","Define authored or offline-generated suit/player visible mesh plan with preserved pivots, sockets, HUD/cockpit bindings, materials, LODs, and COL proxy plan.","Prefab readback, mesh source report, LOD0/LOD1/LOD2 counts, collider report, material report, flat/final/wire/collider screenshots, Console, and Frame Debugger or Stats.","No raw prefab YAML; no texture-hidden primitive; no blockout material; no anchor or save identity drift; no scene override save without scoped proof.","PENDING_UNITY_PREFAB_READBACK"
"PF-REF-008","prefab_held_tools","PRODUCT_FACE_PREFAB_P0_TARGET_TABLE_20260605.csv","12 Tools/Held rows carry built-in primitive visual refs and no static LODGroup token; close-camera tool silhouettes remain product-face blockers.","taskslocal/asset_system_20260605/ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md","Read each held tool prefab renderer, mesh, material, collider, hand pose, effect origin, script, socket, and scene override state before replacement.","Author function-specific silhouettes for scanner, cutter, builder, repair, knife, harpoon, flashlight, propulsion, beacon, analyzer, sampler, and stun pistol families.","Per-tool prefab readback, authored mesh source report, LOD and collider proof, material role proof, close-view screenshots, Console, and Frame Debugger or Stats.","No shared generic tube, cube, capsule, or recolored primitive; no effect-origin drift; no hand-pose break; no runtime mesh generation.","PENDING_UNITY_PREFAB_READBACK"
"PF-REF-009","prefab_world_tool_items","PRODUCT_FACE_PREFAB_P0_TARGET_TABLE_20260605.csv","12 Items/Tools rows repeat held-tool primitive risk in world pickups; static rows do not prove pickup identity, trigger preservation, or world-readable silhouettes.","taskslocal/asset_system_20260605/ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md","Read world item prefabs for renderers, primitive mesh refs, material refs, pickup triggers, item ids, colliders, scripts, pivots, and scene override state.","Build world versions from held-tool language with readable object identity, pickup orientation, collision proxy, and shared material families.","Prefab readback, mesh source report, trigger and collider report, material report, world pickup screenshots, Console state, and Frame Debugger or Stats.","No held-tool mesh blindly copied without pickup proof; no trigger deletion; no package-default or blockout material; no generic pickup cube.","PENDING_UNITY_PREFAB_READBACK"
"PF-REF-010","prefab_resource_pickups","PRODUCT_FACE_PREFAB_P0_TARGET_TABLE_20260605.csv","8 Resources/Pickups rows are primitive and missing static LOD proof; one generic resource rock or recolor does not satisfy material-specific gameplay readability.","taskslocal/asset_system_20260605/ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md","Read each resource prefab renderer, mesh, material, collider, pickup trigger, item id, scale, pivot, script refs, and scene override state.","Create material-specific silhouettes for copper, fiber kelp, resin, membrane tissue, silica, silver, sulfur, and titanium scrap with COL proxies and MAT/TX roles.","Prefab readback, mesh report, collider report, material report, pickup route screenshots, flat-material proof, Console, and Frame Debugger or Stats.","No recolored primitive family as final; no interchangeable pickups; no MeshCollider truth on visual LOD0; no lost item identity or trigger semantics.","PENDING_UNITY_PREFAB_READBACK"
