"path","cue_id","class","duration_sec","load_type","compression","quality","owner","addressable_group","addressable_key","placeholder_flag","route_use","notes"
"Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3","SPACESHIP_SOUNDS_AMBIENT","ambient","63.336","Streaming","Vorbis","0.45","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","first-exit/shallow pressure-bed candidate","Ambient Vorbis quality below Q70 target; load-policy conflict unresolved"
"Assets/_Project/Audio/Atmos 1 Loop.wav","ATMOS_1_LOOP","ambient","128","Streaming","Vorbis","0.45","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","first-exit/shallow dense-bed candidate; requires ducking","Ambient Vorbis quality below Q70 target; waveform QA masking risk"
"Assets/_Project/Audio/Atmos 1.wav","ATMOS_1","ambient","138","CompressedInMemory","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","world ambience or pressure bed candidate","STATIC_SOURCE only; runtime proof pending"
"Assets/_Project/Audio/Atmos 2 Loop.wav","ATMOS_2_LOOP","ambient","128","Streaming","Vorbis","0.45","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","world ambience or pressure bed candidate","Ambient Vorbis quality below Q70 target"
"Assets/_Project/Audio/Atmos 2.wav","ATMOS_2","ambient","136","Streaming","Vorbis","0.45","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","world ambience or pressure bed candidate","Ambient Vorbis quality below Q70 target"
"Assets/_Project/Audio/Atmos 3 Loop.wav","ATMOS_3_LOOP","ambient","120","CompressedInMemory","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","world ambience or pressure bed candidate","STATIC_SOURCE only; runtime proof pending"
"Assets/_Project/Audio/Atmos 3.wav","ATMOS_3","ambient","130","Streaming","Vorbis","0.45","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","world ambience or pressure bed candidate","Ambient Vorbis quality below Q70 target"
"Assets/_Project/Audio/Atmos 4 Loop.wav","ATMOS_4_LOOP","ambient","120","CompressedInMemory","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","world ambience or pressure bed candidate","STATIC_SOURCE only; runtime proof pending"
"Assets/_Project/Audio/Atmos 4.wav","ATMOS_4","ambient","129","CompressedInMemory","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","world ambience or pressure bed candidate","STATIC_SOURCE only; runtime proof pending"
"Assets/_Project/Audio/Atmos 5 Loop.wav","ATMOS_5_LOOP","ambient","120","Streaming","Vorbis","0.45","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","world ambience or pressure bed candidate","Ambient Vorbis quality below Q70 target"
"Assets/_Project/Audio/Atmos 5.wav","ATMOS_5","ambient","127","Streaming","Vorbis","0.45","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","world ambience or pressure bed candidate","Ambient Vorbis quality below Q70 target"
"Assets/_Project/Audio/Underwater Ambient.wav","UNDERWATER_AMBIENT","ambient","193","Streaming","Vorbis","0.45","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","first-exit/shallow underwater-bed candidate","Ambient Vorbis quality below Q70 target; waveform QA late swell needs ducking proof"
"Assets/_Project/Audio/Music for Game/abyss_1_Pitch-Black Silence.ogg","ABYSS_1_PITCH_BLACK_SILENCE","music","113.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_10_or_ambient_deep_5_Seven_Miles_Under.ogg","ABYSS_10_OR_AMBIENT_DEEP_5_SEVEN_MILES_UNDER","music","145.842","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_2_Twelve_Leagues_of_Iron.ogg","ABYSS_2_TWELVE_LEAGUES_OF_IRON","music","175.517","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg","ABYSS_3_DEEP_TRENCH_DRONE","music","372.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_4_Hull_At_Capacity.ogg","ABYSS_4_HULL_AT_CAPACITY","music","175.882","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_5_Hull_Under_Strain.ogg","ABYSS_5_HULL_UNDER_STRAIN","music","155.873","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_6_Deep Water Pressure Hum (1).ogg","ABYSS_6_DEEP_WATER_PRESSURE_HUM_1","music","317.28","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_7_Deep Water Pressure Hum.ogg","ABYSS_7_DEEP_WATER_PRESSURE_HUM","music","253.28","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_8_Below_the_Surface_Weight.ogg","ABYSS_8_BELOW_THE_SURFACE_WEIGHT","music","153.887","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_9_Iron_Under_Pressure.ogg","ABYSS_9_IRON_UNDER_PRESSURE","music","142.08","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_termal_1_Steam-Drip Clatter.ogg","ABYSS_TERMAL_1_STEAM_DRIP_CLATTER","music","137.28","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_termal_2_Steam-Teeth Ritual.ogg","ABYSS_TERMAL_2_STEAM_TEETH_RITUAL","music","158.72","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/abyss_termal_3_Steam-Teeth Ritual (1).ogg","ABYSS_TERMAL_3_STEAM_TEETH_RITUAL_1","music","212.2","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/ambient_deep_1_Underwater Muffled Silence.ogg","AMBIENT_DEEP_1_UNDERWATER_MUFFLED_SILENCE","music","171.36","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/ambient_deep_2_Underwater Muffled Silence (1).ogg","AMBIENT_DEEP_2_UNDERWATER_MUFFLED_SILENCE_1","music","112.12","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/ambient_deep_3_The_Leviathan_s_Watch.ogg","AMBIENT_DEEP_3_THE_LEVIATHAN_S_WATCH","music","142.028","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/ambient_deep_4_krasiviy_Six_Miles_Under.ogg","AMBIENT_DEEP_4_KRASIVIY_SIX_MILES_UNDER","music","146.26","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/ambient_dlinni_1_Sub-Bass Throb.ogg","AMBIENT_DLINNI_1_SUB_BASS_THROB","music","407.72","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/ambient_dlinni_2_Sub-Bass Hive.ogg","AMBIENT_DLINNI_2_SUB_BASS_HIVE","music","379.08","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/ambient_korotki_1_Sub-Bass Throb.ogg","AMBIENT_KOROTKI_1_SUB_BASS_THROB","music","132.48","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/ambient_korotki_2_Sub-Bass Throb (1).ogg","AMBIENT_KOROTKI_2_SUB_BASS_THROB_1","music","74.44","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/ambient_korotki_3_Sub-Bass Throb (2).ogg","AMBIENT_KOROTKI_3_SUB_BASS_THROB_2","music","53.76","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/being_attacked_1_Metallic Alarm Panic.ogg","BEING_ATTACKED_1_METALLIC_ALARM_PANIC","music","179.44","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/being_attacked_2_Metallic Alarm Panic (1).ogg","BEING_ATTACKED_2_METALLIC_ALARM_PANIC_1","music","184.64","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/being_attacked_3_Metallic Alarm.ogg","BEING_ATTACKED_3_METALLIC_ALARM","music","153.6","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/being_attacked_4_Metallic Alarm (1).ogg","BEING_ATTACKED_4_METALLIC_ALARM_1","music","169.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/cave_ambient_1_Pitch-Black Silence.ogg","CAVE_AMBIENT_1_PITCH_BLACK_SILENCE","music","234.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/cave_ambient_10_Volcanic Steam Ritual.ogg","CAVE_AMBIENT_10_VOLCANIC_STEAM_RITUAL","music","154.92","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/cave_ambient_2_Pitch Black Silence.ogg","CAVE_AMBIENT_2_PITCH_BLACK_SILENCE","music","199.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
