Sequence,DependencyNode,OwnerRoute,RequiredInputs,ProcessGate,ProofArtifact,RejectIf,AllowedOutput,MutationPolicy,NextOwner
01,process_gate_preflight,ASSET_OWNER_36,H8_1475_READBACK_FIELD_MANIFEST | ASSET_OWNER_36 packet,CPU under 50 and no Unity compiler import build processes,process_gate.md,CPU high or busy process or ambiguous state,BLOCKED_PROCESS_GATE,NO_MUTATION,Controller or Unity proof owner
02,static_input_pack,ASSET_OWNER_36,ASSET_OWNER_26 packet | VISUAL_REFERENCE_REJECTION | VISUAL_REFERENCE_CAPTURE_GAP | VISUAL_REFERENCE_CRITIQUE,Gate from row 01 clean,manifest.json static input list,MISSING_STATIC_INPUT without note,PENDING_VERIFICATION,NO_MUTATION,Unity proof owner
03,proof_root_and_manifest,ASSET_OWNER_36,Proof folder convention | manifest contract,Gate from row 01 clean,Docs/Screenshots/HectonProofPackets/h8_1475_session/manifest.json,folder missing or fake hash or missing artifact list,PENDING_VERIFICATION,WRITE_DOCS_ONLY,Unity proof owner
04,no_mutation_guard,ASSET_OWNER_26,No save no dirty no apply rules,Gate from row 01 clean,dirty_state_audit.md,dirty scene prefab material importer package or project state,BLOCKED_DIRTY_STATE,NO_SAVE_NO_APPLY,Unity proof owner
05,player_hud_binding_readback,ASSET_OWNER_36,H8_1475 manifest player_hud rows | ACTIVE_PLAYER_SCENE_CONFLICT_MAP,Gate clean and no dirty state,no_mutation_readback_report.md | h8_1475_player_hud_binding_scene_selected.png,missing production Player prefab binding or unresolved active shell authority or active interactive ScreenSpaceOverlay HUD route or flat nondecision HUD,PENDING_VISUAL_REVIEW,NO_MUTATION,Player HUD owner
06,sky_aegir_cloud_slot_readback,ASSET_OWNER_14,H8_1475 manifest sky_aegir rows | visual critique Aegir row,Gate clean and no dirty state,no_mutation_readback_report.md | h8_1475_sky_aegir_slots_inspector.png,stale null ignored muddy smeared or orbit-only proof,CANDIDATE_ONLY_NOT_ACTIVE,NO_MATERIAL_EDIT,Sky Aegir owner
07,crest_ocean_waterline_readback,ASSET_OWNER_20,H8_1475 manifest crest_ocean rows | visual critique water and shoreline rows,Gate clean and no dirty state,no_mutation_readback_report.md | h8_1475_crest_ocean_slots_inspector.png,Crest clone wrapper flat water repeated foam or missing active OceanRenderer,REJECTED_VISUAL_FLOOR,NO_CREST_MUTATION,Ocean Crest owner
08,terrain_material_route_readback,ASSET_OWNER_16,H8_1475 manifest terrain_material rows | visual critique terrain row,Gate clean and no dirty state,no_mutation_readback_report.md | h8_1475_terrain_material_slots_inspector.png,stale terrain material crushed noisy flat or hidden by fog,REJECTED_VISUAL_FLOOR,NO_TERRAIN_EDIT,Terrain geology owner
09,product_face_prefab_blocker_readback,ASSET_OWNER_25,PRODUCT_FACE_PREFAB_P0_TARGET_TABLE | H8_1475 product_face rows,Gate clean and no dirty state,h8_1475_product_face_primitive_targets_inspector.png,visible built-in primitive blockout null package-default proxy or missing LOD,REJECTED_PRODUCT_FACE_SOURCE,NO_PREFAB_EDIT,Prefab replacement owner
10,product_face_material_blocker_readback,ASSET_OWNER_24,PRODUCT_FACE_MATERIAL_P0_TARGET_TABLE | H8_1475 product_face rows,Gate clean and no dirty state,no_mutation_readback_report.md,foam png final use proxy material null slot missing PBR role or package default,REJECTED_PRODUCT_FACE_SOURCE,NO_MATERIAL_EDIT,Material repair owner
11,audio_p0_route_readback,ASSET_OWNER_28,AUDIO_P0_REMEDIATION_TARGET_TABLE | AUDIO_DIRECT_REF_DETAIL | AUDIO_PROFILE_ROUTE_MATRIX,Gate clean and no dirty state,no_mutation_readback_report.md | console_export.txt,null MusicDirector mixer or direct Player AudioClip route without owner release proof,PENDING_RUNTIME_MIX_PROOF,NO_PREFAB_OR_IMPORT_EDIT,Audio remediation owner
12,canonical_screenshot_capture,ASSET_OWNER_36,H8_1475 screenshot set | visual critique checklist,Gate clean and no dirty state,h8_1475_required_png_set,missing canonical screenshot or raw MCP PNG substitution,REJECTED_RAW_MCP_PNG,NO_SCENE_STAGING,Unity proof owner
13,frame_stats_profiler_boundary,ASSET_OWNER_36,H8_1475 manifest render stats rows | Docs QUALITY_GATES,Gate clean and safe editor state,frame_debugger_stats.md,Frame Debugger absent without abort note or fake runtime numbers,PENDING_PROFILER_PROOF,NO_RENDER_SETTING_EDIT,Unity proof owner
14,final_packet_triage,ASSET_OWNER_36,manifest | sha256 | UnityLog | console | readback | dirty audit | screenshots | visual comparison,Rows 01 through 13 documented,ASSET_OWNER_36_H8_1475_PROOF_EXECUTION_timestamp.md,acceptance claim without artifacts or dirty mutation risk,PENDING_VERIFICATION or REJECTED,WRITE_DOCS_ONLY,Controller review
