blocker_id,severity,area,source_packets,evidence,current_block,required_next_proof,forbidden_closeout,status
2014-B001,BLOCKING,Unity ownership,2012;2013,"2012 Unity queue owner label was mojibake; 2013 flagged it","Unsafe to start Unity-slot work if active owner identity is unknown","Explicit owner/free-slot statement using `ACTIVE_UNITY_OWNER_CONTINUE_FROM_LOGS`","Assuming slot is free from stale logs or mojibake label",OPEN
2014-B002,BLOCKING,baseline visual proof,2002;2007;2010;2012;2013,"No current Game View/Scene View/profiler proof exists","No visual acceptance possible","VisualProof packet outside Assets with matched captures and numeric GlobalQualityWeight lanes","Static docs or old passive capture as proof",OPEN
2014-B003,BLOCKING,active scene primitive/null material debt,2002;2013,"342 primitive mesh refs; 137 product-face filtered primitive refs; 45 null material slots","Surface/product-face route can still be blockout/default/missing material","Unity active scene inspection, relink report, before/after captures, Frame Debugger/profiler where relevant","Calling static YAML proof runtime proof",OPEN
2014-B004,BLOCKING,placement rule repair,2003;2012;2013,"Depth 0 maps dry terrain as eligible; underwater rules minDepth 0/preferSeafloor 0; candidate patch is unsafe direct apply","Dry-land kelp/coral/rocks and broad scatter behavior risk","Source inspection, compile proof, placement preview, dry-land before/after, telemetry if runtime touched","Applying 2003 diff blindly or deleting ecology to hide bug",OPEN
2014-B005,HIGH,BioForge flora/coral bake,2004;2012,"10 variants and channel contracts exist; actual source bitmaps absent; proxy/default material risks remain","No production flora/coral import/bake acceptance","Source image provenance, bake manifest, final variant validator, channel debug, LOD/material proof","Proxy primitives, alpha-card forests, generated starter maps as final",OPEN
2014-B006,HIGH,GeologyForge shoreline rocks,2005;2012,"10 rock families exist; wet basalt/waterline material stack incomplete; placement rules unresolved","No shoreline/coastline geology acceptance","Wet basalt stack, deterministic bake manifest, collider/LOD validation, shoreline captures","Default-Material fallback, primitive rocks, random scatter",OPEN
2014-B007,BLOCKING,sky/Aegir/moon/cloud,2002;2006;2013,"Static packet reports primitive Aegir/Sky routes, unresolved sky texture GUIDs, conflicting sky atlas ownership, reused rock textures for moons","No sky/Aegir Unity acceptance","Source-aware validator extension, long/crop/360 paired captures, material/source slot proof, profiler if changed","Darkening surface, flat gradients, placeholder moons/Aegir",OPEN
2014-B008,BLOCKING,ocean/shoreline/waterline,2007;2011;2013,"Source route exists; no Frame Debugger/profiler/GC/memory/VRAM proof; Crest quarantine partial FAIL","No ocean/waterline acceptance","RenderGraph/Frame Debugger, profiler/GC/memory/VRAM, waterline/shore/shallow captures, Crest hidden-pass inspection","Crest vendor mutation, physical sim before premium fake, flat blue water",OPEN
2014-B009,BLOCKING,ProductFace relink,2008;2011;2013,"2008 says DO NOT APPLY; route audit zero findings conflicts with primitive/material debt","Relink would be filename/channel guesswork","Shader-specific channel contract, source/import proof, validator output, material slot proof, before/after captures","Blind relink or using route audit zero findings as visual closure",OPEN
2014-B010,BLOCKING,generated source files,2009;2013,"Prompt pack generated no images; intake manifest is template only","No imports can proceed from 2009","Candidate files with hashes, provenance, QA rows, license/status, owner approval","Claiming prompts equal source assets",OPEN
2014-B011,BLOCKING,material/channel contracts,2008;2011;2013,"65 materials with issues; 21 unresolved texture-ref materials; 50 unresolved refs; 14 surface blockers; 11 ProductFace channel gaps","Material binding/relink/import remains unsafe","Resolve texture refs, shader slot/channel contracts, import settings proof, material preview/capture","Guessing ORM/MRAO/ARM from filenames",OPEN
2014-B012,BLOCKING,first-hour gameplay route,FIRST_HOUR;2013,"CopperVein Drill-gated 40-420 m; starter lacks Drill; SeafloorDrill item/prefab missing; CopperWire cost conflict","Beautiful route may still be gameplay-invalid","PlayMode gates for copper reach/harvest/return/craft, titanium branch, O2 support, save/load, respawn, black box","Visual proof alone as first-hour acceptance",OPEN
2014-B013,WARNING,Visual LOD/scalability,2010;2011;2013,"Matrix binary and offline stress pass are static/offline only","Quality labels may become binary branch authority","Runtime LOD/capture/profiler proof and continuous scalar audit","TOASTER/DECK/PRO/GOD_MODE as gameplay truth branches",OPEN
2014-B014,WARNING,Black-box/profiler proof,2010;2012;2013,"300-frame rings are requirements/static declarations; no dump artifact exists","Telemetry cannot be claimed active","Dump artifact and manifest from Unity/runtime trigger when critical systems touched","Claiming black-box readiness from prose",OPEN
