folder,prefab_count,lodgroup_prefabs,no_lodgroup_prefabs,builtin_primitive_mesh_ref_prefabs,meshcollider_prefabs,proxy_or_placeholder_folder,priority,disposition,primary_blocker,next_packet_or_owner
Assets/_Project/Prefabs,21,0,21,6,1,false,P2,UNCLASSIFIED_PREFAB_SOURCE,Prefab folder needs owner assignment before visible route promotion.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future prefab owner
Assets/_Project/Prefabs/Audio,2,0,2,0,0,false,P2,AUDIO_PREFAB_STATIC_ONLY,Audio prefab folder is outside visual mesh proof; use audio route packets.,ASSET_OWNER_10_MUSICDIRECTOR_AUDIO_ROUTING_PACKET.md
Assets/_Project/Prefabs/Buildings,1,0,1,1,0,false,P2,PRODUCT_FACE_SOURCE_NEEDS_MATERIAL_MESH_PROOF,Product-face prefab folder needs mesh/material/LOD/import proof before route use.,future product-face prefab owner
Assets/_Project/Prefabs/Construction/Final,10,6,4,10,0,false,P1,PRODUCT_FACE_REJECT_STATIC,"Construction final intent exists, but built-in primitive visual meshes and missing LODs block product-face route.",MESH_PREFAB_REVIEW_QUEUE_20260605.md / hard-surface prefab owner
Assets/_Project/Prefabs/Diagnostics,1,0,1,1,0,false,P2,UNCLASSIFIED_PREFAB_SOURCE,Prefab folder needs owner assignment before visible route promotion.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future prefab owner
Assets/_Project/Prefabs/Items/Tools,12,0,12,12,0,false,P2,PRODUCT_FACE_SOURCE_NEEDS_MATERIAL_MESH_PROOF,Product-face prefab folder needs mesh/material/LOD/import proof before route use.,future product-face prefab owner
Assets/_Project/Prefabs/Narrative/AppliedLore,1,0,1,0,0,false,P2,NARRATIVE_PREFAB_STATIC_ONLY,Narrative prefab folder is not a visual asset promotion source in current front.,future narrative/world-space UI owner
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,27,0,27,0,0,false,P2,NARRATIVE_PREFAB_STATIC_ONLY,Narrative prefab folder is not a visual asset promotion source in current front.,future narrative/world-space UI owner
Assets/_Project/Prefabs/Nature/Flora,1,1,0,0,0,false,P2,UNCLASSIFIED_PREFAB_SOURCE,Prefab folder needs owner assignment before visible route promotion.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future prefab owner
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching,6,6,0,0,0,true,P1,CANDIDATE_MESH_POOL_BLOCKED_BY_MATERIAL,"Baked flora geometry candidate, blocked by WorldProceduralProxy material route until readback/replacement.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle,10,10,0,0,0,true,P1,CANDIDATE_MESH_POOL_BLOCKED_BY_MATERIAL,"Baked flora geometry candidate, blocked by WorldProceduralProxy material route until readback/replacement.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_low,6,6,0,0,0,true,P1,CANDIDATE_MESH_POOL_BLOCKED_BY_MATERIAL,"Baked flora geometry candidate, blocked by WorldProceduralProxy material route until readback/replacement.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive,6,6,0,0,0,true,P1,CANDIDATE_MESH_POOL_BLOCKED_BY_MATERIAL,"Baked flora geometry candidate, blocked by WorldProceduralProxy material route until readback/replacement.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate,6,6,0,0,0,true,P1,CANDIDATE_MESH_POOL_BLOCKED_BY_MATERIAL,"Baked flora geometry candidate, blocked by WorldProceduralProxy material route until readback/replacement.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_abyssal,14,14,0,0,0,true,P1,CANDIDATE_MESH_POOL_BLOCKED_BY_MATERIAL,"Baked flora geometry candidate, blocked by WorldProceduralProxy material route until readback/replacement.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_canopy,15,15,0,0,0,true,P1,CANDIDATE_MESH_POOL_BLOCKED_BY_MATERIAL,"Baked flora geometry candidate, blocked by WorldProceduralProxy material route until readback/replacement.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense,12,12,0,0,0,true,P1,CANDIDATE_MESH_POOL_BLOCKED_BY_MATERIAL,"Baked flora geometry candidate, blocked by WorldProceduralProxy material route until readback/replacement.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_tall,14,14,0,0,0,true,P1,CANDIDATE_MESH_POOL_BLOCKED_BY_MATERIAL,"Baked flora geometry candidate, blocked by WorldProceduralProxy material route until readback/replacement.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/BioForge/Shallows/Kelp,100,100,0,0,0,true,P1,CANDIDATE_SOURCE_POOL_BLOCKED_BY_MATERIAL,BioForge organic source pool blocked by shared proxy material and missing visual proof.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/Flora/BioForge/Shallows/PorousRock,50,50,0,0,50,true,P1,CANDIDATE_SOURCE_POOL_SPLIT_COLLIDER_BLOCKED,PorousRock source pool blocked by material route and MeshCollider proof.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / BioForge owner
Assets/_Project/Prefabs/Nature/Flora/BioForge/Shallows/TubeCoral,50,50,0,0,0,true,P1,CANDIDATE_SOURCE_POOL_BLOCKED_BY_MATERIAL,BioForge organic source pool blocked by shared proxy material and missing visual proof.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Prefabs/Nature/GOTOVYE_PREFABY_KAMNEY,25,25,0,0,25,false,P2,STATIC_SOURCE_NEEDS_ROUTE_PROOF,"Legacy/nature rock source folder needs material, LOD, collider, and route screenshot proof before promotion.",MESH_PREFAB_REVIEW_QUEUE_20260605.md / geology prefab owner
Assets/_Project/Prefabs/Nature/OrganicMisc/Final,2,2,0,2,0,false,P2,UNCLASSIFIED_PREFAB_SOURCE,Prefab folder needs owner assignment before visible route promotion.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future prefab owner
Assets/_Project/Prefabs/Nature/Rocks,5,0,5,0,0,false,P2,STATIC_SOURCE_NEEDS_ROUTE_PROOF,"Legacy/nature rock source folder needs material, LOD, collider, and route screenshot proof before promotion.",MESH_PREFAB_REVIEW_QUEUE_20260605.md / geology prefab owner
Assets/_Project/Prefabs/Nature/Rocks/Baked,1,0,1,0,0,false,P2,STATIC_SOURCE_NEEDS_ROUTE_PROOF,"Legacy/nature rock source folder needs material, LOD, collider, and route screenshot proof before promotion.",MESH_PREFAB_REVIEW_QUEUE_20260605.md / geology prefab owner
Assets/_Project/Prefabs/Nature/Rocks/Metki_dlya_narostov,3,0,3,0,0,false,P2,STATIC_SOURCE_NEEDS_ROUTE_PROOF,"Legacy/nature rock source folder needs material, LOD, collider, and route screenshot proof before promotion.",MESH_PREFAB_REVIEW_QUEUE_20260605.md / geology prefab owner
Assets/_Project/Prefabs/Nature/Rocks/ProceduralFinals,49,49,0,0,0,false,P1,CANDIDATE_GEOMETRY_STATIC_ONLY,Strongest static geology candidate; still needs Unity material/LOD/collider/screenshot proof.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / geology prefab owner
Assets/_Project/Prefabs/Resources/Pickups,8,0,8,8,0,false,P2,PRODUCT_FACE_SOURCE_NEEDS_MATERIAL_MESH_PROOF,Product-face prefab folder needs mesh/material/LOD/import proof before route use.,future product-face prefab owner
Assets/_Project/Prefabs/Tools/Held,12,0,12,12,0,false,P2,PRODUCT_FACE_SOURCE_NEEDS_MATERIAL_MESH_PROOF,Product-face prefab folder needs mesh/material/LOD/import proof before route use.,future product-face prefab owner
Assets/_Project/Prefabs/Transport,4,0,4,4,0,false,P2,PRODUCT_FACE_SOURCE_NEEDS_MATERIAL_MESH_PROOF,Product-face prefab folder needs mesh/material/LOD/import proof before route use.,future product-face prefab owner
Assets/_Project/Prefabs/WorldProceduralProxy,88,0,88,88,0,true,P0,REJECT_VISIBLE_ROUTE_PLACEMENT,"Proxy prefab folder: primitive mesh refs, no LOD chain, proxy route only.",MESH_PREFAB_REVIEW_QUEUE_20260605.md / future replacement owner
Assets/_Project/Prefabs/WorldRuntime,1,0,1,0,0,false,P2,UNCLASSIFIED_PREFAB_SOURCE,Prefab folder needs owner assignment before visible route promotion.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future prefab owner
Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Construction,7,0,7,7,0,true,P0,REJECT_VISIBLE_ROUTE_PLACEMENT,Runtime placeholder folder: primitive/proxy content cannot be visible route art.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future replacement owner
Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Debris,2,0,2,2,0,true,P0,REJECT_VISIBLE_ROUTE_PLACEMENT,Runtime placeholder folder: primitive/proxy content cannot be visible route art.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future replacement owner
Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Fauna,3,0,3,3,0,true,P0,REJECT_VISIBLE_ROUTE_PLACEMENT,Runtime placeholder folder: primitive/proxy content cannot be visible route art.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future replacement owner
Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora,8,0,8,8,0,true,P0,REJECT_VISIBLE_ROUTE_PLACEMENT,Runtime placeholder folder: primitive/proxy content cannot be visible route art.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future replacement owner
Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/LargeThreats,4,0,4,4,0,true,P0,REJECT_VISIBLE_ROUTE_PLACEMENT,Runtime placeholder folder: primitive/proxy content cannot be visible route art.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future replacement owner
Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Resources,1,0,1,1,0,true,P0,REJECT_VISIBLE_ROUTE_PLACEMENT,Runtime placeholder folder: primitive/proxy content cannot be visible route art.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future replacement owner
Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/TerrainLod,5,0,5,5,0,true,P0,REJECT_VISIBLE_ROUTE_PLACEMENT,Runtime placeholder folder: primitive/proxy content cannot be visible route art.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future replacement owner
Assets/_Project/Prefabs/WorldSupport/Final,9,9,0,9,0,false,P2,UNCLASSIFIED_PREFAB_SOURCE,Prefab folder needs owner assignment before visible route promotion.,MESH_PREFAB_REVIEW_QUEUE_20260605.md / future prefab owner
