blueprint_id,material_target,texture_target,color_range,roughness_range
BP_CAVE_ENT_01,MAT_Rock_Limestone_Base,TEX_Limestone_Albedo_4k,0.2-0.3,0.7-0.9
BP_CAVE_ENT_02,MAT_Rock_Sandstone_Worn,TEX_Sandstone_Albedo_4k,0.3-0.4,0.6-0.8
BP_CAVE_ENT_03,MAT_Rock_Basalt_Dark,TEX_Basalt_Albedo_4k,0.1-0.2,0.8-1.0
BP_CAVE_ENT_04,MAT_Rock_Limestone_Base,TEX_Limestone_Albedo_4k,0.2-0.3,0.7-0.9
BP_CAVE_ENT_05,MAT_Rock_Basalt_Dark,TEX_Basalt_Albedo_4k,0.1-0.2,0.8-1.0
BP_CAVE_ENT_06,MAT_Rock_Limestone_Base,TEX_Limestone_Albedo_4k,0.2-0.3,0.7-0.9
BP_CAVE_ENT_07,MAT_Rock_Sandstone_Worn,TEX_Sandstone_Albedo_4k,0.3-0.4,0.6-0.8
BP_CAVE_ENT_08,MAT_Rock_Basalt_Dark,TEX_Basalt_Albedo_4k,0.1-0.2,0.8-1.0
BP_CAVE_ENT_09,MAT_Rock_Limestone_Base,TEX_Limestone_Albedo_4k,0.2-0.3,0.7-0.9
BP_CAVE_ENT_10,MAT_Rock_Sandstone_Worn,TEX_Sandstone_Albedo_4k,0.3-0.4,0.6-0.8
BP_CORAL_BRA_01,MAT_Coral_Hard_Red,TEX_CoralRed_Albedo_2k,0.6-0.8,0.4-0.6
BP_CORAL_BRA_02,MAT_Coral_Hard_Yellow,TEX_CoralYellow_Albedo_2k,0.7-0.9,0.3-0.5
BP_CORAL_BRA_03,MAT_Coral_Hard_Blue,TEX_CoralBlue_Albedo_2k,0.4-0.6,0.4-0.6
BP_CORAL_BRA_04,MAT_Coral_Hard_Red,TEX_CoralRed_Albedo_2k,0.6-0.8,0.4-0.6
BP_CORAL_BRA_05,MAT_Coral_Hard_Yellow,TEX_CoralYellow_Albedo_2k,0.7-0.9,0.3-0.5
