"tool_id","path_held","path_world","current_primitive_evidence","current_material_paths","data_owner_paths","reusable_source_candidates","required_mesh_parts","required_material_slots","required_anchors","collider_proxy_split","lod_expectation","quality_scaling","proof_needed","status","next_owner"
"Tool_BeaconDeployer","Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab","Held and world MeshFilter use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Assets/_Project/Art/Materials/Tools/Mat_Tool_BeaconDeployer_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_BeaconDeployer.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_BeaconDeployer.asset","Support only: Assets/_Project/Editor/Generators/Interiors/EquipmentPropBaker1715.cs; Assets/_Project/Editor/Assembly/EquipmentPrefabFactory.cs; Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; no accepted beacon deployer body mesh found.","VIS_Body; VIS_FoldedBeaconCartridge; VIS_AntennaSpool; VIS_EmitterLens; VIS_BatteryLatch; VIS_RubberGrip; VIS_LabelDecals","MAT_tool_worn_pressure_metal; MAT_tool_rubber_grip; MAT_tool_dirty_glass_emissive; MAT_tool_warning_label; packed TX albedo normal MRAO emission/wetness","ANCHOR_Grip_R; ANCHOR_DeployRayOrigin; ANCHOR_Emitter; ANCHOR_CartridgeLatch; ANCHOR_Pickup; optional ANCHOR_AUP_LocalOrigin","COL_GripBox; COL_BodyCapsule; COL_PickupTrigger; no LOD0 visual MeshCollider.","LOD0 held hero 2500-4500 tris; LOD1 shared world 1000-1800; LOD2 250-450; no distant HLOD except pickup clutter card.","GlobalQualityWeight continuous: low keeps cartridge/antenna silhouette and 1K-or-lower packed masks; middle adds labels/grime; high adds bevel/lens response; ultra adds screws/spool cable/emissive diagnostics without changing deployment truth.","Prefab YAML no primitive mesh; mesh path; material/texture role paths; held screenshot; world pickup screenshot; player capture; collider proxy proof; profiler only if render/runtime path changes.","NEEDS_SOURCE_ASSET","Tools art owner plus beacon/tool gameplay owner"
"Tool_Builder","Assets/_Project/Prefabs/Tools/Held/Tool_Builder_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab","Held VisualBody and world prefab use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Assets/_Project/Art/Materials/Tools/Mat_Tool_Builder_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_Builder.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_Builder.asset","Support only: EquipmentPropBaker1715 and EquipmentPrefabFactory; shader support Hecton_ToolDecayLit and Hecton_ConstructionDearLieHologram; no accepted builder body mesh found.","VIS_PistolGrip; VIS_ProjectorFork; VIS_MaterialFeedSlot; VIS_HeatVents; VIS_StatusGauge; VIS_ServiceScrews","MAT_worn_polymer_metal; MAT_cyan_projector_glass; MAT_rubber; MAT_warning_label; MAT_heat_darkened_vent; packed masks","ANCHOR_Grip_R; ANCHOR_BuildRayOrigin; ANCHOR_ProjectorNozzle; ANCHOR_FeedSlot; ANCHOR_Pickup; ANCHOR_AUP_LocalOrigin","COL_GripBox; COL_BodyBox; COL_NozzleTrigger; COL_PickupTrigger; visual mesh never collision truth.","LOD0 held hero 3000-5000; LOD1 world 1200-2200; LOD2 300-500; dithered transitions with hysteresis.","Low keeps fork/grip/nozzle read; middle adds vents/labels; high adds bevel and glass/wetness; ultra adds small panel seams and projector glow only.","Prefab YAML no primitive; mesh/material paths; anchor preservation screenshot; held/world screenshots; player capture; collider proxy proof; profiler if hologram/render path changes.","NEEDS_SOURCE_ASSET","Tools art owner plus construction/tool owner"
"Tool_EnvAnalyzer","Assets/_Project/Prefabs/Tools/Held/Tool_EnvAnalyzer_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab","Held VisualBody_EnvAnalyzer and world prefab use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Assets/_Project/Art/Materials/Tools/Mat_Tool_EnvAnalyzer_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_EnvAnalyzer.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_EnvAnalyzer.asset","Support only: EquipmentPropBaker1715/Factory; Hecton_ToolScreenDiegetic for readout; Hecton_ToolDecayLit for casing; no accepted analyzer body mesh found.","VIS_RuggedCasing; VIS_SensorHead; VIS_SamplePort; VIS_RibbedGrip; VIS_SmallScreen; VIS_LensCluster","MAT_dark_worn_casing; MAT_dirty_sensor_glass; MAT_rubber; MAT_cyan_green_diagnostic_emission; MAT_label_decals; packed masks","ANCHOR_Grip_R; ANCHOR_ScanOrigin; ANCHOR_SamplePort; ANCHOR_ScreenPlane; ANCHOR_Pickup; ANCHOR_AUP_LocalOrigin","COL_GripBox; COL_BodyCapsule; COL_ScanOriginProxy; COL_PickupTrigger.","LOD0 held 2500-4200; LOD1 world 900-1700; LOD2 220-420; no HLOD except clutter.","Low preserves sensor head/screen silhouette; middle adds labels and grime; high adds glass/condensation response; ultra adds secondary lens and diagnostic strip detail.","Prefab YAML no primitive; mesh/material paths; scan-origin proof; held/world screenshot; player capture; collider proof; compact readability.","NEEDS_SOURCE_ASSET","Tools art owner plus scanner/analyzer owner"
"Tool_Flashlight","Assets/_Project/Prefabs/Tools/Held/Tool_Flashlight_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab","Held Visual and world prefab use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Assets/_Project/Art/Materials/Tools/Mat_Tool_Flashlight_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_Flashlight.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_Flashlight.asset","Support only: Hecton_FlashlightConeSilt.shader; Hecton_VolumetricLight.compute/proxy shader for beam presentation; EquipmentPropBaker1715/Factory; no accepted flashlight body mesh found.","VIS_LensBezel; VIS_BatteryTube; VIS_ClampRail; VIS_HandStrap; VIS_HeatFins; VIS_RearCap","MAT_anodized_wet_metal; MAT_dirty_pressure_glass; MAT_rubber_seal; MAT_worn_label; MAT_emissive_lens_mask; packed masks","ANCHOR_Grip_R; ANCHOR_BeamOrigin; ANCHOR_LensCenter; ANCHOR_BatteryCap; ANCHOR_Pickup; ANCHOR_AUP_LocalOrigin","COL_GripCapsule; COL_BodyCapsule; COL_LensRayProxy; COL_PickupTrigger; no visual MeshCollider.","LOD0 held lens hero 2000-4000; LOD1 world 900-1600; LOD2 180-360; no HLOD except clutter.","Low keeps lens/beam direction and simple packed material; middle adds strap/seals; high adds scratched glass and wet metal; ultra adds micro scratches and tiny screws.","Prefab YAML no primitive; lens/beam origin proof; mesh/material paths; held/world screenshots; player capture in dark route; collider proof; profiler if light/render path changes.","NEEDS_SOURCE_ASSET","Tools art owner plus lighting/flashlight owner"
"Tool_HarpoonLauncher","Assets/_Project/Prefabs/Tools/Held/Tool_HarpoonLauncher_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab","Held VisualBody_HarpoonLauncher and world prefab use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Assets/_Project/Art/Materials/Tools/Mat_Tool_HarpoonLauncher_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_HarpoonLauncher.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_HarpoonLauncher.asset","Support only: Assets/_Project/Art/Shaders/Hecton_TetherLineStrip.shader for cable presentation; EquipmentPropBaker1715/Factory; no accepted launcher mesh found.","VIS_BarrelRail; VIS_TetherSpool; VIS_PressureTank; VIS_GripStock; VIS_SafetyCage; VIS_HarpoonTipProxy","MAT_dark_worn_metal; MAT_cable_rubber; MAT_hazard_paint; MAT_scratched_barrel; MAT_dirty_label; packed masks","ANCHOR_Grip_R; ANCHOR_Muzzle; ANCHOR_TetherAnchor; ANCHOR_SpoolAxis; ANCHOR_Pickup; ANCHOR_AUP_LocalOrigin","COL_GripBox; COL_BodyBox; COL_BarrelCapsule; COL_PickupTrigger; tether gameplay truth owned outside visual.","LOD0 held 3500-6000; LOD1 world 1500-2600; LOD2 350-650; HLOD only for staged clutter.","Low keeps barrel/spool line-of-fire; middle adds cable/hazard labels; high adds bevel/wear; ultra adds secondary cable rail/recoil visuals only.","Prefab YAML no primitive; muzzle/tether anchor proof; mesh/material paths; held/world screenshots; player capture; collider proof; profiler if tether presentation changes.","NEEDS_SOURCE_ASSET","Tools art owner plus harpoon/physics owner"
"Tool_Knife","Assets/_Project/Prefabs/Tools/Held/Tool_Knife_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab","Held VisualBody_Knife and world prefab use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Assets/_Project/Art/Materials/Tools/Mat_Tool_Knife_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_Knife.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_Knife.asset","No accepted knife mesh found. FloraDataTemplate_KnifeMat is name collision/organic flora data, not a tool source. EquipmentPropBaker route can provide hard-surface pieces only.","VIS_BladeSerrated; VIS_PrySpine; VIS_Guard; VIS_WrappedGrip; VIS_SheathClip","MAT_brushed_titanium_edge; MAT_dark_rubber_wrap; MAT_salt_wear; MAT_warning_stamp; packed masks","ANCHOR_Grip_R; ANCHOR_BladeEdgeStart; ANCHOR_BladeEdgeEnd; ANCHOR_CutProxy; ANCHOR_Pickup","COL_GripCapsule; COL_BladeSweepBox; COL_PickupTrigger; no visual blade MeshCollider.","LOD0 held blade 1200-2500; LOD1 world 600-1000; LOD2 120-240; no HLOD except clutter.","Low keeps blade edge silhouette; middle adds grip wrap and stamp; high adds edge wear/wet highlight; ultra adds micro scratches and nicked serrations.","Prefab YAML no primitive; blade mesh/material paths; hit proxy proof; held/world screenshots; compact readability; player capture.","NEEDS_SOURCE_ASSET","Tools art owner plus knife/combat/salvage owner"
"Tool_LaserCutter","Assets/_Project/Prefabs/Tools/Held/Tool_LaserCutter_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab","Held VisualBody and world prefab use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Assets/_Project/Art/Materials/Tools/Mat_Tool_LaserCutter_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_LaserCutter.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_LaserCutter.asset","Support only: Assets/_Project/Art/Materials/VFX/MAT_ShinobuPlasmaBeamIndirect.mat; laser cutter DOD scripts; EquipmentPropBaker/Factory; no accepted laser cutter body mesh found.","VIS_EmitterHead; VIS_CeramicNozzle; VIS_HeatSinkFins; VIS_PowerCell; VIS_SafetyShield; VIS_StatusDisplay; VIS_Grip","MAT_heat_darkened_metal; MAT_ceramic_emitter; MAT_dirty_glass; MAT_rubber; MAT_warning_label; MAT_cyan_amber_emissive; packed masks","ANCHOR_Grip_R; ANCHOR_BeamOrigin; ANCHOR_Emitter; ANCHOR_HeatVent; ANCHOR_StatusScreen; ANCHOR_Pickup; ANCHOR_AUP_LocalOrigin","COL_GripBox; COL_BodyBox; COL_BeamOriginProxy; COL_PickupTrigger; no visual MeshCollider.","LOD0 held 3500-6000; LOD1 world 1400-2400; LOD2 300-600; dithered transitions.","Low keeps emitter/fins/beam origin; middle adds warnings/grime; high adds heat discoloration/glass; ultra adds secondary glow and tiny vents only.","Prefab YAML no primitive; emitter anchor proof; mesh/material paths; held/world screenshots; player capture cutting target; collider proof; profiler if beam/render path changes.","NEEDS_SOURCE_ASSET","Tools art owner plus laser cutter owner"
"Tool_Propulsion","Assets/_Project/Prefabs/Tools/Held/Tool_Propulsion_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab","Held and world prefab use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Held material resolves to package-cache Lit.mat at .codexbuild/ShallowsBakeProject_20260514_030549/Library/PackageCache/com.unity.render-pipelines.universal@580a03820d50/Runtime/Materials/Lit.mat; world material: Assets/_Project/Art/Materials/Tools/Mat_Tool_Propulsion_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_Propulsion.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_Propulsion.asset; transport preset: Assets/_Project/Data/Transport/TransportPreset_Manta.asset","Support only: propwash shaders/tuners and Manta transport data route; EquipmentPropBaker/Factory; no accepted propulsion body mesh found; held/world material mismatch requires decision.","VIS_IntakeGrille; VIS_DuctedNozzle; VIS_BatteryPumpBody; VIS_GripRails; VIS_CageFins; VIS_ServiceLatch","MAT_wet_dark_metal; MAT_black_rubber; MAT_scuffed_nozzle; MAT_warning_paint; MAT_grille_ao; packed masks","ANCHOR_Grip_LR; ANCHOR_ThrustOrigin; ANCHOR_Intake; ANCHOR_ServiceLatch; ANCHOR_Pickup; ANCHOR_AUP_LocalOrigin","COL_GripCapsules; COL_BodyCapsule; COL_NozzleProxy; COL_PickupTrigger; force truth remains tool/physics owner.","LOD0 held 3000-5500; LOD1 world 1300-2200; LOD2 300-550; no HLOD except clutter.","Low keeps nozzle/intake direction; middle adds grille/labels; high adds wet bevels; ultra adds secondary intake spin/VFX only, not force truth.","Prefab YAML no primitive; material decision proof; nozzle/thrust anchor proof; mesh/material paths; held/world screenshots; player capture; collider proof; profiler if force presentation changes.","NEEDS_DECISION","Tools art owner plus propulsion/transport owner"
"Tool_Repair","Assets/_Project/Prefabs/Tools/Held/Tool_Repair_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab","Held VisualBody and world prefab use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Assets/_Project/Art/Materials/Tools/Mat_Tool_Repair_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_Repair.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_Repair.asset; world has ScannableFragment component reference in YAML","Support only: EquipmentPropBaker1715/Factory; ToolDecayLit and ToolScreenDiegetic; no accepted repair tool body mesh found.","VIS_WelderNozzle; VIS_HeatShield; VIS_CableBattery; VIS_Grip; VIS_PressureGauge; VIS_PatchFeedSlot","MAT_heat_stained_metal; MAT_ceramic_nozzle; MAT_rubber_grip; MAT_amber_cyan_indicator; MAT_scratched_label; packed masks","ANCHOR_Grip_R; ANCHOR_WeldRayOrigin; ANCHOR_Nozzle; ANCHOR_GaugeScreen; ANCHOR_Pickup; ANCHOR_AUP_LocalOrigin","COL_GripBox; COL_BodyBox; COL_NozzleProxy; COL_PickupTrigger; repair/weld truth external.","LOD0 held 3000-5200; LOD1 world 1200-2200; LOD2 280-520.","Low keeps nozzle/gauge read; middle adds labels/grime; high adds heat wear/material response; ultra adds subtle slag glow and secondary hardware only.","Prefab YAML no primitive; weld origin proof; mesh/material paths; held/world screenshots; repair target player capture; collider proof; profiler if VFX path changes.","NEEDS_SOURCE_ASSET","Tools art owner plus repair/tool owner"
"Tool_SalvageSampler","Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","Held VisualBody_SalvageSampler and world prefab use built-in cube m_Mesh fileID 10202 guid 0000000000000000e000000000000000.","Assets/_Project/Art/Materials/Tools/Mat_Tool_SalvageSampler_Placeholder.mat","Item data: Assets/_Project/Data/Items/Tools/Item_Tool_SalvageSampler.asset; held metadata: Assets/_Project/Data/Tools/ToolMetadata_SalvageSampler.asset","Support only: EquipmentPropBaker1715/Factory; no accepted sampler body mesh found.","VIS_ClampJaws; VIS_SampleTubeGlass; VIS_SensorFork; VIS_CartridgeSlot; VIS_Grip; VIS_Readout","MAT_worn_stainless_polymer; MAT_dirty_glass_tube; MAT_bio_residue_mask; MAT_rubber; MAT_warning_label; packed masks","ANCHOR_Grip_R; ANCHOR_SampleContact; ANCHOR_JawPivot; ANCHOR_CartridgeSlot; ANCHOR_Pickup; ANCHOR_AUP_LocalOrigin","COL_GripBox; COL_BodyCapsule; COL_SampleContactProxy; COL_PickupTrigger; no visual MeshCollider.","LOD0 held 3000-5200; LOD1 world 1200-2100; LOD2 260-500.","Low keeps jaws/tube silhouette; middle adds residue/labels; high adds glass/wetness; ultra adds sample fluid detail only.","Prefab YAML no primitive; sample contact proxy proof; mesh/material paths; held/world screenshots; player capture; collider proof.","NEEDS_SOURCE_ASSET","Tools art owner plus salvage/inventory owner"
