job_id,title,role,category,final_filename,save_dir,final_target_path,references,prompt_file,prompt
SHINOBU_361_HAND_001,ceiling_10_trimsheet_normal_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,ceiling_10_trimsheet_normal_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_001_ceiling_10_trimsheet_normal_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\ceiling_10_trimsheet_normal_Normal.png,LOOKDEV_APPROVED_REF_SEED_001.png; approved floor/wall style anchor; function-specific seed if needed,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_001_ceiling_10_trimsheet_normal_Normal.txt,"Premium heightfield source for a modular abyssal habitat ceiling trim sheet, designed for a clean BC5 normal map. Make a precise pattern of recessed service channels, thin acoustic baffles, gasketed inspection seams, countersunk fastener wells, cable raceway lips, and shallow pressed ribs. The surface should feel engineered and expensive: satin titanium under off-white ceramic coating, graphite rubber separators, small amber locator strips, and fine salt dust gathered only inside seam grooves. Keep the design bright enough to read, with crisp bevel logic and balanced mid-value forms. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
SHINOBU_361_HAND_002,floor_05_stripes_basecolor_Albedo.png,ALBEDO,HABITAT_INTERIORS,floor_05_stripes_basecolor_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_002_floor_05_stripes_basecolor_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\floor_05_stripes_basecolor_Albedo.png,LOOKDEV_APPROVED_REF_SEED_001.png; approved floor/wall style anchor; function-specific seed if needed,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_002_floor_05_stripes_basecolor_Albedo.txt,"Premium NASA Punk habitat floor stripe base color texture for the player prologue route. Make a clean modular floor panel with warm off-white composite plates, satin graphite anti-slip inserts, thin amber safety stripes, subtle teal maintenance marks, and narrow titanium edge rails. It should look functional and inviting, like a well-funded ocean research base with maintained expedition wear. Add controlled boot scuffs, a few salt halos near panel seams, tiny edge chips, and faint rubber polish in walking lanes. Preserve wide readable shapes for gameplay navigation. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
SHINOBU_361_HAND_003,floor_05_trimsheet_normal_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,floor_05_trimsheet_normal_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_003_floor_05_trimsheet_normal_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\floor_05_trimsheet_normal_Normal.png,LOOKDEV_APPROVED_REF_SEED_001.png; approved floor/wall style anchor; function-specific seed if needed,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_003_floor_05_trimsheet_normal_Normal.txt,"Heightfield source for a clean modular habitat floor trim sheet normal map. Create engineered shallow geometry: anti-slip micro ridges, inset drainage channels, rounded panel seams, gasket lips, rail screw sockets, small access plate bevels, and subtle pressure-formed metal ribs. The image must be readable as premium expedition flooring, with balanced mid-value forms and clean maintained seam contrast. Use a precise industrial rhythm that can tile without visible repetition. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
SHINOBU_361_HAND_004,floor_large_8x8_trimsheet_normal_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,floor_large_8x8_trimsheet_normal_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_004_floor_large_8x8_trimsheet_normal_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\floor_large_8x8_trimsheet_normal_Normal.png,LOOKDEV_APPROVED_REF_SEED_001.png; approved floor/wall style anchor; function-specific seed if needed,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_004_floor_large_8x8_trimsheet_normal_Normal.txt,"Large-format habitat floor heightfield for an 8x8 meter modular room tile. Build a dignified expedition deck: broad composite panels, long satin titanium reinforcement spines, recessed utility covers, quiet anti-slip fields, soft gasket seams, and sparse circular maintenance hatches. The surface should feel spacious and premium, not noisy. Include only subtle wear: polished foot traffic arcs, pale salt caught in seam corners, and tiny paint abrasion on amber orientation strips. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
SHINOBU_361_HAND_005,Mat_HectonSurface_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,Mat_HectonSurface_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_005_Mat_HectonSurface_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\Mat_HectonSurface_Normal.png,LOOKDEV_APPROVED_REF_SEED_001.png; approved floor/wall style anchor; function-specific seed if needed,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_005_Mat_HectonSurface_Normal.txt,"Planetary surface normal source for Hecton seen as a clean, readable alien ocean world material. Create broad geological height forms: smooth abyssal shelves, shallow basin ridges, pale mineral crust networks, soft sediment plains, and elegant tectonic contour bands. Keep the surface attractive and scientific, like a high-resolution planetary survey plate with deliberate large landforms. Use subtle opal mineral veins and fine sediment texture only as height cues. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
SHINOBU_361_HAND_006,Mat_Visor_Glass_Albedo.png,ALBEDO,HABITAT_INTERIORS,Mat_Visor_Glass_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_006_Mat_Visor_Glass_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\Mat_Visor_Glass_Albedo.png,LOOKDEV_APPROVED_REF_SEED_005.png; approved habitat material anchor,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_006_Mat_Visor_Glass_Albedo.txt,"Premium deep sea visor glass albedo texture for a player helmet surface. Make a clean smoked glass material with faint sea-green tint, subtle laminated layers, transparent graphite edge seals, tiny micro-scratches, a few pressure stress arcs, and barely visible anti-fog coating swirls. The result should feel expensive, sharp, wearable, and aerospace-grade. Keep the diffuse mostly clear and restrained; reflection and shader should provide shine later. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
SHINOBU_361_HAND_007,wall_01_2x3_a_stripes_basecolor_Albedo.png,ALBEDO,HABITAT_INTERIORS,wall_01_2x3_a_stripes_basecolor_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_007_wall_01_2x3_a_stripes_basecolor_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\wall_01_2x3_a_stripes_basecolor_Albedo.png,LOOKDEV_APPROVED_REF_SEED_001.png; approved floor/wall style anchor; function-specific seed if needed,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_007_wall_01_2x3_a_stripes_basecolor_Albedo.txt,"Clean modular habitat wall stripe base color for a 2x3 meter starter corridor panel. Use warm off-white pressure plating, a satin titanium frame, graphite gasket borders, slim amber direction stripes, and one restrained teal service stripe. Make it feel like a bright, safe underwater research module, with clear panel hierarchy for navigation. Add soft hand scuffs near access zones, pale salt dust in seams, tiny coating chips on hard edges, and no heavy rust. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
SHINOBU_361_HAND_008,wall_01_2x3_a_trimsheet_normal_Normal.png,NORMAL_OR_HEIGHT_SOURCE,HABITAT_INTERIORS,wall_01_2x3_a_trimsheet_normal_Normal.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_008_wall_01_2x3_a_trimsheet_normal_Normal,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\wall_01_2x3_a_trimsheet_normal_Normal.png,LOOKDEV_APPROVED_REF_SEED_001.png; approved floor/wall style anchor; function-specific seed if needed,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_008_wall_01_2x3_a_trimsheet_normal_Normal.txt,"Heightfield source for a 2x3 modular habitat wall trim sheet. Design shallow pressed panel geometry: rectangular service plates, elegant bevels, gasket grooves, recessed screw wells, narrow cable conduit covers, and a few small inspection hatch outlines. Keep forms crisp and readable, with premium manufacturing precision. Avoid random scratches covering everything; leave calm open plate areas for lighting to breathe. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
SHINOBU_361_HAND_009,wall_01_4x3_c_labels_basecolor_Albedo.png,ALBEDO,HABITAT_INTERIORS,wall_01_4x3_c_labels_basecolor_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_009_wall_01_4x3_c_labels_basecolor_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\wall_01_4x3_c_labels_basecolor_Albedo.png,LOOKDEV_APPROVED_REF_SEED_001.png; approved floor/wall style anchor; function-specific seed if needed,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_009_wall_01_4x3_c_labels_basecolor_Albedo.txt,"Premium habitat wall label base color for a 4x3 meter interior panel, designed for a readable prologue corridor. Use off-white ceramic pressure panels, graphite service bands, small amber locator blocks, teal maintenance tabs, and blank label plaques that imply technical labeling without actual readable text. The panel should look organized, calm, and high budget. Add tasteful edge wear, faint cleaning swirls, a few salt freckles in lower seams, and subtle discoloration around access plates. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
SHINOBU_361_HAND_010,wall_01_4x3_c_stripes_basecolor_Albedo.png,ALBEDO,HABITAT_INTERIORS,wall_01_4x3_c_stripes_basecolor_Albedo.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\All_175_Targets\SHINOBU_361_HAND_010_wall_01_4x3_c_stripes_basecolor_Albedo,C:\hades\Hecton8\Assets\_Project\Art\TEXTURES\Generated\SHINOBU_361\HABITAT_INTERIORS\wall_01_4x3_c_stripes_basecolor_Albedo.png,LOOKDEV_APPROVED_REF_SEED_001.png; approved floor/wall style anchor; function-specific seed if needed,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\All_175_Targets\SHINOBU_361_HAND_010_wall_01_4x3_c_stripes_basecolor_Albedo.txt,"Wide 4x3 meter habitat wall stripe base color with strong visual composition. Create a balanced pattern of off-white pressure panels, broad graphite lower service strip, satin titanium separators, thin amber safety stripe, and a muted teal route stripe. It should guide the player through a bright underwater research corridor without feeling like a warning sign wall. Add careful scuffs, small rubbed corners, light salt in lower seams, and clean manufactured edges. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no border, no perspective object scene."
