article_id,packet_id,related_ids,cluster,surface,spoiler,unlock_route
hecton8.crash_shelf,P001_CRASH_SHELF,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_shelter
black_keel.contact,P002_BLACK_KEEL_CONTACT,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.black_keel_handshake
player.barnard_mark,P003_BARNARD_MARK,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_barnard_mark
resource.blue_debt,P004_BLUE_DEBT,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_blue_debt_sample
atlas.repair_scar,P005_REPAIR_SCAR,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_atlas_category_error
marauder.dead_claim_cache,P006_DEAD_CLAIM_CACHE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_marauder_cache
hecton8.brine_stair,P007_BRINE_STAIR,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_brine_layer_route
colony.evacuation_hold,P008_EVACUATION_HOLD,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_evacuation_hold_record
atlas.bottom_factory,P009_BOTTOM_FACTORY,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_bottom_factory_contact
ending.payload_window,P010_PAYLOAD_WINDOW,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_payload_window
human.domain_marks_2190,P011_DOMAIN_MARKS_2190,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_multi_domain_mark
transit.relay_spine,P012_RELAY_SPINE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_relay_buffer
ships.nearlight_classes,P013_NEARLIGHT_SHIP_CLASSES,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_transit_manifest
aegir.route_window,P014_AEGIR_ROUTE_WINDOW,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_aegir_window_table
ships.black_keel_ledger,P015_BLACK_KEEL_LEDGER,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_black_keel_ledger
location.aegir.host_star,P016_AEGIR_HOST_STAR,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_host_star_reading
location.aegir.moon_ladder,P017_AEGIR_MOON_LADDER,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_moon_ladder_map
location.hecton8.drowned_geology,P018_HECTON8_DROWNED_GEOLOGY,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_geology_route_model
location.hecton8.resource_stack,P019_HECTON8_RESOURCE_STACK,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_resource_stack_scan
location.hecton8.ecology_registry,P020_HECTON8_ECOLOGY_REGISTRY,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_ecology_registry_scan
ships.black_keel_custody,P021_BLACK_KEEL_CUSTODY,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_black_keel_custody_record
arrival.drop_capsule_damage,P022_DROP_CAPSULE_DAMAGE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_drop_capsule_damage_audit
factions.deep_reach_return_claim,P023_DEEP_REACH_RETURN_CLAIM,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_deep_reach_return_claim
endings.false_exit_material,P024_FALSE_EXIT_MATERIAL,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_material_exit_offer
player.professional_motive,P025_PROFESSIONAL_MOTIVE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_professional_motive_shift
humanity.six_domain_ledger,P026_SIX_DOMAIN_LEDGER,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_six_domain_ledger
player.barnard_yards_origin,P027_BARNARD_YARDS_ORIGIN,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_barnard_yards_origin_record
travel.no_ftl_transit_math,P028_NO_FTL_TRANSIT_MATH,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_transit_math_record
deep_reach.seed_ship_doctrine,P029_SEED_SHIP_DOCTRINE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_seed_ship_doctrine_record
routes.relay_custody_debt_chain,P030_RELAY_CUSTODY_DEBT_CHAIN,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_relay_debt_chain_record
hecton8.photic_shelf_life,P031_PHOTIC_SHELF_LIFE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_photic_shelf_life
hecton8.pressure_ladder_depth_bands,P032_PRESSURE_LADDER_DEPTH_BANDS,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_pressure_ladder
hecton8.cable_reef_symbiosis,P033_CABLE_REEF_SYMBIOSIS,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_cable_reef_symbiosis
hecton8.abyssal_repair_fauna,P034_ABYSSAL_REPAIR_FAUNA,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_abyssal_repair_fauna
atlas6.factory_temple_threshold,P035_FACTORY_TEMPLE_THRESHOLD,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_factory_temple_threshold
hecton8.return_vector_window,P036_RETURN_VECTOR_WINDOW,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_return_vector_window
hecton8.coward_exit_chain,P037_COWARD_EXIT_CHAIN,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_coward_exit_chain
hecton8.material_payout_ledger,P038_MATERIAL_PAYOUT_LEDGER,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_material_payout_ledger
hecton8.deep_reach_cleanse_order,P039_DEEP_REACH_CLEANSE_ORDER,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_deep_reach_cleanse_order
hecton8.atlas_final_argument,P040_ATLAS_FINAL_ARGUMENT,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_atlas_final_argument
hecton8.worker_locker_row,P041_WORKER_LOCKER_ROW,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_worker_locker_row
hecton8.pressure_bunk_routine,P042_PRESSURE_BUNK_ROUTINE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_pressure_bunk_routine
hecton8.shift_board_route_holds,P043_SHIFT_BOARD_ROUTE_HOLDS,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_shift_board_route_holds
hecton8.medical_lock_delay,P044_MEDICAL_LOCK_DELAY,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_medical_lock_delay
hecton8.black_box_name_stack,P045_BLACK_BOX_NAME_STACK,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_black_box_name_stack
hecton8.pump_room_handshake,P046_PUMP_ROOM_HANDSHAKE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_pump_room_handshake
hecton8.hatch_seal_ledger,P047_HATCH_SEAL_LEDGER,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_hatch_seal_ledger
hecton8.cable_splice_scar,P048_CABLE_SPLICE_SCAR,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_cable_splice_scar
hecton8.sonar_return_route,P049_SONAR_RETURN_ROUTE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_sonar_return_route
hecton8.salvage_tool_custody,P050_SALVAGE_TOOL_CUSTODY,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_salvage_tool_custody
hecton8.light_delay_authority,P051_LIGHT_DELAY_AUTHORITY,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_light_delay_authority
hecton8.black_keel_tariff_table,P052_BLACK_KEEL_TARIFF_TABLE,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_black_keel_tariff_table
hecton8.marauder_graffiti_masks,P053_MARAUDER_GRAFFITI_MASKS,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_marauder_graffiti_masks
hecton8.relay_queue_drift,P054_RELAY_QUEUE_DRIFT,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_relay_queue_drift
hecton8.corporate_response_ledger,P055_CORPORATE_RESPONSE_LEDGER,,UNCLUSTERED,external_site;in_game_wiki,UNSPECIFIED_IN_PACKET_OR_SURFACE_INDEX,unlock.first_corporate_response_ledger
