"category","prefab_path","preservation_target","target_type","static_evidence","pre_relink_check","post_relink_check","risk_if_broken","status"
"player","Assets/_Project/Prefabs/Player.prefab","HandAnchor","Transform","line 2756; localPosition {x:0.3,y:-0.3,z:0.5}; identity rotation/scale","Snapshot local transform and PlayerToolManager handAnchor reference","Compare exact local transform and reference after relink","Held tools detach or aim from wrong operator pose","PRESERVE_AND_COMPARE_TRANSFORM"
"player","Assets/_Project/Prefabs/Player.prefab","Suit_Visor","Transform MeshFilter SphereCollider VisorHUDController","line 2791; primitive mesh 10207; localPosition {x:0,y:1.8,z:0.4500122}; NASAPunk.Visor.VisorHUDController visible","Snapshot local transform collider/controller refs and primitive state RED_STATIC","Compare local transform and preserve controller/collider route or named COL_Visor migration","Visor HUD/glass/proximity route drifts or primitive art survives","PRESERVE_AND_COMPARE_TRANSFORM"
"player","Assets/_Project/Prefabs/Player.prefab","Main Camera; FirstPerson_Overlay_Camera; SpaceCamera; HUD_Render_Camera","Camera stack","YAML names at lines 290 2465 3418 3548; Camera components and URP camera data visible","Snapshot camera object names local transforms and HUD/controller references","Compare transforms and camera refs after visual relink","First-person overlay HUD projection or route visibility breaks","PRESERVE_EXACT"
"player","Assets/_Project/Prefabs/Player.prefab","Suit_Diegetic_HUD_V4_Projection","HUD projection mesh root","line 15; project mesh guid 6324179048a21564b92a102ebcd3a27c; localPosition {x:0,y:0,z:0.72}","Snapshot mesh GUID material refs local transform and controller fields","Preserve mesh/material/controller refs unless HUD owner approves change","Diegetic HUD projection loses fit or source camera relation","PRESERVE_EXACT"
"player","Assets/_Project/Prefabs/Player.prefab","Swim_*Attachment transforms","Attachment transform group","Swim_LeftShoulderAttachment through Swim_RightFinAttachment visible with identity local transforms","Snapshot every Swim_*Attachment local transform","Compare every Swim_*Attachment exact local transform","Swim body/limb replacement desyncs from presentation rig","PRESERVE_AND_COMPARE_TRANSFORM"
"player","Assets/_Project/Prefabs/Player.prefab","Swim_* primitive body roots","Visible body mesh roots","17 active built-in primitives from 1872/current rg; Swim_* cubes 10202 and Suit_Visor 10207","Record RED_STATIC state before relink; do not accept as art","After relink no enabled built-in primitive visual mesh on body roots","Primitive player body remains product-face blocker","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab","Tool_BeaconDeployer_Held owner and VisualBody_BeaconDeployer","Tool owner component and visual primitive","BeaconDeployerTool _toolData; PlayerToolSwimContract; VisualBody_BeaconDeployer cube 10202","Snapshot _toolData swim contract root/visual transform; note missing explicit ANCHOR_*","Preserve refs; add/compare grip deploy ray pickup/AUP anchors under Unity owner","Beacon placement origin/grip/data route can drift","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_Builder_Held.prefab","Tool_Builder_Held owner and VisualBody","Tool owner component and visual primitive","BuilderTool _toolData; PlayerToolSwimContract; VisualBody cube 10202","Snapshot _toolData swim contract visual local transform; note missing explicit ANCHOR_*","Preserve refs; add/compare grip build ray pickup/AUP anchors under Unity owner","Build ray origin or held alignment can drift","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_EnvAnalyzer_Held.prefab","Tool_EnvAnalyzer_Held owner and VisualBody_EnvAnalyzer","Tool owner component and visual primitive","EnvironmentalAnalyzerTool _toolData; PlayerToolSwimContract; VisualBody_EnvAnalyzer cube 10202","Snapshot _toolData swim contract visual local transform; note missing explicit ANCHOR_*","Preserve refs; add/compare grip scan/lens/AUP anchors under Unity owner","Analyzer scan origin and display/lens route can drift","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_Flashlight_Held.prefab","Tool_Flashlight_Held owner and Visual","Tool owner component and visual primitive","FlashlightTool _toolData; secondaryCyclesBeamMode; PlayerToolSwimContract; Visual cube 10202","Snapshot _toolData swim contract visual local transform; note missing explicit lens/light anchors","Preserve refs; add/compare grip lens light beam/AUP anchors under Unity owner","Flashlight beam origin or held silhouette can drift","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_HarpoonLauncher_Held.prefab","Tool_HarpoonLauncher_Held owner and VisualBody_HarpoonLauncher","Tool owner component and visual primitive","HarpoonLauncherTool _toolData; PlayerToolSwimContract; VisualBody_HarpoonLauncher cube 10202","Snapshot _toolData swim contract visual local transform; note missing explicit tether/muzzle anchors","Preserve refs; add/compare grip muzzle tether/AUP anchors under Unity owner","Harpoon tether/muzzle truth can detach from visual body","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_Knife_Held.prefab","Tool_Knife_Held owner and VisualBody_Knife","Tool owner component and visual primitive","KnifeTool _toolData; PlayerToolSwimContract; VisualBody_Knife cube 10202","Snapshot _toolData swim contract visual local transform; note missing explicit grip/contact anchors","Preserve refs; add/compare grip/contact pickup anchors under Unity owner","Knife hit/contact affordance can drift","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_LaserCutter_Held.prefab","Tool_LaserCutter_Held owner and VisualBody","Tool owner component and visual primitive","LaserCutter _toolData; PlayerToolSwimContract; VisualBody cube 10202","Snapshot _toolData swim contract visual local transform; note missing explicit beam/nozzle anchors","Preserve refs; add/compare grip beam/nozzle/AUP anchors under Unity owner","Cut beam origin can detach from tool body","RED_STATIC_PRIMITIVE"
