AnchorPath,Domain,Exists,EvidenceClass,StaticSignals,StaticRisks,ForbiddenHits,RequiredUnityProof,Status
Assets/_Project/Prefabs/Player.prefab,Prefab/Player,YES,STATIC_PREFAB_YAML,"YAML contains Player root, Hecton8.Interaction.PlayerInteraction, Hecton8.Gameplay.HectonPlayerMovement, NASAPunk.Visor.VisorHUDController, SuitHUDPresentationController","Prefab binding is static only; active scene/player source unproven","None from static YAML scan","Read active tagged Player, BootstrapState.CurrentPlayerObject, prefab source, enabled components, dispatcher registrations, camera/HUD bindings","PENDING VERIFICATION"
Assets/_Project/Prefabs/Suit_HUD_Canvas.prefab,Prefab/UI,YES,STATIC_PREFAB_YAML,"YAML contains Hecton8.UI.SuitHUDV4CanvasOverlay and Hecton8.Interaction.InteractionUI","Contains DEPRECATED_HUD_Master_V2 label; active HUD path unproven","None from static YAML scan","Read active HUD instance, render mode, prompt binding, text update source, canvas groups, route screenshot matrix","PENDING VERIFICATION"
Assets/_Project/Prefabs/HUD_Internal.prefab,Prefab/UI,YES,STATIC_PREFAB_YAML,"YAML contains NASAPunk.Visor.SuitHUDScreenCompositor","forceScreenSpaceOverlay is set to 1; gameplay HUD acceptance blocked if active","forceScreenSpaceOverlay: 1","Read whether prefab is active in production route; prove noninteractive bridge or replace through approved runtime owner","PENDING VERIFICATION"
Assets/_Project/Scripts/HectonPlayerMovement.cs,PlayerMovement,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Gameplay; class HectonPlayerMovement implements IUpdatable IFixedTickable IColdTickable ILateFrameTickable IGlobalRegistryHotSwapListener IPlayerMovementContracts; SignalBus player presentation signals; GlobalQualityWeight; profiler markers; Dump_PLAYER_KINEMATICS.bin","Very large authority file; static proof cannot prove active registration, 0B GC, finite state, or movement feel","No direct input hits in narrowed scan","Play route movement/swim proof; active dispatcher phase readback; Profiler/GC; kinematics black-box dump/manifest; save/load restored AUP","PENDING VERIFICATION"
Assets/_Project/Scripts/Gameplay/HectonPlayerMotor.cs,PlayerMotor,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Gameplay; class HectonPlayerMotor implements IMotorForces IPostFixedTickable ILateFrameTickable IGlobalRegistryHotSwapListener; GlobalRegistry player/motor service paths","Rigidbody/capsule write owner must be proven; hot registry access phase must be read back","Static scan shows GlobalRegistry use; no direct input hits","Unity readback of post-fixed/late-frame registration, motor ownership, no camera/UI movement writes, profiler/GC","PENDING VERIFICATION"
Assets/_Project/Scripts/Gameplay/PlayerSwimMotor.cs,SwimMath,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Gameplay; internal static PlayerSwimMotor","Math helper only; not route proof","None in narrowed scan","Play route swim proof: forward/strafe/ascend/descend, drag, surface/dive transition, depth response","PENDING VERIFICATION"
Assets/_Project/Scripts/Gameplay/HectonPlayerCameraRig.cs,Camera,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Gameplay; class HectonPlayerCameraRig implements ITickable IUpdatable ILateFrameTickable IOriginShiftListener IGlobalRegistryHotSwapListener","Camera must not write gameplay truth; static scan cannot prove active phase or ownership","Static scan shows dispatcher/global patterns; no direct input hits","Unity readback of camera owner, late-frame visual sync, no movement truth writes, route readability screenshot/clip","PENDING VERIFICATION"
Assets/_Project/Scripts/Gameplay/PlayerSwimPresentationController.cs,Presentation,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Gameplay; class PlayerSwimPresentationController implements ILateFrameTickable IColdTickable IGlobalRegistryHotSwapListener","Presentation must not own swim truth; active binding unproven","None in narrowed scan","Read active binding and verify presentation-only data source in Unity; profiler/GC for visual sync","PENDING VERIFICATION"
Assets/_Project/Scripts/Interaction/PlayerInteraction.cs,Interaction,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Interaction; class PlayerInteraction implements ITickable IUpdatable ILateFrameTickable IGlobalRegistryHotSwapListener; SignalBus<PlayerInputSignal>; SignalBus<PlayerLookTargetSignal>","Probe cadence and prompt routing need runtime proof; GlobalRegistry.NativeInputRuntime reference must be cold/cached in active path","Static scan shows GlobalRegistry and SignalBus; no direct Input.Get hits","Play interaction target prompt; prove bounded probe cadence, active input snapshot consumption, prompt refresh after menu close, 0B GC","PENDING VERIFICATION"
Assets/_Project/Scripts/Interaction/InteractionUI.cs,InteractionUI,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Interaction; class InteractionUI implements IInteractionEventListener ILocalizationLanguageChangedListener IGlobalRegistryHotSwapListener; SetCharArray","Candidate preferred prompt UI; active route unproven","No HUD string mutation hits in narrowed scan","Unity readback that this is active prompt route; prompt spam x20 GC proof; localization/action label proof","PENDING VERIFICATION"
