triage_id,action_bucket,asset_family,owner_scope,asset_path,asset_extension,file_size_bytes,meta_importer,policy_flags,required_next_owner,allowed_next_step,forbidden_next_step,status,evidence_class,evidence_boundary
UNREF_GUID_0001,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 1.wav,.wav,26496044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0002,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 2.wav,.wav,26112044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0003,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 3.wav,.wav,24960044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0004,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 4.wav,.wav,24768044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0005,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 1 Loop.wav,.wav,24576044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0006,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 2 Loop.wav,.wav,24576044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0007,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 5.wav,.wav,24384044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0008,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 3 Loop.wav,.wav,23040044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0009,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 4 Loop.wav,.wav,23040044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0010,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Atmos 5 Loop.wav,.wav,23040044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0011,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav,.wav,15876044,AudioImporter,LARGE_AUDIO_SOURCE_BYTES|UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0012,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Movement/swimming -onwater.wav,.wav,3589252,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0013,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Breathing/breathing rhytmic 8s - 3 breath in and 3 out.wav,.wav,787334,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0014,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Thruster/servo_motor.wav,.wav,314124,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0015,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3,.mp3,288461,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0016,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/SFX/water energe  - bulb.wav,.wav,237202,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0017,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/SFX/bubble sound (3).wav,.wav,178244,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0018,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/SFX/bubble sound (4).wav,.wav,178244,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0019,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/SFX/bubble sound (1).wav,.wav,133998,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0020,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/SFX/bubble sound (2).wav,.wav,133978,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0021,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Impact/landing-hardsurface.wav,.wav,65042,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0022,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Impact/landing-softsurface.wav,.wav,40034,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0023,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Thruster/thrust continous.wav,.wav,38496,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
UNREF_GUID_0024,AUDIO_UNUSED_SOURCE_REVIEW,audio,FIRST_PARTY_PROJECT,Assets/_Project/Audio/Movement/swimming - underwater.ogg,.ogg,30179,AudioImporter,UNREFERENCED_STATIC_ASSET,AUDIO_SOURCE_TECHNICAL_OWNER,OWNER_REVIEW_ONLY_NO_DELETION_FROM_THIS_STATIC_TRIAGE,NO_DELETE_NO_META_DELETE_NO_ASSETS_MUTATION_NO_IMPORT_RUNTIME_OR_VISUAL_ACCEPTANCE_CLAIM,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_UNREFERENCED_TEXT_SCOPE_ONLY
