source_file,release_set_id,packet_id,article_id,locale_count,missing_locales,scanner_length,field_note_present,hazard_action_tag,issue_flags,scanner_en_US,field_note_en_US
P002_BLACK_KEEL_CONTACT.json,,P002_BLACK_KEEL_CONTACT,black_keel.contact,15,,61,yes,tool,scanner_low_action_signal,"Old relay mast. Salted, bent, still pointed at the right sky.","When a carrier asks what you found before it asks if you are breathing, you are not the client. You are the tool."
P003_BARNARD_MARK.json,,P003_BARNARD_MARK,player.barnard_mark,15,,102,yes,none_detected,scanner_low_action_signal,Barnard Yards stamp. Not Deep Reach issue. Somebody brought home equipment to the bottom of this moon.,You can ignore a dead corporation. Harder to ignore a wrench from your own yard.
P005_REPAIR_SCAR.json,,P005_REPAIR_SCAR,atlas.repair_scar,15,,116,yes,action,scanner_low_action_signal,Biological growth follows cable geometry with non-random spacing. Energy leakage alone does not explain the pattern.,Bad welds look messy. This does not. That is the problem.
P009_BOTTOM_FACTORY.json,,P009_BOTTOM_FACTORY,atlas.bottom_factory,15,,71,yes,hazard|action|depth_route,field_note_poetic,"Fluid conduit, data route, and living membrane share one pressure skin.",Calling this a base makes you stupid. Bases end at walls.
RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P012_RELAY_SPINE,transit.relay_spine,15,,71,yes,tool,scanner_low_action_signal|scanner_authoring_spec,Stale relay buffer. Outbound packet age exceeds local rescue relevance.,A message can be true and still arrive after you are bones.
RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P013_NEARLIGHT_SHIP_CLASSES,ships.nearlight_classes,15,,95,yes,none_detected,scanner_low_action_signal,"Transit manifest lists needleprobe, seed ship, mass carrier, sleeper transport, system carrier.",Ships are not freedom. Ships are schedules with engines.
RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P014_AEGIR_ROUTE_WINDOW,aegir.route_window,15,,84,yes,none_detected,scanner_low_action_signal,"Local ephemeris table. Comm, tide, radiation, and carrier geometry share one window.","On HECTON-8, weather is local and orbital at the same time."
RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,P017_AEGIR_MOON_LADDER,location.aegir.moon_ladder,15,,120,yes,action|depth_route,scanner_low_action_signal,"Moon sequence resolved: Cinder, Hook, Glass, Switch, Drywell, Brinehook, Rake, HECTON-8, Pale, Longmark, Grave, Farline.","The sky is a mechanism, not scenery."
RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE.packets.json,RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE,P023_DEEP_REACH_RETURN_CLAIM,factions.deep_reach_return_claim,15,,95,yes,depth_route,scanner_low_action_signal,"Delayed instruction: recover coordinates, substrate and evidence control before human recovery.",They are not returning for the dead.
RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE.packets.json,RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE,P024_FALSE_EXIT_MATERIAL,endings.false_exit_material,15,,104,yes,none_detected,scanner_low_action_signal,Carrier offer valid: payload mass pays debt. Evidence loss unresolved. Atlas coordinate request pending.,A real ending can still be a bad answer.
