Priority,SourceAsset,SourceLine,CuePath,CueId,CueClass,DurationSec,LoadType,Compression,Quality,DirectRefContext,RemediationCategory,CurrentRoute,RequiredOwner,RequiredAction,ProofRequired,EvidenceClass,Disposition
P0,Assets/_Project/Prefabs/Player.prefab,137,Assets/_Project/Audio/Underwater Ambient.wav,UNDERWATER_AMBIENT,DirectPrefabAudioRef,193,Streaming,Vorbis,0.45,"m_Resource: {fileID: 8300000, guid: 0d1a03d1d70c9dd448ad1fbab16de520, type: 3}",player_or_world_loop,Prefab direct ref; load=Streaming; compression=Vorbis; duration=193,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P0_AMBIENT_DIRECT_REF_BLOCKED
P0,Assets/_Project/Prefabs/Player.prefab,239,Assets/_Project/Audio/Underwater Ambient.wav,UNDERWATER_AMBIENT,DirectPrefabAudioRef,193,Streaming,Vorbis,0.45,"_driverClip: {fileID: 8300000, guid: 0d1a03d1d70c9dd448ad1fbab16de520, type: 3}",player_or_world_loop,Prefab direct ref; load=Streaming; compression=Vorbis; duration=193,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P0_AMBIENT_DIRECT_REF_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,816,Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg,DEFAULT_STEP_GRAVEL_MUD_1,DirectPrefabAudioRef,0.375,DecompressOnLoad,ADPCM,0.7,"- {fileID: 8300000, guid: f3fed263f13391449b00022b3f15d478, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.375,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,817,Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (2).ogg,DEFAULT_STEP_GRAVEL_MUD_2,DirectPrefabAudioRef,0.375,DecompressOnLoad,ADPCM,0.7,"- {fileID: 8300000, guid: 8844ab71f4eaa804b9e363948cb94daa, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.375,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,818,Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (3).ogg,DEFAULT_STEP_GRAVEL_MUD_3,DirectPrefabAudioRef,0.375,DecompressOnLoad,ADPCM,0.7,"- {fileID: 8300000, guid: 6119bea1e867b5e46a9d3e075b9f3365, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.375,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,819,Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (4).ogg,DEFAULT_STEP_GRAVEL_MUD_4,DirectPrefabAudioRef,0.375,DecompressOnLoad,ADPCM,0.7,"- {fileID: 8300000, guid: de79afe5eafb5244dbcad6220d54166e, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.375,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,825,Assets/_Project/Audio/Footsteps/Metal/metal step (1).wav,METAL_STEP_1,DirectPrefabAudioRef,0.614,DecompressOnLoad,ADPCM,0.59999996,"- {fileID: 8300000, guid: 4f6eaa50d86a5034297ba1acff055824, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.614,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,826,Assets/_Project/Audio/Footsteps/Metal/metal step (2).wav,METAL_STEP_2,DirectPrefabAudioRef,0.914,DecompressOnLoad,ADPCM,0.59999996,"- {fileID: 8300000, guid: 0a586c7508fe1184b831895d12d7b22c, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.914,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,827,Assets/_Project/Audio/Footsteps/Metal/metal step (3).wav,METAL_STEP_3,DirectPrefabAudioRef,0.706,CompressedInMemory,ADPCM,0.59999996,"- {fileID: 8300000, guid: 74eadb62ba935f24fa2a7a85e3a3a3fe, type: 3}",short_sfx,Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=0.706,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,828,Assets/_Project/Audio/Footsteps/Metal/metal step (4).wav,METAL_STEP_4,DirectPrefabAudioRef,0.73,CompressedInMemory,ADPCM,0.59999996,"- {fileID: 8300000, guid: 16af121886e02eb46928a26d331751bf, type: 3}",short_sfx,Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=0.73,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
