route_id,role,species_or_asset,source_path,generated_mesh_route,texture_route,prefab_route,placement_route,status,evidence_class,evidence,blocker_or_next_action,qa_proof_names
FAUNA_SRC_RAW,source_input,raw_fauna_fbx_obj_mesh,Assets/_Project/Art/Fauna/Raw,Assets/_Project/Art/Generated/Fauna,Assets/_Project/Art/Textures/Creatures/Fauna1725,Assets/_Project/Prefabs/Creatures,n/a,BLOCKED,STATIC_PATH,Test-Path false,Create or import authored raw fauna body sources,QA_FAUNA_RAW_SOURCE_IMPORT_LIST_20260604.md
RIGGER_ROUTE,offline_generator,AbyssalAnatomyStudio1610,Assets/_Project/Editor/Generators/Fauna/AbyssalAnatomyStudio1610.cs,Assets/_Project/Art/Generated/Fauna/Rigged1610 and Assets/_Project/Art/Generated/Fauna/VAT1610,Assets/_Project/Art/Materials/Fauna/VAT1610,Assets/_Project/Prefabs/Nature/Fauna/Rigged1610,n/a,ROUTE_READY_SOURCE_ONLY,STATIC_SOURCE,Generator source present and target routes declared,Run offline generator only after raw sources exist; capture proof outputs,QA_FAUNA_RIG1610_GENERATION_REPORT_20260604.md;QA_FAUNA_VAT1610_LOOP_20260604.mp4
TEXTURE_BAKER_ROUTE,offline_texture_baker,FaunaTextureBaker,Assets/_Project/Editor/Bakers/FaunaTextureBaker.cs,Assets/_Project/Art/Generated/Fauna,Assets/_Project/Art/Textures/Creatures/Fauna1725,n/a,n/a,ROUTE_READY_SOURCE_ONLY,STATIC_SOURCE,Baker source and compute kernels present,Bake albedo normal MaskV1 and BiolumPulse64 after mesh UV proof,QA_FAUNA_TEXTURE_CHANNEL_AUDIT_20260604.md
PREFAB_FACTORY_ROUTE,offline_prefab_factory,FaunaPrefabFactory,Assets/_Project/Editor/Assembly/FaunaPrefabFactory.cs,Assets/_Project/Art/Generated/Fauna,Assets/_Project/Art/Materials,Assets/_Project/Prefabs/Creatures,n/a,ROUTE_READY_SOURCE_ONLY,STATIC_SOURCE,Factory source present and output route declared,Assemble prefabs only after mesh texture material and metadata proof,QA_FAUNA_PREFAB_FACTORY_VALIDATION_20260604.md
SHOAL_SHORE_SKIMMER,small_harmless_shoal,ShoreSkimmer,Assets/_Project/Data/Fauna/Templates/FaunaDataTemplate_ShoreSkimmer.asset,Assets/_Project/Art/Generated/Fauna/VAT1610/GEN_FaunaVAT1610_ShoreSkimmer,Assets/_Project/Art/Textures/Creatures/Fauna1725/TX_Fauna1725_*_ShoreSkimmer.png,Assets/_Project/Prefabs/Creatures/PFB_Fauna_ShoreSkimmer.prefab,rule.fauna.passive fauna_density,BLOCKED_VISUAL_SOURCE,STATIC_DATA,Ambient data present with aggroRadius 0 and maxSchoolCount 12,Needs authored body textures VAT prefab and route proof,QA_FAUNA_SHORESKIMMER_textured_render_20260604.png;QA_FAUNA_SHORESKIMMER_vat_loop_20260604.mp4
SHOAL_KELP_RAYLET,small_harmless_shoal,KelpRaylet,Assets/_Project/Data/Fauna/Templates/FaunaDataTemplate_KelpRaylet.asset,Assets/_Project/Art/Generated/Fauna/VAT1610/GEN_FaunaVAT1610_KelpRaylet,Assets/_Project/Art/Textures/Creatures/Fauna1725/TX_Fauna1725_*_KelpRaylet.png,Assets/_Project/Prefabs/Creatures/PFB_Fauna_KelpRaylet.prefab,rule.fauna.passive fauna_density,BLOCKED_VISUAL_SOURCE,STATIC_DATA,Ambient data present with aggroRadius 0 and maxSchoolCount 12,Needs non-primitive ray body texture VAT prefab and readability proof,QA_FAUNA_KELPRAYLET_textured_render_20260604.png;QA_FAUNA_KELPRAYLET_lod_distance_strip_20260604.png
SHOAL_SILT_DRIFTER,small_harmless_shoal,SiltDrifter,Assets/_Project/Data/Fauna/Templates/FaunaDataTemplate_SiltDrifter.asset,Assets/_Project/Art/Generated/Fauna/VAT1610/GEN_FaunaVAT1610_SiltDrifter,Assets/_Project/Art/Textures/Creatures/Fauna1725/TX_Fauna1725_*_SiltDrifter.png,Assets/_Project/Prefabs/Creatures/PFB_Fauna_SiltDrifter.prefab,rule.fauna.passive fauna_density,BLOCKED_VISUAL_SOURCE,STATIC_DATA,Ambient data present with aggroRadius 0 and maxSchoolCount 12,Needs bottom-readable body material and route proof,QA_FAUNA_SILTDRIFTER_textured_render_20260604.png;QA_FAUNA_SILTDRIFTER_compact_readability_20260604.png
CURIOUS_LANTERN_SIFTER,curious_medium_fauna,LanternSifter,Assets/_Project/Data/Fauna/Templates/FaunaDataTemplate_LanternSifter.asset,Assets/_Project/Art/Generated/Fauna/Rigged1610/GEN_FaunaRig1610_*_LanternSifter,Assets/_Project/Art/Textures/Creatures/Fauna1725/TX_Fauna1725_*_LanternSifter.png,Assets/_Project/Prefabs/Creatures/PFB_Fauna_LanternSifter.prefab,fauna_density plus route cue anchors,BLOCKED_VISUAL_SOURCE,STATIC_DATA,Ambient data present with larger mass and calm role,Needs authored sensory anatomy biolum pulse and medium-distance proof,QA_FAUNA_LANTERNSIFTER_textured_render_20260604.png;QA_FAUNA_LANTERNSIFTER_material_channels_20260604.md
CURIOUS_WALL_GLIDER,curious_medium_fauna,WallGlider,Assets/_Project/Data/Fauna/Templates/FaunaDataTemplate_WallGlider.asset,Assets/_Project/Art/Generated/Fauna/Rigged1610/GEN_FaunaRig1610_*_WallGlider,Assets/_Project/Art/Textures/Creatures/Fauna1725/TX_Fauna1725_*_WallGlider.png,Assets/_Project/Prefabs/Creatures/PFB_Fauna_WallGlider.prefab,reef wall and route split anchors,BLOCKED_VISUAL_SOURCE,STATIC_DATA,Ambient data present with aggroRadius 0 and maxSchoolCount 12,Needs vertical silhouette body textures and wall-route placement proof,QA_FAUNA_WALLGLIDER_textured_render_20260604.png;QA_FAUNA_WALLGLIDER_hitbox_overlay_20260604.png
PRED_NEEDLE_HUNTER,warning_aggressive_small_predator,NeedleHunter,Assets/_Project/Data/Fauna/Templates/FaunaDataTemplate_NeedleHunter.asset,Assets/_Project/Art/Generated/Fauna/Rigged1610/GEN_FaunaRig1610_*_NeedleHunter,Assets/_Project/Art/Textures/Creatures/Fauna1725/TX_Fauna1725_*_NeedleHunter.png,Assets/_Project/Prefabs/Creatures/PFB_Fauna_NeedleHunter.prefab,rule.fauna.predator hazard_density minDepth120,BLOCKED_VISUAL_SOURCE,STATIC_DATA,Hunter data present with aggroRadius 18 and maxSchoolCount 2,Needs warning silhouette attack tell material and predator-pocket proof,QA_FAUNA_NEEDLEHUNTER_textured_render_20260604.png;QA_FAUNA_FIRSTHOUR_predator_warning_distance_20260604.png
