asset_type,path,extension,width,height,source_mode,meta_max_texture_size,meta_texture_compression,meta_texture_format,meta_streaming_mipmaps,meta_is_readable,meta_texture_type,bc7_bytes,bc7_mib,bc7_full_mip_mib,file_bytes,file_mib,triangles,mesh_geometry_estimate_bytes,mesh_geometry_estimate_mib,lod_detected,mesh_meta_is_readable,mesh_meta_compression,mesh_meta_optimize_mesh,mesh_meta_import_blend_shapes,mesh_meta_add_colliders,mesh_meta_generate_secondary_uv,mesh_meta_keep_quads,rt_color_format,rt_depth_stencil_format,rt_anti_aliasing,rt_mipmap,rt_generate_mips,rt_texture_dimension,rt_volume_depth,rt_dynamic_scale,rt_random_write,rt_estimate_bytes,rt_estimate_mib,redline_flags,atlas_group,recommendation,evidence_class
texture,_agent_screen_capture.png,.png,1920,1080,RGBA,,,,,,,2073600,1.978,2.637,129323,0.123,,,,,,,,,,,,,,,,,,,,,,,MISSING_META_IMPORT_UNKNOWN,,Low tier should halve source/import max; keep high mips only with hero or streaming proof.,STATIC_SOURCE
texture,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/Aegir_storms.png,.png,4096,2048,RGBA,2048,1,-1|1,0,0,0,8388608,8.000,10.667,356896,0.340,,,,,,,,,,,,,,,,,,,,,,,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,,Low tier should halve source/import max; keep high mips only with hero or streaming proof.,STATIC_SOURCE
texture,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds.png,.png,4096,2048,L,2048,1,-1|1,0,0,0,8388608,8.000,10.667,3012389,2.873,,,,,,,,,,,,,,,,,,,,,,,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,,Low tier should halve source/import max; keep high mips only with hero or streaming proof.,STATIC_SOURCE
texture,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png,.png,4096,2048,RGBA,2048,1,-1|1,0,0,0,8388608,8.000,10.667,10991664,10.482,,,,,,,,,,,,,,,,,,,,,,,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,,Low tier should halve source/import max; keep high mips only with hero or streaming proof.,STATIC_SOURCE
texture,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png,.png,4096,2048,RGBA,2048,1,-1|1,0,0,0,8388608,8.000,10.667,7351608,7.011,,,,,,,,,,,,,,,,,,,,,,,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,,Low tier should halve source/import max; keep high mips only with hero or streaming proof.,STATIC_SOURCE
texture,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_bump.png,.png,4096,2048,L,2048,1,-1|1,0,0,0,8388608,8.000,10.667,476749,0.455,,,,,,,,,,,,,,,,,,,,,,,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,,Low tier should halve source/import max; keep high mips only with hero or streaming proof.,STATIC_SOURCE
texture,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_diff.png,.png,4096,2048,RGB,2048,1,-1|1,0,0,0,8388608,8.000,10.667,1355342,1.293,,,,,,,,,,,,,,,,,,,,,,,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,,Low tier should halve source/import max; keep high mips only with hero or streaming proof.,STATIC_SOURCE
texture,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_norm.png,.png,4096,2048,RGB,2048,1,-1|1,0,0,0,8388608,8.000,10.667,1074719,1.025,,,,,,,,,,,,,,,,,,,,,,,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,,Use BC5 normal import; Low tier cap 1024 unless hero close-read asset.,STATIC_SOURCE
texture,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_spec.png,.png,4096,2048,L,2048,1,-1|1,0,0,0,8388608,8.000,10.667,184349,0.176,,,,,,,,,,,,,,,,,,,,,,,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,,Channel-pack masks into one RGBA texture; avoid separate AO/spec maps.,STATIC_SOURCE
texture,Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_AO.jpg,.jpg,2048,2048,RGB,2048|512,1,-1|1|25,1,0,0,4194304,4.000,5.333,2045437,1.951,,,,,,,,,,,,,,,,,,,,,,,,,Channel-pack masks into one RGBA texture; avoid separate AO/spec maps.,STATIC_SOURCE
