"CoverageId","Priority","CueFamily","PlayerDecisionRole","StaticSourceEvidence","CandidateSources","MissingOrBlocked","OwnerRoute","RequiredProof","RejectIf","LowConsequence","MiddleConsequence","HighConsequence","UltraConsequence","Status"
"AUDCUE-01","P0","Oxygen and air warnings","Survival warning must preempt ambience music and stingers","Vocal warning route lists oxygen priority 820; ledger has breath/player-loop sources and first-breath stinger only","Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3; Assets/_Project/Audio/Breathing/breathing rhytmic 8s - 3 breath in and 3 out.wav; Assets/_Project/Audio/Music for Game/stinger_being_saved_3_First_Breath_Above.ogg","No dedicated final oxygen warning bank or clip mapping; breath loop and stinger cannot substitute for warning cue","SHINOBU_352; ASSET_OWNER_17; ASSET_OWNER_19; ASSET_OWNER_23; ASSET_OWNER_28","AudioBankHashID-to-bank mapping; import readback; runtime overlap capture; ducking proof; 0 B/frame proof","Oxygen warning is absent masked by beds or treated as breath loop/music stinger","Keep oxygen warning lane dominant and sparse","Admit ambience only after oxygen cue survives overlap","Add richer player-body detail after warning proof","Dense ambience/music only if oxygen warning remains readable","PENDING_SOURCE_AND_RUNTIME_PROOF"
"AUDCUE-02","P0","Hull crush and pressure warnings","Hull/crush warning must preempt all decorative pressure beds","Vocal warning route lists hull 1000 and crush 940; ledger has pressure hum music and ambience candidates","Assets/_Project/Audio/Music for Game/abyss_6_Deep Water Pressure Hum (1).ogg; Assets/_Project/Audio/Music for Game/abyss_7_Deep Water Pressure Hum.ogg; Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3","Pressure hums and ambience are mood beds not final warning cues; no short critical bank mapping exists","SHINOBU_352; ASSET_OWNER_10; ASSET_OWNER_19; ASSET_OWNER_23; ASSET_OWNER_28","Warning bank mapping; MusicDirector ducking; runtime overlap capture; import readback; memory proof","Pressure bed is accepted as warning or masks hull/crush cue","Keep pressure bed minimal until warning cue exists","One owned pressure bed only after ducking proof","Add pressure texture after cue priority proof","Layered pressure design only after warning and release proof","PENDING_SOURCE_AND_RUNTIME_PROOF"
"AUDCUE-03","P0","Damage and threat warnings","Damage/threat cue must communicate behavior cost before music tension","Ledger has attack music and danger stinger candidates only","Assets/_Project/Audio/Music for Game/being_attacked_1_Metallic Alarm Panic.ogg; Assets/_Project/Audio/Music for Game/being_attacked_3_Metallic Alarm.ogg; Assets/_Project/Audio/Music for Game/stinger_dangerous_1_Iron_Teeth.ogg","Attack music and stingers are not gameplay warning coverage; event owner and cooldown are absent","ASSET_OWNER_10; ASSET_OWNER_19; ASSET_OWNER_23; ASSET_OWNER_28","Damage cue bank mapping; event owner; stinger cooldown; overlap capture; listening notes","Music tension fires without warning route or masks critical cues","Disable decorative threat music until warnings work","Admit one threat stinger after owner proof","Broader threat palette after cooldown proof","Dense threat layering only if warnings remain readable","PENDING_SOURCE_AND_RUNTIME_PROOF"
"AUDCUE-04","P0","Sonar scanner and navigation pings","Scanner/sonar feedback changes route decisions and must be audible","Ledger keyword scan found zero sonar scan radar ping audio source matches; warning copy exists as text only","NONE_IN_CURRENT_AUDIO_LEDGER","No dedicated sonar scanner navigation ping source coverage in current ledger","ASSET_OWNER_17; ASSET_OWNER_23; ASSET_OWNER_28","Source authoring or import candidate; UI/HUD route binding; runtime 0 B/frame; listening proof","Scanner feedback is silent text-only or faked by unrelated UI click","Fail closed with visual-only route until cue source exists","Admit simple ping after source and routing proof","Add scanner texture after latency proof","Richer sonar language only after source coverage exists","MISSING_SOURCE_CANDIDATE"
"AUDCUE-05","P0","Tool and repair feedback","Tools need immediate feedback for salvage repair cutting and scanner use","Ledger keyword scan found zero tool drill laser cut repair fabricator scanner audio source matches","NONE_IN_CURRENT_AUDIO_LEDGER","No dedicated tool feedback source coverage in current ledger","ASSET_OWNER_23; ASSET_OWNER_28","Tool cue source selection; prefab/tool owner mapping; import readback; latency and 0 B/frame proof","Tool feedback is absent or borrowed from ambient/music/UI without owner route","Keep tools visually readable but audio gap flagged","Admit minimal owned tool cues after proof","Layer tool material detail after latency proof","Richer tool feedback only with DSP budget proof","MISSING_SOURCE_CANDIDATE"
"AUDCUE-06","P0","Critical UI and menu feedback","HUD/menu cue must remain readable under route beds","UI source rows exist; click waveform preview is very quiet at RMS -38.58 dBFS","Assets/_Project/Audio/UI/click sound.wav; Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3; Assets/_Project/Audio/UI/electro (nope) sound.flac; Assets/_Project/Audio/UI/open - tap - ui.wav","Audibility under ambience/music is unproven; UI route ownership and import settings absent","ASSET_OWNER_17; ASSET_OWNER_19; ASSET_OWNER_23; ASSET_OWNER_28","HUD/menu listening pass; import readback; ducking proof; 0 B/frame proof","UI click is inaudible allocates or routes through unmanaged string/event path","Keep UI cue sparse and dominant","Admit small UI set after route proof","Add UI texture after audibility proof","Wider UI palette only after warning priority survives","PENDING_AUDIBILITY_PROOF"
"AUDCUE-07","P0","Breath and player body loops","Breath/suit loop supports first-person body continuity but stays below warnings","Ledger has breath rhythmic breath and suit interior sources; one breath preview is hot at peak -0.16 dBFS","Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3; Assets/_Project/Audio/Breathing/breathing rhytmic 8s - 3 breath in and 3 out.wav; Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav","Hot or too-loud loop risk; import policy and lifecycle owner unresolved","ASSET_OWNER_23; ASSET_OWNER_28","Loop edit or level proof; player lifecycle route; import readback; warning ducking; 0 B/frame proof","Breath masks warnings loops badly or remains generic streaming SFX","Keep one controlled breath layer","Admit suit texture after ducking proof","Richer body loop after lifecycle proof","High-detail body audio only if warnings stay readable","PENDING_AUDIBILITY_AND_LIFECYCLE_PROOF"
"AUDCUE-08","P0","Water entry swim and motion feedback","Player motion cue must be immediate and not buried by beds","Ledger has direct dive splash and swimming movement sources","Assets/_Project/Audio/Movement/dive_splash.wav; Assets/_Project/Audio/Movement/swimming -onwater.wav; Assets/_Project/Audio/Movement/swimming underwater.mp3","Direct Player.prefab refs and player-loop import policy remain unresolved","ASSET_OWNER_08; ASSET_OWNER_23; ASSET_OWNER_28","Prefab readback; duplicate-ref disposition; latency proof; import exception decision; 0 B/frame proof","Motion cue has start jitter direct unmanaged refs or is inaudible","Keep immediate small motion cue only","Admit swim loop after latency proof","Add richer water movement after lifecycle proof","Extra layering only with memory and GC proof","PENDING_DIRECT_REF_AND_LATENCY_PROOF"
"AUDCUE-09","P1","Route ambience beds","Ambience supports place but must never outrank warnings or player loops","Ledger has long ambient and underwater bed candidates with unresolved import policy","Assets/_Project/Audio/Atmos 1 Loop.wav; Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3; Assets/_Project/Audio/Underwater Ambient.wav","Long beds can mask warnings; active-bank owner and release route absent","ASSET_OWNER_19; ASSET_OWNER_23; ASSET_OWNER_28","Active-bank budget; warning ducking; import readback; release proof; memory proof","Always-on ambience masks first-exit shallow warning or breath cues","Keep ambience sparse and silence-biased","One owned bank after proof","Add transition layer after release proof","Dense ambience only with warning and release proof","PENDING_RUNTIME_MIX_PROOF"
"AUDCUE-10","P1","MusicDirector beds","Music must follow route windows and never become constant warning cover","MusicDirector candidate beds exist; mixer refs are static blockers in current evidence","Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg; Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg","Null mixer/stinger routes and silence windows remain unproven","ASSET_OWNER_10; ASSET_OWNER_19; ASSET_OWNER_23; ASSET_OWNER_28","Mixer route proof; MusicDirector runtime capture; pause/window proof; warning overlap proof","Music is constant loud bed or masks player decision cues","Stream current context only after route proof","Prefetch likely next context after proof","Smoother transitions after cadence proof","Dense music breadth only with cue priority proof","PENDING_MUSICDIRECTOR_PROOF"
