blueprint_id,family,source_prefab,reference_image,mesh_generation_rule
BP_CAVE_ENT_01,family_cave_entrance,PFB_family_cave_entrance.prefab,UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Extrude base opening matching local terrain slope constraint
BP_CAVE_ENT_02,family_cave_entrance,PFB_family_cave_entrance__lip.prefab,UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Taper rim geometry to blend with ambient sand voxel
BP_CAVE_ENT_03,family_cave_entrance,PFB_family_cave_entrance__shaft.prefab,deep-bioluminescnce.jpg,Vertical depth punch-through ignoring top surface noise
BP_CAVE_ENT_04,family_cave_entrance,NEW_ASSET_REQUIRED_cave_wide (ref: PFB_family_cave_entrance.prefab),middle-water.webp,Expand horizontal bounds by 1.5x keeping vertical scale 1.0x
BP_CAVE_ENT_05,family_cave_entrance,NEW_ASSET_REQUIRED_cave_narrow (ref: PFB_family_cave_entrance.prefab),shallows.webp,Compress width to 0.6x and increase jagged edge frequency
BP_CAVE_ENT_06,family_cave_entrance,NEW_ASSET_REQUIRED_cave_twin (ref: PFB_family_cave_entrance.prefab),shallowwater.jpg,Bifurcate entrance tunnel into dual apertures at Z=4
BP_CAVE_ENT_07,family_cave_entrance,NEW_ASSET_REQUIRED_cave_overhang (ref: PFB_family_cave_entrance__lip.prefab),ubnautic.webp,Project upper lip forward by 3 units to form awning
BP_CAVE_ENT_08,family_cave_entrance,NEW_ASSET_REQUIRED_cave_crater (ref: PFB_family_cave_entrance.prefab),base.webp,Sink surrounding geometry forming a bowl depression
BP_CAVE_ENT_09,family_cave_entrance,NEW_ASSET_REQUIRED_cave_slit (ref: PFB_family_cave_entrance__shaft.prefab),beauty.webp,Elongate along local X axis to form tectonic fissure
BP_CAVE_ENT_10,family_cave_entrance,NEW_ASSET_REQUIRED_cave_chimney (ref: PFB_family_cave_entrance__shaft.prefab),nice_biome.webp,Invert vertical extrusion to punch upward through ceiling
BP_CORAL_BRA_01,family_coral_branching,PFB_family_coral_branching.prefab,shallowwater.jpg,Generate fractal L-system with 3 iterations at 45 degree pitch
