rank,material_or_family,severity,domain,blocker,evidence,required_replacement_action,required_after_proof,status
1,Art/Materials/Skybox.mat,BLOCKER,surface_sky,"Six unresolved skybox face texture refs","Docs/Reports/MaterialAudit_SHINOBU_361_baseline_unresolved_texture_refs.csv:5","Resolve first-party sky face/cubemap sources; document source roles","Source-aware validator; 360/crop sky captures; import proof",OPEN
2,Art/Materials/Mat_HectonSky.mat,BLOCKER,surface_sky_cloud,"Unresolved _HighCloudTex/_MainCloudAtlas; empty primary PBR slots","Docs/Reports/MaterialAudit_SHINOBU_361_baseline_unresolved_texture_refs.csv:2; Assets/_Project/Art/Materials/Mat_HectonSky.mat:69; Assets/_Project/Art/Materials/Mat_HectonSky.mat:77","Resolve cloud atlas refs; bind owned sky/cloud textures; document material role contract","Long/crop/360 captures; no surface darkening; import proof",OPEN
3,Art/Materials/Mat_HectonSky_CloudOverlay.mat,BLOCKER,surface_sky_cloud,"Unresolved overlay cloud refs","Docs/Reports/MaterialAudit_SHINOBU_361_baseline_unresolved_texture_refs.csv:3; Assets/_Project/Art/Materials/Mat_HectonSky_CloudOverlay.mat:69; Assets/_Project/Art/Materials/Mat_HectonSky_CloudOverlay.mat:77","Resolve overlay source refs; prove alpha/coverage role","Sky capture with overlay enabled; import proof",OPEN
4,Art/Materials/terrain.mat,BLOCKER,surface_coast_terrain,"Unresolved terrain/rock albedo refs; empty normal/detail/mask roles","Docs/Reports/MaterialAudit_SHINOBU_361_baseline_unresolved_texture_refs.csv:7; Assets/_Project/Art/Materials/terrain.mat:41; Assets/_Project/Art/Materials/terrain.mat:44; Assets/_Project/Art/Materials/terrain.mat:68","Replace with authored terrain material stack: albedo normal MRAO detail wetness","Flat/URP material previews; coastline captures; import proof",OPEN
5,Art/Materials/Mat_TriplanarRock.mat,BLOCKER,surface_geology,"Unresolved _Rock_Albedo; empty normal/detail/mask roles","Docs/Reports/MaterialAudit_SHINOBU_361_baseline_unresolved_texture_refs.csv:4; Assets/_Project/Art/Materials/Mat_TriplanarRock.mat:48; Assets/_Project/Art/Materials/Mat_TriplanarRock.mat:85","Resolve triplanar rock texture family and projection/scale contract","Rock/coast/medium-depth captures; normal blending proof",OPEN
6,Art/Materials/Construction/Mat_LeakWetSheen.mat,BLOCKER,waterline_wetness,"Unresolved wetness normal refs; missing detail route","Docs/Reports/MaterialAudit_SHINOBU_361_baseline_unresolved_texture_refs.csv:8; Assets/_Project/Art/Materials/Construction/Mat_LeakWetSheen.mat:23; Assets/_Project/Art/Materials/Construction/Mat_LeakWetSheen.mat:51","Resolve normal/mask refs; rebuild wet material response with authored masks","Wet material preview; waterline/shore capture; Frame Debugger/profiler if shader changed",OPEN
7,Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat,BLOCKER,surface_rocks,"Surface blocker: unresolved base normal main occlusion refs; no ORM/detail","Docs/Reports/MaterialAudit_SHINOBU_361_baseline_surface_unresolved_texture_refs.csv:2; Docs/Reports/MaterialAudit_SHINOBU_361_baseline_material_issues.csv:25; Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat:41; Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat:49","Restore source refs or replace; define MRAO/detail contract","Dependency scan; material preview; shoreline rock capture",OPEN
8,Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock_Shared.mat,BLOCKER,surface_rocks,"Shared surface blocker: unresolved base normal main occlusion refs; no ORM/detail","Docs/Reports/MaterialAudit_SHINOBU_361_baseline_surface_unresolved_texture_refs.csv:3; Docs/Reports/MaterialAudit_SHINOBU_361_baseline_material_issues.csv:26; Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock_Shared.mat:41; Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock_Shared.mat:49","Restore source refs or replace; scan all dependent meshes/prefabs","Dependency scan; material preview; shoreline rock capture",OPEN
9,Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat,HIGH,photic_coral,"No prompt ORM; legacy mask channel review; missing accepted detail route; empty _BumpMap","Docs/Reports/MaterialAudit_SHINOBU_361_baseline_material_issues.csv:11; Docs/Reports/MaterialAudit_SHINOBU_361_baseline_surface_material_migration_queue.csv:4; Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat:47; Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat:75","Resolve shader channel contract; bind/validate normal mask detail roles","Channel debug views; photic coral capture; import proof",OPEN
10,Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/*_Placeholder.mat,BLOCKER,production_route_placeholder,"Placeholder material route exists; representative lacks packed mask/detail contract","Docs/Reports/Batch20/2011_AGGREGATE_VISUAL_DEBT_MATRIX.csv:21; Docs/Reports/MaterialAudit_SHINOBU_361_baseline_material_issues.csv:27; Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/TerrainLod/MAT_family_rock_arch_large_Placeholder.mat:38; Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/TerrainLod/MAT_family_rock_arch_large_Placeholder.mat:58","Replace with authored materials or prove diagnostic-only exclusion","Relink report; no production prefab binds placeholders; scene captures",OPEN
