"file","check","severity","finding","evidence","recommended_followup"
"Assets/_Project/Scripts/Editor/ProductFaceToolMeshSourceAuthoring.cs","AssetDatabase write scope / 1879 route match","BLOCKER","Tool source authoring writes all meshes into a flat ProductFace folder, but the 1879 relink CSV expects per-tool folders under Assets/_Project/Art/Generated/Tools/<ToolName>/. This is a source/route mismatch likely to waste the future Unity import/relink slot.","Source line 21 OutputFolder = Assets/_Project/Art/Generated/ProductFace/Tools; source line 152 writes OutputFolder + spec.MeshAssetName; 1879 CSV held_tools and world_tool_pickups expected_future_mesh_asset_folder = Assets/_Project/Art/Generated/Tools/<ToolName>/.","Before Unity execution, align the output route with the 1879 contract or update the contract and relink sequence in one owner-approved change."
"Assets/_Project/Scripts/Editor/ProductFaceResourcePickupMeshSourceAuthoring.cs","AssetDatabase write scope / 1879 route match","BLOCKER","Resource pickup source authoring writes all resource meshes into a flat ProductFace folder, but the 1879 relink CSV expects per-resource folders under Assets/_Project/Art/Generated/Resources/<ResourceName>/ and TitaniumScrap under its canonical folder. This is a source/route mismatch likely to waste the future Unity import/relink slot.","Source line 19 OutputFolder = Assets/_Project/Art/Generated/ProductFace/Resources; source line 96 writes MESH_ProductFace_<ResourceId>_Source_LOD0.asset directly there; 1879 CSV resource_pickups expected_future_mesh_asset_folder = Assets/_Project/Art/Generated/Resources/<ResourceName>/ and titanium_legacy_root = Assets/_Project/Art/Generated/Resources/TitaniumScrap/.","Before Unity execution, route each resource mesh into its canonical per-resource folder or update the relink CSV and material/proof contract together."
"Assets/_Project/Scripts/Editor/ProductFaceTransportMeshSourceAuthoring.cs","AssetDatabase write scope / 1879 route match","BLOCKER","Transport source authoring writes all transport meshes into a flat ProductFace folder, but the 1879 relink CSV expects per-transport folders under Assets/_Project/Art/Generated/Transport/<TransportName>/. This is a source/route mismatch likely to waste the future Unity import/relink slot.","Source line 30 OutputDirectory = Assets/_Project/Art/Generated/ProductFace/Transport; source line 99 writes OutputDirectory + mesh.name; 1879 CSV transport expected_future_mesh_asset_folder = Assets/_Project/Art/Generated/Transport/<TransportName>/.","Before Unity execution, route each transport mesh into its per-transport folder or change the 1879 contract and relink plan explicitly."
"Assets/_Project/Scripts/Editor/ProductFacePlayerSuitMeshSourceAuthoring.cs","AssetDatabase write scope / 1879 route match","BLOCKER","Player suit source authoring writes to Assets/_Project/Art/Generated/ProductFace/PlayerSuit, but the 1879 relink CSV expects Assets/_Project/Art/Generated/PlayerSuit/. This is a source/route mismatch likely to waste the future Unity import/relink slot.","Source line 22 OutputFolder = Assets/_Project/Art/Generated/ProductFace/PlayerSuit; source line 159 writes OutputFolder + spec.MeshAssetName; 1879 CSV player_suit_body_visor expected_future_mesh_asset_folder = Assets/_Project/Art/Generated/PlayerSuit/.","Before Unity execution, align player suit mesh output with the 1879 player route or revise the 1879 sequence with the new canonical path."
"Assets/_Project/Scripts/Editor/ProductFaceSkyOceanSourceValidator.cs","Menu path consistency","MINOR","Menu casing is split between HECTON-8/Product Face source authoring routes and Hecton8/Validation validator route. The validator path matches the 1878/1879 runbook, so this is not a compile blocker, but it is a discoverability/runbook consistency risk for future Unity owners.","Source line 24 MenuItem = Hecton8/Validation/Sky-Ocean Source Primitive Gate; source authoring files use HECTON-8/Product Face menu roots at lines 119, 83, 40, and 125 in their files.","Keep the validator path exact for 1878/1879 unless the runbooks are updated. If source authoring menus are standardized later, update reports and shot/run commands in the same change."
"Assets/_Project/Scripts/Editor/ProductFaceToolMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFaceResourcePickupMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFaceTransportMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFacePlayerSuitMeshSourceAuthoring.cs","AssetDatabase write scope","INFO","The four source-authoring scripts write Mesh assets only through AssetDatabase.CreateAsset or CopySerialized existing Mesh update paths, then SaveAssets. No prefab, scene, material, texture, DataMonolith, DeleteAsset, or SaveAsPrefab write route was found in the static scan.","rg hit CreateAsset/SaveAssets/CopySerialized/SetDirty/DestroyImmediate only in the four source-authoring files; no AssetDatabase.DeleteAsset or PrefabUtility hits across audited files.","Future Unity owner must still run import/compile/menu execution and inspect generated mesh assets before relink. Static scan does not prove Unity success."
"Assets/_Project/Scripts/Editor/ProductFaceSkyOceanSourceValidator.cs","Runtime/prefab/scene ownership leak scan","INFO","The sky/ocean validator loads prefab assets and traverses prefab children/components for read-only validation. No AssetDatabase write, PrefabUtility, SaveAsPrefab, DeleteAsset, or source mutation route was found.","Source lines 74 and 157 use AssetDatabase.LoadAssetAtPath; lines 87 and 283 use GetComponentsInChildren on loaded prefab roots; write scan found no mutation APIs in this file.","Keep this validator report-only/read-only until a future Unity owner runs it and records console/menu output."
"Assets/_Project/Scripts/Editor/ProductFaceToolMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFaceResourcePickupMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFaceTransportMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFacePlayerSuitMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFaceSkyOceanSourceValidator.cs","Unity/C# API compatibility scan","INFO","No float.IsFinite or double.IsFinite usage remains in the five audited .cs files. No raw string literal, obvious collection expression, or target-typed new() hit was found by static token scan. This is not compile proof.","Verification rg no-hit scan for float.IsFinite|double.IsFinite; additional rg scan for new() / collection-expression / raw-string tokens produced no compile-risk hit requiring escalation.","Unity import/compile remains pending. Do not report C# health as proven from this static scan."
"Assets/_Project/Scripts/Editor/ProductFaceToolMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFaceResourcePickupMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFaceTransportMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFacePlayerSuitMeshSourceAuthoring.cs; Assets/_Project/Scripts/Editor/ProductFaceSkyOceanSourceValidator.cs","Forbidden primitive/source shortcut scan","INFO","No GameObject.CreatePrimitive or CreatePrimitive call was found in the five audited .cs files. The sky/ocean validator contains narrow built-in primitive detection and Crest input exceptions, not primitive creation.","Verification rg no-hit scan for GameObject.CreatePrimitive|CreatePrimitive across the five audited .cs files.","Future generated meshes still require Unity execution, visual inspection, material proof, and prefab primitive relink proof."
"Assets/_Project/Scripts/Editor/ProductFaceToolMeshSourceAuthoring.cs.meta; Assets/_Project/Scripts/Editor/ProductFaceResourcePickupMeshSourceAuthoring.cs.meta; Assets/_Project/Scripts/Editor/ProductFaceTransportMeshSourceAuthoring.cs.meta; Assets/_Project/Scripts/Editor/ProductFacePlayerSuitMeshSourceAuthoring.cs.meta; Assets/_Project/Scripts/Editor/ProductFaceSkyOceanSourceValidator.cs.meta","Stable .meta GUID hygiene","INFO","All five audited .meta GUIDs exist and each GUID appears exactly once in the repository static scan.","GUID counts: f9fe30c6f06647818151e5466d0488f6=1; 6e9ab5fd8ddc47b2a27df93f1c95b875=1; 0d3b9586093f4f1fb7a4e02d8076e876=1; 1877f7b3d84e4f81a8b44e08a8d71877=1; 1878f6a2c2a44a77a810bdf1e0bfb878=1.","Future source moves must preserve or intentionally migrate GUIDs with Unity owner approval."
