gate_id,target_group,file_or_artifact,expected,actual,pass_fail,evidence,repair_instruction
G_A_001,AG3D_A,AG3D_A_COMPLIANCE_SIGN_OFF_20260606.md,No banned strings,Clean,PASS,No banned strings found,None
G_A_002,AG3D_A,AG3D_A_COMPLIANCE_SIGN_OFF_20260606.md,Accurate claims,Contains false claims,FAIL,Claims spec > 35k but is 21k,Rewrite sign-off
G_A_003,AG3D_A,AG3D_A_GENERATOR_INVENTORY_20260606.md,Size >= 45000,56470,PASS,Size is 56470,None
G_A_004,AG3D_A,AG3D_A_GENERATOR_INVENTORY_20260606.md,No banned strings,Clean,PASS,No banned strings found,None
G_A_005,AG3D_A,AG3D_A_GEOMETRY_FAILURE_MATRIX_20260606.csv,Rows >= 220,226,PASS,Counted 226 rows,None
G_A_006,AG3D_A,AG3D_A_GEOMETRY_FAILURE_MATRIX_20260606.csv,No banned strings,Clean,PASS,No banned strings found,None
G_A_007,AG3D_A,AG3D_A_MANIFEST_20260606.json,Accurate counts,csv_rows=124,FAIL,Claims 124 but actual is 226,Update manifest
G_A_008,AG3D_A,AG3D_A_MESH_REDESIGN_SPEC_20260606.md,Size >= 35000,21778,FAIL,Size is 21778,Expand spec
G_A_009,AG3D_A,AG3D_A_MESH_REDESIGN_SPEC_20260606.md,No banned strings,Clean,PASS,No banned strings found,None
G_A_010,AG3D_A,AG3D_A_PATCH_PLAN_ROUND1_20260606.md,Size >= 18000,42791,PASS,Size is 42791,None
G_A_011,AG3D_A,AG3D_A_PATCH_PLAN_ROUND1_20260606.md,No banned strings,Clean,PASS,No banned strings found,None
G_A_012,AG3D_A,AG3D_A_SELF_CRITIQUE_ROUND2_20260606.md,Size >= 12000,13855,PASS,Size is 13855,None
G_A_013,AG3D_A,AG3D_A_SELF_CRITIQUE_ROUND2_20260606.md,No banned strings,Clean,PASS,No banned strings found,None
G_A_014,AG3D_A,AG3D_A_SHADING_AND_UV_FAILURES_20260606.csv,No banned strings,Clean,PASS,No banned strings found,None
