term_key,en_US,ar_SA,de_DE,es_ES,fr_FR,he_IL,id_ID,ja_JP,ko_KR,nl_NL,pl_PL,pt_BR,ru_RU,uk_UA,zh_CN,lock_policy,notes
TERM_0,Term_0_en_US,Term_0_ar_SA,Term_0_de_DE,Term_0_es_ES,Term_0_fr_FR,Term_0_he_IL,Term_0_id_ID,Term_0_ja_JP,Term_0_ko_KR,Term_0_nl_NL,Term_0_pl_PL,Term_0_pt_BR,Term_0_ru_RU,Term_0_uk_UA,Term_0_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_1,Term_1_en_US,Term_1_ar_SA,Term_1_de_DE,Term_1_es_ES,Term_1_fr_FR,Term_1_he_IL,Term_1_id_ID,Term_1_ja_JP,Term_1_ko_KR,Term_1_nl_NL,Term_1_pl_PL,Term_1_pt_BR,Term_1_ru_RU,Term_1_uk_UA,Term_1_zh_CN,KEEP_EXACT,Standard
TERM_2,Term_2_en_US,Term_2_ar_SA,Term_2_de_DE,Term_2_es_ES,Term_2_fr_FR,Term_2_he_IL,Term_2_id_ID,Term_2_ja_JP,Term_2_ko_KR,Term_2_nl_NL,Term_2_pl_PL,Term_2_pt_BR,Term_2_ru_RU,Term_2_uk_UA,Term_2_zh_CN,KEEP_EXACT,Standard
TERM_3,Term_3_en_US,Term_3_ar_SA,Term_3_de_DE,Term_3_es_ES,Term_3_fr_FR,Term_3_he_IL,Term_3_id_ID,Term_3_ja_JP,Term_3_ko_KR,Term_3_nl_NL,Term_3_pl_PL,Term_3_pt_BR,Term_3_ru_RU,Term_3_uk_UA,Term_3_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_4,Term_4_en_US,Term_4_ar_SA,Term_4_de_DE,Term_4_es_ES,Term_4_fr_FR,Term_4_he_IL,Term_4_id_ID,Term_4_ja_JP,Term_4_ko_KR,Term_4_nl_NL,Term_4_pl_PL,Term_4_pt_BR,Term_4_ru_RU,Term_4_uk_UA,Term_4_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_5,Term_5_en_US,Term_5_ar_SA,Term_5_de_DE,Term_5_es_ES,Term_5_fr_FR,Term_5_he_IL,Term_5_id_ID,Term_5_ja_JP,Term_5_ko_KR,Term_5_nl_NL,Term_5_pl_PL,Term_5_pt_BR,Term_5_ru_RU,Term_5_uk_UA,Term_5_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_6,Term_6_en_US,Term_6_ar_SA,Term_6_de_DE,Term_6_es_ES,Term_6_fr_FR,Term_6_he_IL,Term_6_id_ID,Term_6_ja_JP,Term_6_ko_KR,Term_6_nl_NL,Term_6_pl_PL,Term_6_pt_BR,Term_6_ru_RU,Term_6_uk_UA,Term_6_zh_CN,KEEP_EXACT,Standard
TERM_7,Term_7_en_US,Term_7_ar_SA,Term_7_de_DE,Term_7_es_ES,Term_7_fr_FR,Term_7_he_IL,Term_7_id_ID,Term_7_ja_JP,Term_7_ko_KR,Term_7_nl_NL,Term_7_pl_PL,Term_7_pt_BR,Term_7_ru_RU,Term_7_uk_UA,Term_7_zh_CN,TRANSLITERATE_WITH_REVIEW,Standard
TERM_8,Term_8_en_US,Term_8_ar_SA,Term_8_de_DE,Term_8_es_ES,Term_8_fr_FR,Term_8_he_IL,Term_8_id_ID,Term_8_ja_JP,Term_8_ko_KR,Term_8_nl_NL,Term_8_pl_PL,Term_8_pt_BR,Term_8_ru_RU,Term_8_uk_UA,Term_8_zh_CN,TRANSLITERATE_WITH_REVIEW,Standard
TERM_9,Term_9_en_US,Term_9_ar_SA,Term_9_de_DE,Term_9_es_ES,Term_9_fr_FR,Term_9_he_IL,Term_9_id_ID,Term_9_ja_JP,Term_9_ko_KR,Term_9_nl_NL,Term_9_pl_PL,Term_9_pt_BR,Term_9_ru_RU,Term_9_uk_UA,Term_9_zh_CN,KEEP_LATIN,Standard
