path,folder,bytes,has_lodgroup_token,builtin_primitive_mesh_ref_count,mesh_filter_token_count,renderer_token_count,mesh_collider_token_count,box_collider_token_count,sphere_collider_token_count,capsule_collider_token_count,audio_source_token_count,direct_audioclip_ref_count,material_token_count,unique_guid_ref_count,missing_script_token_count,policy_flags,evidence_boundary
Assets/_Project/Prefabs/[FAUNA_DIRECTOR].prefab,Assets/_Project/Prefabs,948,False,0,0,0,0,0,0,0,0,0,0,0,0,NO_STATIC_LODGROUP_TOKEN|NO_RENDERER_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/[LOOT_MANAGER].prefab,Assets/_Project/Prefabs,944,False,0,0,0,0,0,0,0,0,0,0,0,0,NO_STATIC_LODGROUP_TOKEN|NO_RENDERER_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Audio/PFB_HectonMusicDirectorRoot.prefab,Assets/_Project/Prefabs/Audio,11145,False,0,0,0,0,0,0,0,3,0,0,2,0,NO_STATIC_LODGROUP_TOKEN|NO_RENDERER_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Audio/PFB_SpatialAudioManagerRoot.prefab,Assets/_Project/Prefabs/Audio,88165,False,0,0,0,0,0,0,0,24,0,0,2,0,NO_STATIC_LODGROUP_TOKEN|NO_RENDERER_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Buildings/Cube.prefab,Assets/_Project/Prefabs/Buildings,2637,False,1,1,1,0,0,0,0,0,0,1,2,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Construction/Final/PFB_Debris_ScrapCluster.prefab,Assets/_Project/Prefabs/Construction/Final,29150,True,9,9,9,0,1,0,0,0,0,10,7,0,BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Construction/Final/PFB_Debris_WreckField.prefab,Assets/_Project/Prefabs/Construction/Final,37341,True,12,12,12,0,1,0,0,0,0,13,8,0,BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Construction/Final/PFB_Module_Corridor.prefab,Assets/_Project/Prefabs/Construction/Final,39546,True,9,9,9,0,2,2,0,0,0,13,5,0,BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Construction/Final/PFB_Module_CurrentTurbine.prefab,Assets/_Project/Prefabs/Construction/Final,4659,False,1,1,1,0,0,0,1,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Construction/Final/PFB_Module_Foundation.prefab,Assets/_Project/Prefabs/Construction/Final,43465,True,9,9,9,0,2,4,0,0,0,15,5,0,BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
