path,ledger_class,duration_sec,channels,sample_rate_hz,codec,mean_volume_db_source_probe,max_volume_db_source_probe,measurement_status,ledger_policy_flags,dynamics_policy_flags,future_owner_action,evidence_class,status,evidence_boundary
Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3,ambient,63.336,2,48000,mp3,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Atmos 1 Loop.wav,ambient,128.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Atmos 1.wav,ambient,138.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Atmos 2 Loop.wav,ambient,128.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Atmos 2.wav,ambient,136.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Atmos 3 Loop.wav,ambient,120.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Atmos 3.wav,ambient,130.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Atmos 4 Loop.wav,ambient,120.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Atmos 4.wav,ambient,129.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Atmos 5 Loop.wav,ambient,120.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
