"path","product_exposure_class","primitive_evidence","why_primitive_unacceptable","required_real_mesh_silhouette","required_material_texture_identity","required_collision_proxy_split","lod_hlod_expectation","required_owner_source_system","proof_needed_before_acceptance","continuous_quality_consequence"
"Assets/_Project/Prefabs/Player.prefab","player body","Active built-in primitive body parts; fileIDs 10202 and disabled 10207 visor; material includes MAT_PlayerSwimBlockout plus HUD/glass materials.","Player body and first-person limb silhouette are product face; cubes break suit believability and fail the surface/shallow floor.","Pressure-rated dive suit body with helmet/visor housing, shoulder/forearm volumes, gloves, hose ports, gasket seams, lamp mount, worn hard-shell plates.","Graphite/rubber suit, scratched visor glass, cyan instrument edges, amber latch accents, salt/wetness, packed normal/MRAO; blockout material is not final.","Visual skinned/static suit mesh separate from capsule/box hit proxies; no LOD0 visual MeshCollider; named COL_* body/interaction proxies.","LOD0 hero first-person/third-person suit; LOD1 reduced plates; LOD2 coarse body shell; HLOD/impostor only for distant third-person/corpse cases with dither hysteresis.","Player/character art owner plus player presentation owner; source should be authored/offline generated suit asset, not runtime blockout.","Prefab YAML proving no enabled primitive MeshFilter, mesh/material paths, collider split proof, Unity screenshot and player capture, compact and high capture, profiler/build proof if rig/render path changes.","Low keeps strong suit silhouette and readable visor/tool anchors; Middle adds grime/labels; High adds bevel/wetness/material response; Ultra adds secondary suit detail and visor contamination without changing player collision or authority."
"Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab","first-person","Active VisualBody_BeaconDeployer cube primitive; placeholder tool material.","Held tool sits in first-person view; a cube cannot communicate deploy verb, grip, antenna, latch, or expensive instrument identity.","Handheld beacon deployer with grip, folded beacon cartridge, antenna spool, trigger, battery latch, emitter lens, safety label.","Worn polymer/metal housing, yellow/amber warning marks, rubber grip, scratched lens, packed normal/MRAO, no flat placeholder material.","Render body separate from small box/capsule grip and muzzle/placement trigger proxies; COL_* interaction/held bounds only.","LOD0 first-person hero; LOD1 world pickup reuse; LOD2 coarse pickup; no HLOD needed except inventory/world clusters.","Tools art owner; reuse one tool family across held and world variants; tool metadata remains data owner.","Prefab YAML, shared mesh/material proof, held and world screenshot, collider/proxy proof, target/placement affordance capture, profiler if render components change.","Low keeps deployer silhouette/antenna and simple material; Middle adds labels/grime; High adds bevels/lens response; Ultra adds tiny screws, cable spool detail, and emissive diagnostics."
"Assets/_Project/Prefabs/Tools/Held/Tool_Builder_Held.prefab","first-person","Active VisualBody cube primitive; placeholder builder material.","Builder is core construction verb; cube body gives no nozzle, projector, grip, or maintenance logic.","Industrial builder tool with pistol grip, projector fork, material feed slot, heat vents, gauge, exposed screws.","Scuffed metal/polymer, cyan projector glass, grime near vents, warning decals, packed masks and normals.","Visual body separated from grip box, nozzle trigger, placement ray origin proxy; no visual mesh collider.","LOD0 first-person hero; LOD1 world pickup/shared; LOD2 coarse dropped item; dithered transitions.","Tools art owner with construction/tool owner source contract.","Prefab YAML, mesh/material path proof, held/world variant reuse proof, Unity screenshot, player capture, collider proof, profiler if runtime presentation changes.","Low keeps projector fork and grip; Middle adds decal/vent detail; High adds bevel and glass response; Ultra adds projector glow/secondary panels without changing build truth."
"Assets/_Project/Prefabs/Tools/Held/Tool_EnvAnalyzer_Held.prefab","first-person","Active VisualBody_EnvAnalyzer cube primitive; placeholder material.","Analyzer must read as sensor instrument; cube blocks scan/trust feedback and product-face credibility.","Compact analyzer with sensor head, sample port, ribbed grip, small screen/lens cluster, ruggedized casing.","Dark worn casing, glass/sensor lenses, cyan/green diagnostic strips, condensation and scratches, packed PBR masks.","Visual mesh split from scan ray origin, grip collider, small pickup trigger; COL_* only for coarse bounds.","LOD0 first-person; LOD1 world pickup; LOD2 coarse silhouette; no high-distance HLOD except clustered inventory props.","Tools/scanner owner; source from tool equipment prop pipeline.","Prefab YAML, material/mesh proof, scan affordance screenshot, player capture, collider split, compact readability proof.","Low preserves sensor head and screen read; Middle adds labels; High adds lens/material polish; Ultra adds subtle sensor glow/noise presentation only."
"Assets/_Project/Prefabs/Tools/Held/Tool_Flashlight_Held.prefab","first-person","Active Visual cube primitive; placeholder flashlight material.","Flashlight is visibility tool; cube cannot sell lens, beam origin, battery, grip, or pressure-rated casing.","Cylindrical/rectangular dive flashlight with lens bezel, battery tube, clamp, hand strap, heat fins.","Anodized metal, rubber seals, scratched glass lens, salt deposits, emissive lens mask, normal/MRAO.","Visual mesh separate from lens ray origin, hand grip proxy, pickup trigger; no visual collider.","LOD0 first-person lens hero; LOD1 world pickup; LOD2 coarse body; dither hysteresis.","Tools/lighting owner; source authored equipment prop.","Prefab YAML, beam origin proof, held/world screenshot, player capture, collider proof, profiler if light/render path changes.","Low keeps lens/beam origin readable; Middle adds seal/strap; High adds glass/wetness; Ultra adds lens scratches and tiny hardware."
"Assets/_Project/Prefabs/Tools/Held/Tool_HarpoonLauncher_Held.prefab","first-person","Active VisualBody_HarpoonLauncher cube primitive; placeholder material.","Harpoon launcher must telegraph force, tether, danger, and line of fire; cube hides gameplay risk.","Harpoon launcher with barrel rail, tether spool, pressure tank, shoulder/hand grip, safety cage.","Worn dark metal, cable spool rubber, hazard paint, scratched barrel, grime, packed PBR masks.","Visual separated from barrel ray origin, tether anchor, grip proxy, hit/pickup triggers; no joint truth on visual mesh.","LOD0 first-person; LOD1 world pickup; LOD2 coarse; optional HLOD only if placed as world clutter.","Tools/physics owner for tether truth; tools art owner for mesh.","Prefab YAML, tether/barrel anchor proof, screenshot/player capture, collider split, profiler proof if tether presentation path changes.","Low keeps barrel/spool silhouette; Middle adds cable and hazard labels; High adds bevel/wear; Ultra adds secondary cable detail and recoil presentation."
"Assets/_Project/Prefabs/Tools/Held/Tool_Knife_Held.prefab","first-person","Active VisualBody_Knife cube primitive; placeholder material.","Knife is close first-person tool; cube cannot show blade edge, grip, or material contact affordance.","Dive knife with serrated blade, blunt pry edge, wrapped grip, guard, sheath attachment point.","Brushed steel/titanium blade, worn rubber grip, edge scratches, salt, packed normal/MRAO.","Visual blade separate from short melee/cut proxy; simple capsule/box hit volume owned by tool system.","LOD0 first-person blade; LOD1 world pickup; LOD2 low-poly dropped item; no HLOD except clutter cluster.","Tools/combat/salvage owner; equipment prop source.","Prefab YAML, blade mesh/material proof, hit proxy proof, held/world screenshot, player capture, compact readability.","Low keeps blade silhouette; Middle adds grip wrap; High adds edge wear/material; Ultra adds micro scratches and wet highlights."
"Assets/_Project/Prefabs/Tools/Held/Tool_LaserCutter_Held.prefab","first-person","Active VisualBody cube primitive; placeholder material.","Laser cutter is high-value tool; cube gives no emitter, heat path, grip, warning identity, or cut target affordance.","Laser cutter with emitter head, heat sink fins, power cell, grip, safety shield, small status display.","Heat-darkened metal, ceramic emitter, scratched glass, warning labels, cyan/amber status strips, packed masks.","Visual separate from beam origin, grip collider, heat/cut trigger proxies; no visual mesh collider.","LOD0 first-person hero; LOD1 world pickup; LOD2 coarse item; dithered transitions.","Tools/laser cutter owner and tools art owner; source from equipment pipeline.","Prefab YAML, emitter anchor proof, material/texture proof, screenshot/player capture, collider split, profiler if VFX/render changes.","Low keeps emitter/heat-sink read; Middle adds labels/grime; High adds heat discoloration/material response; Ultra adds secondary glow/sparks presentation only."
"Assets/_Project/Prefabs/Tools/Held/Tool_Propulsion_Held.prefab","first-person","Active VisualBody cube primitive; unresolved material GUID in _Project scan.","Propulsion tool needs nozzle/thruster direction and mass; cube hides force vector and makes physics verb unreadable.","Handheld propulsion device with intake, ducted nozzle, grip, battery/pump body, cage fins.","Dark metal/rubber, wet intake grille, scuffed nozzle, warning paint, packed masks; unresolved material must be replaced/proven.","Visual separate from thrust origin, grip proxy, pickup trigger; force truth stays in tool/physics owner.","LOD0 first-person; LOD1 world pickup; LOD2 coarse; no HLOD unless staged as clutter.","Tools/physics owner plus tools art owner.","Prefab YAML, resolved material paths, nozzle/thrust anchor proof, screenshot/player capture, collider split, profiler if force presentation changes.","Low keeps nozzle/intake readable; Middle adds grille/labels; High adds bevel/wetness; Ultra adds secondary intake animation/VFX only."
"Assets/_Project/Prefabs/Tools/Held/Tool_Repair_Held.prefab","first-person","Active VisualBody cube primitive; placeholder material.","Repair tool must show nozzle, welder/patch function, grip, and heat/power state; cube destroys affordance.","Repair/welder unit with nozzle, heat shield, cable/battery, grip, gauge, patch feed seam.","Heat-stained metal, ceramic nozzle, rubber grip, amber/cyan indicators, scratches, packed PBR masks.","Visual mesh separate from weld ray origin, grip box, pickup trigger; no visual collision truth.","LOD0 first-person hero; LOD1 world pickup; LOD2 coarse item.","Tools/repair owner and tools art owner.","Prefab YAML, mesh/material proof, weld origin proof, held/world screenshot, player capture, collider/proxy proof, profiler if VFX path changes.","Low keeps nozzle/gauge readable; Middle adds labels/grime; High adds heat wear; Ultra adds subtle slag/secondary details."
