Code,Severity,Reason,Reject condition,Required correction
MISSING_VIEW,Blocker,Required packet view absent,"Any of surface, shoreline, underwater_0_5m, underwater_20_50m, aegir_celestial, regression_low_oblique is missing","Capture the missing view in the same packet session"
FALSE_LABEL,Blocker,Screenshot label does not match visible route,"Underwater label shows surface/coast/sky view or medium-depth label shows shallow/surface view","Recapture from actual route depth with visible water volume/depth evidence"
STALE_LOG,Blocker,No clean log after final screenshot,"Latest referenced log predates final screenshot or lacks post-capture clean tail","Provide capture-session log after final screenshot with no unresolved faults"
RUNTIME_FAULT,Blocker,Runtime fault blocks visual acceptance,"Repeated exception, forced-load exit, compile/import loop, shader/material error, or capture transport failure during packet window","Fix owner fault and recapture full packet with clean log"
ACID_GREEN,Major,Neon or acid terrain/water color abuse,"Surface/shallow color is saturated green/yellow and reads as debug/toxic flat tint instead of premium ocean/rock","Regrade with real ocean color, controlled saturation, material breakup, and readable luminance"
FLAT_TINT_PLANE,Major,Flat tinted plane sold as water or terrain,"Frame contains large untextured slab/plane with no geometry, material detail, route, or depth response","Replace with actual terrain/water material proof: normals, wetness, depth fade, silhouettes, caustic response"
BLACK_STREAKS,Major,Black bands/streaks hide geometry or waterline,"Hard black streaks, strips, or silhouettes dominate without believable source or material form","Remove debug/clip artifacts; prove waterline and terrain with motivated shadow/contrast"
PALE_SLAB,Major,Pale slab terrain/water artifact,"Underwater or shoreline view shows flat pale/yellow slab with no seabed, sediment, rocks, or route structure","Recapture after terrain/material/waterline fix; show seabed material and geometry"
DEBUG_FOAM,Major,Debug foam sheet or clutter,"Foam appears as uniform sheet, grid, lace overlay, vertex/debug band, or unrelated screen clutter","Use organic shoreline foam with contact, breakup, wetness, scale, and no debug overlays"
EMPTY_SEABED,Major,Underwater route lacks content density,"0-5 m or 20-50 m shows empty plane/water volume without geology, biota, route cue, debris, or scale witness","Add/show terrain relief, material breakup, scatter/ecology/industrial traces, and route silhouette"
HAZE_HIDE,Major,Haze/darkness hides weak terrain,"Underwater haze, fog, darkness, or post stack removes route readability or conceals missing detail","Use readable depth haze with near/mid/far structure and visible route/terrain cues"
CAUSTIC_CLUTTER,Major,Caustics are debug/noise rather than light response,"Caustics appear as unmotivated global noise, clutter, or screen-space artifact without shallow/light reason","Limit caustics to justified shallow/lit surfaces with readable floor response"
WEAK_TERRAIN,Major,Terrain/material detail below floor,"Rocks/coast/seabed are smooth, low-poly, muddy, untextured, or shell-like from gameplay distance","Show textured rocks, wetness, strata, sediment, normals, decals, silhouettes, and scale"
WEAK_AEGIR,Major,Aegir/celestial below floor,"Aegir is a primitive dot/disc, muddy sine bands, wrong horizon placement, or lacks atmosphere/scale","Show large textured Aegir behind horizon/atmosphere with cloud bands and fixed map position"
NEON_ABUSE,Major,Brightness achieved through saturation/whiteout,"Surface is bright only because of clipped whites, neon greens, or crushed color channels","Use controlled exposure: bright but material-preserving water/sky/shoreline"
FAKE_METADATA,Blocker,Proof metadata absent or inconsistent,"No timestamp, scene, camera/depth, quality weight, UI/post state, log link, checksum, or route script identity","Recapture with full metadata manifest and matching log"
STALE_SCREENSHOT,Blocker,Screenshot predates current fix or has no packet session identity,"Artifact timestamp/session does not match claimed fix or log window","Produce fresh packet with monotonic timestamps and checksum manifest"
