"manifest_row_id","domain","route_group","role_id","visible_debt_target","current_static_blocker","allowed_shader_route","required_source_package","required_albedo","required_normal","required_packed_or_mask","channel_contract","required_optional_masks","forbidden_sources","allowed_output_folder","prefab_binding_allowed","low_consequence","middle_consequence","high_consequence","ultra_consequence","unity_owner_relink_requirement","status"
"TOOL_BeaconDeployer_BODY_HELD_WORLD","ProductFace","tools","Tool_BeaconDeployer","Held and world Tool_BeaconDeployer prefabs","Mat_Tool_BeaconDeployer_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_BeaconDeployer","TX_Tool_BeaconDeployer_BaseMap","TX_Tool_BeaconDeployer_Normal","TX_Tool_BeaconDeployer_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","labels|wear|edge grime|controlled emission if physical emitter exists","Mat_Tool_*_Placeholder|package Lit|Unity primitive|ToolScreenDiegetic as body|VFX cone/beam/projection materials","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 body maps; major silhouette labels and broad wear only","1024-2048 body maps; secondary wear and baked AO seams","2048 body maps; sharper labels normals and mask gradients","4096 source optional; micro-scratch/detail normal and alternate decal sheet","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_Builder_BODY_HELD_WORLD","ProductFace","tools","Tool_Builder","Held and world Tool_Builder prefabs","Mat_Tool_Builder_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_Builder","TX_Tool_Builder_BaseMap","TX_Tool_Builder_Normal","TX_Tool_Builder_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","construction dust|worn grip labels|controlled emitter mask","Mat_Tool_*_Placeholder|package Lit|Unity primitive|ToolScreenDiegetic as body|builder projection material as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; readable builder identity and broad grip wear","1024-2048 maps; secondary handle wear and tool-head AO","2048 maps; sharper seam normals and decals","4096 source optional; micro-abrasion and extra decal variants","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_EnvAnalyzer_BODY_HELD_WORLD","ProductFace","tools","Tool_EnvAnalyzer","Held and world Tool_EnvAnalyzer prefabs","Mat_Tool_EnvAnalyzer_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_EnvAnalyzer","TX_Tool_EnvAnalyzer_BaseMap","TX_Tool_EnvAnalyzer_Normal","TX_Tool_EnvAnalyzer_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","sensor ring labels|controlled emission mask|salt wear","Mat_Tool_*_Placeholder|package Lit|Unity primitive|ToolScreenDiegetic as body|sensor VFX as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; readable analyzer housing and broad sensor marks","1024-2048 maps; sensor trim AO and secondary wear","2048 maps; crisp label/emission masks and housing normals","4096 source optional; micro-scratch and alternate wet/dry detail sheet","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_Flashlight_BODY_HELD_WORLD","ProductFace","tools","Tool_Flashlight","Held and world Tool_Flashlight prefabs","Mat_Tool_Flashlight_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_Flashlight","TX_Tool_Flashlight_BaseMap","TX_Tool_Flashlight_Normal","TX_Tool_Flashlight_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","lens rim mask|switch wear|controlled emitter mask","Mat_Tool_*_Placeholder|package Lit|Unity primitive|FlashlightConeSilt as body|lens VFX as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; flashlight identity and broad switch wear","1024-2048 maps; lens rim AO and handle wear","2048 maps; crisp labels normal seams and emission mask","4096 source optional; micro-scratches and lens-rim decal sheet","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_HarpoonLauncher_BODY_HELD_WORLD","ProductFace","tools","Tool_HarpoonLauncher","Held and world Tool_HarpoonLauncher prefabs","Mat_Tool_HarpoonLauncher_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_HarpoonLauncher","TX_Tool_HarpoonLauncher_BaseMap","TX_Tool_HarpoonLauncher_Normal","TX_Tool_HarpoonLauncher_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","barrel wear|safety labels|controlled emitter if present","Mat_Tool_*_Placeholder|package Lit|Unity primitive|projectile VFX as body|beam/trail materials as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; readable launcher silhouette and broad barrel wear","1024-2048 maps; rail AO and safety labels","2048 maps; sharper barrel normals and mask gradients","4096 source optional; micro-abrasion and alternate decal wear","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_Knife_BODY_HELD_WORLD","ProductFace","tools","Tool_Knife","Held and world Tool_Knife prefabs","Mat_Tool_Knife_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_Knife","TX_Tool_Knife_BaseMap","TX_Tool_Knife_Normal","TX_Tool_Knife_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","edge wear|handle grip pattern|salt scuff mask","Mat_Tool_*_Placeholder|package Lit|Unity primitive|slash VFX as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; blade/handle material split and broad edge wear","1024-2048 maps; handle texture and blade AO","2048 maps; crisp edge wear and normal detail","4096 source optional; micro-scratches and alternate corrosion detail","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_LaserCutter_BODY_HELD_WORLD","ProductFace","tools","Tool_LaserCutter","Held and world Tool_LaserCutter prefabs","Mat_Tool_LaserCutter_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_LaserCutter","TX_Tool_LaserCutter_BaseMap","TX_Tool_LaserCutter_Normal","TX_Tool_LaserCutter_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","heat shield stains|warning labels|controlled emitter mask","Mat_Tool_*_Placeholder|package Lit|Unity primitive|LaserCutRadianceDecal as body|cut beam VFX as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; cutter identity and broad heat wear","1024-2048 maps; warning labels and nozzle AO","2048 maps; sharp nozzle normal and emission mask","4096 source optional; micro-burn detail and alternate decal sheet","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_Propulsion_BODY_HELD_WORLD","ProductFace","tools","Tool_Propulsion","Held and world Tool_Propulsion prefabs","Held prefab package Lit.mat and world placeholder shell reported","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_Propulsion","TX_Tool_Propulsion_BaseMap","TX_Tool_Propulsion_Normal","TX_Tool_Propulsion_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","propulsor intake wear|grip labels|controlled emitter mask","Mat_Tool_*_Placeholder|package Lit|Unity primitive|thruster VFX as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; propulsor identity and broad intake wear","1024-2048 maps; grip detail and intake AO","2048 maps; crisp turbine normals and decal masks","4096 source optional; micro-scratches and alternate wet detail sheet","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_Repair_BODY_HELD_WORLD","ProductFace","tools","Tool_Repair","Held and world Tool_Repair prefabs","Mat_Tool_Repair_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_Repair","TX_Tool_Repair_BaseMap","TX_Tool_Repair_Normal","TX_Tool_Repair_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","repair head wear|service labels|controlled emitter mask","Mat_Tool_*_Placeholder|package Lit|Unity primitive|repair sparks VFX as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; repair silhouette and broad handle wear","1024-2048 maps; service labels and head AO","2048 maps; crisp head normals and emission mask","4096 source optional; micro-scratch and oil/salt detail sheet","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_SalvageSampler_BODY_HELD_WORLD","ProductFace","tools","Tool_SalvageSampler","Held and world Tool_SalvageSampler prefabs","Mat_Tool_SalvageSampler_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_SalvageSampler","TX_Tool_SalvageSampler_BaseMap","TX_Tool_SalvageSampler_Normal","TX_Tool_SalvageSampler_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","sample chamber grime|biohazard labels|controlled emitter mask","Mat_Tool_*_Placeholder|package Lit|Unity primitive|sample fluid VFX as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; sampler identity and broad chamber grime","1024-2048 maps; label clarity and chamber AO","2048 maps; crisp sampler head normals and masks","4096 source optional; micro-grime and alternate label sheet","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
