prefab_name,prefab_path,family_guess,variant_guess,domain_guess,has_variant_suffix,likely_visual_role,source_confidence,notes
PFB_family_cave_entrance.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_cave_entrance.prefab,cave_entrance,base,geology,FALSE,hero_geology,HIGH,Root proxy for cave entrance
PFB_family_cave_entrance__lip.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_cave_entrance__lip.prefab,cave_entrance,lip,geology,TRUE,structural_rim,HIGH,Rim detail for cave entrance
PFB_family_cave_entrance__shaft.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_cave_entrance__shaft.prefab,cave_entrance,shaft,geology,TRUE,vertical_tunnel,HIGH,Vertical tunnel section
PFB_family_coral_branching.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching.prefab,coral_branching,base,flora,FALSE,reef_structure,HIGH,Root proxy for branching coral
PFB_family_coral_branching__branch.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching__branch.prefab,coral_branching,branch,flora,TRUE,reef_detail,HIGH,Branch variant
PFB_family_coral_branching__mass.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching__mass.prefab,coral_branching,mass,flora,TRUE,reef_volume,HIGH,Massive branch cluster
PFB_family_coral_brittle__fan.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_brittle__fan.prefab,coral_brittle,fan,flora,TRUE,reef_fragile,HIGH,Fan shaped brittle coral
PFB_family_coral_brittle__sprig.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_brittle__sprig.prefab,coral_brittle,sprig,flora,TRUE,reef_fragile,HIGH,Sprig shaped brittle coral
PFB_family_coral_low.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low.prefab,coral_low,base,flora,FALSE,reef_carpet,HIGH,Root proxy for low coral
PFB_family_coral_low__bed.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low__bed.prefab,coral_low,bed,flora,TRUE,reef_carpet,HIGH,Bed cluster of low coral
PFB_family_coral_low__plate.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low__plate.prefab,coral_low,plate,flora,TRUE,reef_carpet,HIGH,Plate structure of low coral
PFB_family_coral_massive__head.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_massive__head.prefab,coral_massive,head,flora,TRUE,reef_landmark,HIGH,Massive brain/head coral
PFB_family_coral_massive__porous.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_massive__porous.prefab,coral_massive,porous,flora,TRUE,reef_landmark,HIGH,Massive porous sponge coral
PFB_family_coral_plate__ledge.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_plate__ledge.prefab,coral_plate,ledge,flora,TRUE,reef_overhang,HIGH,Plate coral forming a ledge
PFB_family_coral_plate__shelf.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_plate__shelf.prefab,coral_plate,shelf,flora,TRUE,reef_overhang,HIGH,Plate coral forming a large shelf
PFB_family_creature_spawn_passive.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_passive.prefab,creature_spawn_passive,base,fauna,FALSE,spawner,HIGH,Root proxy for passive creature spawns
PFB_family_creature_spawn_passive__ring.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_passive__ring.prefab,creature_spawn_passive,ring,fauna,TRUE,spawner_volume,HIGH,Ring shaped spawn volume
PFB_family_creature_spawn_passive__stalk.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_passive__stalk.prefab,creature_spawn_passive,stalk,fauna,TRUE,spawner_point,HIGH,Stalk based spawn point
PFB_family_creature_spawn_predator.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator.prefab,creature_spawn_predator,base,fauna,FALSE,spawner_danger,HIGH,Root proxy for predator spawn
PFB_family_creature_spawn_predator__nest.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator__nest.prefab,creature_spawn_predator,nest,fauna,TRUE,spawner_danger,HIGH,Predator nest spawn
PFB_family_creature_spawn_predator__tooth.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator__tooth.prefab,creature_spawn_predator,tooth,fauna,TRUE,spawner_danger,HIGH,Predator tooth spawn marker
PFB_family_creature_zone_abyss_apex__a.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_abyss_apex__a.prefab,creature_zone_abyss_apex,a,fauna,TRUE,zone_danger,HIGH,Abyssal apex predator zone
PFB_family_creature_zone_large_threat__a.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_large_threat__a.prefab,creature_zone_large_threat,a,fauna,TRUE,zone_danger,HIGH,Large threat predator zone
PFB_family_creature_zone_reef_apex__a.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_reef_apex__a.prefab,creature_zone_reef_apex,a,fauna,TRUE,zone_danger,HIGH,Reef apex predator zone
PFB_family_creature_zone_ruin_apex__a.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_ruin_apex__a.prefab,creature_zone_ruin_apex,a,fauna,TRUE,zone_danger,HIGH,Ruin apex predator zone
