tool_key,battery_capacity,thermal_limit,power_draw_rate,heat_generation_rate,cooldown_rate,flags
tool_beacon_deployer,60,0.8,0.20,0.02,0.18,0
tool_builder,140,1.0,1.50,0.16,0.22,0
tool_environmental_analyzer,90,1.0,0.80,0.08,0.28,0
tool_flashlight,80,0.75,0.60,0.01,0.35,0
tool_harpoon_launcher,100,1.1,0.40,0.05,0.25,0
tool_survival_blade,40,0.6,0.10,0.00,0.20,0
tool_laser_cutter,120,1.0,1.60,0.20,0.30,0
tool_logic_spanner,110,1.0,0.75,0.12,0.45,0
tool_propulsion,160,1.2,2.00,0.24,0.30,0
tool_repair,130,1.0,1.10,0.08,0.22,0
tool_salvage_sampler,70,0.8,0.30,0.03,0.24,0
tool_scanner,100,0.9,1.20,0.06,0.32,0
tool_stun_pistol,90,1.1,2.40,0.22,0.26,0
