family_id,display_name,environment_band,depth_meters,geological_process,silhouette_contract,generator_source,source_profile_contract,variant_count_target,scale_meters,material_set,placement_constraints,existing_routes_to_consume,reject_if,proof_shots
"GEO2005_SHORE_WET_DRY_OUTCROP","Shoreline wet/dry transition outcrop","surface waterline and splash band","signed waterline -0.5 to +1.5, not raw depth 0","wave-eroded basalt ledges, chipped mineral edges, wet lower cavities","low shelf plus broken vertical faces; readable wet line from camera height","GeologyForge","name=Shoreline_WetDry_BasaltOutcrop seed=20050101 resolution=44 variations=8 radius=3.2 height=1.4 frequency=1.35 amplitude=0.30 ridged=0.82 voronoi=0.38 octaves=6 ao_rays=48 iso=0.01 quality=0.66 lod=14000/5600/900","8","1.5-5.0 wide, 0.6-2.2 tall","wet basalt shoreline, dry basalt top, salt/foam residue mask","requires explicit shoreline socket or signed waterline predicate; slope 0-45; align long axis to coast tangent","candidate material MAT_H8SurfaceWetBasaltReal_1428 after mask completion; existing PFB_Geo_RockShelf_* for reference only","uses depth==0 underwater rule, missing waterline mask, grey diffuse-only output, primitive proxy","shoreline close; shoreline wide; material flat; final lit"
"GEO2005_BEACH_COBBLE_FIELD","Beach cobble field","dry beach, damp sand, splash edge","above waterline to signed -0.2 splash band","rounded basalt cobbles, abrasion, sediment packed between stones","many small varied silhouettes; no uniform pebble grid","GeologyForge","name=Beach_Cobble_Field seed=20050201 resolution=28 variations=24 radius=0.65 height=0.28 frequency=1.9 amplitude=0.16 ridged=0.30 voronoi=0.70 octaves=4 ao_rays=20 iso=-0.02 quality=0.42 lod=3500/900/180","24","0.2-1.1 diameter","dry basalt, damp underside, black sand contact blend","render-only except blocker stones; density capped; sink 5-15 cm into terrain; never placed as underwater reef","PFB_Geo_RockFloor_* and PFB_Geo_RockCluster_* candidates for silhouette audit","individual collider spam, floating stones, tiled pattern, primitive proxy","beach grounding; density proof; low quality proof"
"GEO2005_COAST_CLIFF_FACE_CHUNK","Coast cliff face modular chunk","surface coastline cliff","above waterline with lower wet band","fractured basalt cliff, erosion notches, vertical sediment/mineral streaks","modular wall chunk with non-repeating cliff edge and eroded base","RockSculptor primary, GeologyForge backup","name=Coast_Cliff_Face_Modular seed=20050301 resolution=56 variations=6 radius=7.5 height=5.0 frequency=0.85 amplitude=0.34 ridged=0.88 voronoi=0.26 octaves=6 ao_rays=64 iso=0.04 quality=0.76 lod=18000/7000/1200","6","6-14 wide, 3-9 tall","wet basalt lower band, dry basalt upper band, mineral streak decals","coastline sockets only; slope 30-85; terrain seam cover; no random inland scatter","existing PFB_Geo_RockShelf_* and cliff material candidates as reference only","visible seams, flat grey cliff, no lower wet band, missing LODGroup/collider","coastline wide; seam close; LOD overlay"
"GEO2005_TIDEPOOL_RIM_WET_LEDGE","Tidepool rim and wet ledge","intertidal gameplay edge","signed waterline -0.3 to +0.8","wave-polished rim, shallow erosion lip, small cavities","thin readable ledge ring with wet rim and dry top","RockSculptor","name=Tidepool_Rim_Wet_Ledge seed=20050401 resolution=40 variations=10 radius=2.4 height=0.45 frequency=1.6 amplitude=0.18 ridged=0.55 voronoi=0.50 octaves=5 ao_rays=36 iso=-0.01 quality=0.58 lod=8000/2400/450","10","1.2-4.0 diameter, 0.2-0.7 tall","polished wet basalt, algae/mineral stain, dry top","shoreline/tidepool socket only; supports walk/readability where gameplay owner marks traversable","no direct final prefab consumed until generated","collider blocks walkable lip incorrectly, no wet rim, coral placed on dry rim","tidepool close; gameplay readability; collider overlay"
"GEO2005_SHALLOW_REEF_ANCHOR_ROCK","Shallow reef anchor rock","photic underwater reef grounding","1.5-8 submerged only","basalt/limestone anchor with algae stain and sand-cavity accumulation","broad grounded anchor, coral-safe hard points, no dry-land look","GeologyForge","name=Shallow_Reef_Anchor_Rock seed=20050501 resolution=40 variations=12 radius=2.8 height=1.2 frequency=1.25 amplitude=0.22 ridged=0.64 voronoi=0.52 octaves=5 ao_rays=40 iso=0.00 quality=0.60 lod=9000/3000/600","12","1.0-4.5 wide","wet basalt plus reef limestone blend, algae lower mask, sand cavity AO","min submerged depth 1.5; preferSeafloor true; requiredSubstrate rock or sand; no dry placement","PFB_Geo_RockCluster_* candidates after quality gate","minDepthMeters 0, preferSeafloor 0, missing substrate, coral/kelp dry scatter, proxy primitive","shallow underwater; dry-land zero proof; material close"
"GEO2005_UNDERWATER_SHELF_ROCK","Underwater shelf rock","photic to upper medium route shelf","8-60 submerged","layered shelf erosion, silt lines, fractured edges","horizontal traversable shelf with chipped edge and cavity AO","GeologyForge","name=Underwater_Shelf_Rock seed=20050601 resolution=48 variations=8 radius=4.5 height=1.4 frequency=1.05 amplitude=0.26 ridged=0.72 voronoi=0.40 octaves=6 ao_rays=48 iso=0.02 quality=0.68 lod=15000/5600/1000","8","3-9 wide, 0.8-2.5 tall","medium wet basalt, silt line, cavity AO","depth >8; slope 8-58; preferSeafloor true; route shelf sockets preferred","WorldGenerativeGeologyProfile_RockShelfLarge and PFB_Geo_RockShelf_* candidates","floating shelf, LOD pop destroys edge, collider not separate","shelf wide; route readability; collider proof"
"GEO2005_HERO_ARCH_OVERHANG","Arch and overhang hero silhouette","shoreline or submerged landmark","socket-owned, not density scatter","differential erosion arch, layered strata, wet underside","large negative space arch; readable from route; no primitive torus/cube silhouette","RockSculptor primary with compound proxy","name=Hero_Arch_Overhang seed=20050701 resolution=64 variations=4 radius=6.5 height=5.5 frequency=0.78 amplitude=0.32 ridged=0.86 voronoi=0.34 octaves=7 ao_rays=64 iso=0.03 quality=0.82 lod=18000/7000/1200","4","6-16 wide, 4-10 tall","layered wet basalt, dry rim or submerged mineral edge by socket","explicit route landmark socket; no random scatter; compound collider children only","PFB_Geo_RockArch_* and PFB_Geo_RockArch_Large candidates after quality gate","one-piece convex collider blocks arch route, primitive proxy, silhouette unreadable at low quality","hero route shot; silhouette shot; collider compound proof"
"GEO2005_MEDIUM_DEPTH_ROUTE_MARKER","Medium-depth route marker formation","medium-depth navigation","20-120 submerged","basalt spire/stack, mineral seams, directional fracture","vertical or leaning marker, visible outline without black fog","GeologyForge","name=MediumDepth_RouteMarker_BasaltSpire seed=20050801 resolution=48 variations=6 radius=3.6 height=7.2 frequency=0.95 amplitude=0.28 ridged=0.84 voronoi=0.32 octaves=6 ao_rays=56 iso=0.03 quality=0.74 lod=18000/6800/1100","6","3-8 wide, 5-12 tall","darker wet basalt with bright mineral chips, no fog dependency","route socket only or sparse density cap; preferSeafloor true; substrate rock","PFB_Geo_LandmarkSpire_* candidates after proof","dark blob, hidden by fog, same-frame random scatter density, missing low quality readability","medium-depth readability; low quality shot; route context"
"GEO2005_DEBRIS_BLEND_ROCKS","Debris blend rocks for asset grounding","local sockets around wrecks, cliffs, props, shoreline","inherits local band","fracture debris, chipped fragments, sediment contact","small irregular pieces that hide asset seams without visual noise","GeologyForge","name=Debris_Blend_Rocks seed=20050901 resolution=24 variations=32 radius=0.45 height=0.28 frequency=2.2 amplitude=0.15 ridged=0.45 voronoi=0.58 octaves=4 ao_rays=18 iso=-0.02 quality=0.38 lod=2000/500/120","32","0.15-1.2 wide","inherits local rock material, vertex A blend mask","socket-local only; render-only by default; density and scale continuous with GlobalQualityWeight","PFB_Geo_RockFloor_* reference only","uniform gravel noise, collider spam, visual merge hides gameplay path","asset grounding; seam cover; density proof"
"GEO2005_DISTANT_HLOD_COAST_MASS","Distant HLOD coastline mass","far coastline silhouette","distance-only","merged accepted cliff/outcrop source, baked AO/material composite","large readable coastline mass; never close-inspection geometry","Offline HLOD shell from accepted families","name=Distant_HLOD_Coast_Mass seed=20051001 source=accepted_cliff_outcrop_set target=HLOD no_collision","3-5 per coastline cell","cell-scale","baked composite from accepted wet/dry coast materials","distance-only; terrain owns collision; HLOD transition must be dithered","after accepted close rocks only","inspectable close range, collider present, material differs from close source, silhouette pop","coastline wide; HLOD transition; low quality proof"
