queue_id,priority,category,route_band,evidence,blocked_art,required_replacement_source_path_or_package,execution_lane,owner_sequence,proof_required,status
2019-Q001,1,active_scene_primitive_meshes,surface_photic_medium,"2002 B20-2002-001: 342 active scene primitive refs; 137 product-face filtered refs","Moon/water/surface/basalt/shore/photic primitive mesh refs in Assets/_Project/Scenes/02_HECTON_WORLD.unity","Accepted generated/source prefabs from 2004 flora/coral package, 2005 geology package, or approved authored product-face assets","UNITY_OWNER_SLOT_ONLY","Unity slot 1 before aesthetic polish","Active-scene primitive validator; current surface/coast/photic/medium screenshots; Frame Debugger/profiler if render paths changed",OPEN
2019-Q002,1,null_material_slots,surface_photic,"2002 B20-2002-002: 45 active-scene null material slots","Null/default/invisible/magenta risk in active scene and prologue prefabs","2016 replacement material stack plus resolved texture GUIDs","UNITY_OWNER_SLOT_ONLY_AFTER_SOURCE_UNLOCK","Unity slot 1 after material source paths are known","Material binding report; dependency scan; scene screenshots; Frame Debugger material inspection",OPEN
2019-Q003,1,placeholder_materials,all_product_routes,"2016 rank 10; 2011 aggregate says ProceduralPlaceholders route exists","Assets/_Project/Materials/WorldRuntime/ProceduralPlaceholders/*_Placeholder.mat","Authored replacement materials or diagnostic-only exclusion with dependency proof","UNITY_OWNER_SLOT_ONLY","Material owner before generated final relink","No production prefab/scene dependency on placeholders; relink report; route captures",OPEN
2019-Q004,1,sky_cloud_source_blocker,surface_sky,"2016 ranks Skybox.mat, Mat_HectonSky.mat, Mat_HectonSky_CloudOverlay.mat as blockers","Unresolved skybox/cloud/cubemap refs; empty primary material roles","First-party sky/cloud/Aegir/moon texture sources; 2016 material rubric R01-R05","GENERATED_SOURCE_MISSING_BLOCKER","Source owner before sky/ocean Unity slot","Source-aware validator; 360 sky/cropped horizon captures; import proof",OPEN
2019-Q005,1,terrain_rock_material_blocker,surface_coast_medium,"2016 ranks terrain.mat and Mat_TriplanarRock.mat as blockers","Unresolved terrain/rock albedo refs; empty normal/detail/mask slots","2005 wet basalt/dry basalt/triplanar geology material stack plus locked channel contract","GENERATED_SOURCE_MISSING_BLOCKER","Material source owner before GeologyForge relink","Flat/URP material previews; projection contract; coastline/medium-depth captures",OPEN
2019-Q006,1,dry_land_kelp,shoreline_photic,"2002 B20-2002-003; 2003 dry-land placement spec","Kelp rules allow minDepthMeters 0 and preferSeafloor 0","2004 kelp finals plus placement rule requiring submerged seafloor or explicit shoreline split","UNITY_OWNER_SLOT_ONLY","Placement owner before flora route proof","Rule diff; dry-land rejection proof; 0-5 m acceptance proof; overdraw/profiler",OPEN
2019-Q007,1,dry_land_coral,shoreline_photic,"2002 B20-2002-004; 2003 dry-land placement spec","Coral low/branching/reef/massive/plate can start at depth 0 with no seafloor preference","2004 coral finals plus submerged reef substrate rules","UNITY_OWNER_SLOT_ONLY","Placement owner before BioForge import acceptance","Rule diff; substrate proof; dry-land zero proof; photic reef capture",OPEN
2019-Q008,1,dry_land_underwater_rocks,shoreline_photic_medium,"2002 B20-2002-005; 2005 placement contract","Rock floor/cluster/shelf/arch rules allow depth 0 and preferSeafloor 0","2005 split shoreline and underwater geology rules","UNITY_OWNER_SLOT_ONLY","Placement owner before GeologyForge route proof","Signed waterline/submerged threshold proof; scatter validation; route screenshots",OPEN
2019-Q009,2,kelp_proxy_finals,photic,"2004 matrix rejects primitive stalks/ribbon-only/proxy fallback","Kelp tall/patch/canopy final route not proven; BioForge starter maps are not final","Docs/Reports/Batch20/2004_BIOFORGE_FLORA_CORAL_SOURCE_PACKAGE.md and 2004_FLORA_CORAL_VARIANT_MATRIX.csv","GENERATED_SOURCE_MISSING_THEN_UNITY_OWNER","Flora source owner then Unity flora import owner","Flat silhouette sheet; PBR closeup; vertex color sheet; LOD overlay; validator output",OPEN
2019-Q010,2,coral_proxy_finals,photic_medium,"2004 matrix rejects tube coral/smooth blobs/paper-thin plates/noisy carpets/proxy beds","Branching/massive/plate/low/soft fan coral finals not proven","Docs/Reports/Batch20/2004_* source and channel packages","GENERATED_SOURCE_MISSING_THEN_UNITY_OWNER","Coral source owner then Unity flora/coral import owner","Topology proof; PBR closeup; channel debug; photic/medium route capture",OPEN
