"id","type","severity","evidence_class","artifact","line_or_time","finding","risk","steer"
"2023-001","FACT","HIGH","STATIC_PROCESS","Win32_Process snapshot","2026-06-04 ~15:01","Main Unity editor PID 52264 is running with redirected log under Docs/AgentLogs.","Unity ownership is live; external agents must not steal editor control.","Do not kill Unity or issue Unity/MCP commands from this critic lane."
"2023-002","FACT","HIGH","STATIC_PROCESS","Win32_Process snapshot","2026-06-04 ~15:01","AssetImportWorker0/1, UnityShaderCompiler helpers, ILPP, UnwrapCL, and MCP transport are resident.","Import/capture state is active; interruption can worsen churn.","Steer lightly; wait for idle/proof window before demanding captures."
"2023-003","FACT","MEDIUM","STATIC_PROCESS","Win32_Process snapshot","2026-06-04 ~15:01","No live dotnet.exe, csc.exe, MSBuild.exe, or Bee backend process was observed.","Current compile process not live, but past compile churn remains relevant.","Do not start a build; do not claim compile health from process absence."
"2023-004","FACT","HIGH","STATIC_LOG","Docs/AgentLogs/UnityEditor_visual_audit_restart.log","tail; last write 2026-06-04 15:01:25","Log tail shows repeated imports of Photic1453/1455 assets, MAT_H8_SurfaceCrestOcean_1428, and 02_HECTON_WORLD.unity.","Active import churn can invalidate screenshots and increase import race risk.","Owner should batch scene/material writes and stop micro-saves before proof captures."
"2023-005","FACT","MEDIUM","STATIC_LOG","Docs/AgentLogs/UnityEditor_visual_audit_restart.log","tail","Final sampled refreshes report compile time 0 ms.","Current tail is asset/material/shader import heavy, not compile heavy.","Still avoid builds and script edits while Unity owner is active."
"2023-006","RISK","HIGH","STATIC_LOG","Docs/Reports/Batch20/2018_UNITY_ACTIVE_OWNER_HEALTH_WATCH.md","line cited in report: import worker code=10054","Prior report found unexpected transport error from import worker 0.","Worker transport failure can hide import instability even if main editor remains alive.","Acknowledge risk; do not kill workers without fresh owner-side proof."
"2023-007","RISK","MEDIUM","STATIC_LOG","Docs/Reports/Batch20/2018_UNITY_ACTIVE_OWNER_HEALTH_WATCH.md","Bee ExitCode 4 then 0","Prior report found Bee compile churn before current import window.","Compile churn can return if new script/shader edits continue.","Do not launch dotnet/build; keep Unity owner serialized."
"2023-008","RISK","MEDIUM","STATIC_LOG","Docs/AgentLogs/UnityEditor_visual_audit_restart.log","19977-20228 earlier hits","MCP dynamic capture route produced repeated render texture target release warnings.","Future screenshots can create editor warnings or bad captures if route is unchanged.","Fix capture route before proof run; detach targetTexture before release."
"2023-009","FACT","HIGH","STATIC_FILE,STATIC_IMAGE","Docs/Orchestration/Captures","latest Unity capture 12:57; later captures are UI/control-plane","No fresh Unity visual proof exists after the later Photic1453/1455 imports.","Cannot judge current visual state or accept the pass.","Request minimum capture set outside Assets."
"2023-010","FACT","HIGH","STATIC_IMAGE","Docs/Orchestration/Captures/unity_focus_state_20260604_125701.png","2026-06-04 12:57","The stale capture shows grey barren coast, dark-green flat ocean read, and translucent sticker-like Aegir.","This is below surface/photic visual floor; later imports remain unproven.","Do not claim acceptance; use it as critique target only."
"2023-011","RISK","HIGH","STATIC_FILE,STATIC_LOG","Assets/_Project/Art/Materials/WorldProceduralProxy; Unity log","2026-06-04 imports","WorldProceduralProxy family materials and proxy-risk coral/kelp names are present/imported.","Visible route can regress to proxy/placeholder materials or dry-land underwater scatter.","Ban proxy/default/null/package materials from visible surface/photic routes."
"2023-012","FACT","MEDIUM","STATIC_FILE","Assets/_Project/Art/Meshes/World/Photic1453","2026-06-04 14:41-14:52","New names like HeroWetBoulder, HeroTubeCoralCluster, PhoticHeroTerrain, ReefWall, SurfaceFoamLace sound final-intended.","Names are not visual proof; they can still be primitive or weak.","Require screenshot, material/channel, LOD/collider, and placement proof."
"2023-013","RISK","HIGH","STATIC_DOC","Docs/Reports/Batch20/2019_PRIMITIVE_PROXY_ART_DEBT_ELIMINATION_PLAN.md","static findings","Prior plan reports active primitive mesh refs, null material slots, dry-land ecology leakage, and placeholder material blockers.","Existing systemic debt can contaminate new Unity owner work.","Steer owner to replace primitives/proxies, not repaint or hide them."
"2023-014","STEER","HIGH","STATIC_DOC,STATIC_LOG,STATIC_IMAGE","2023 critique synthesis","2026-06-04","Light single steer is justified; hard interruption is not.","Spam or direct process interference can block Unity owner.","Paste one concise steer asking for idle-window proof captures and proxy rejection."
