route_name,file_path,owner_type,scene_prefab_material_reference,active_inactive_evidence,proof_boundary
Crest ocean foam/caustic material,Assets/_Project/Art/Materials/MAT_H8_SurfaceCrestOcean_1428.mat,Material/shader route,Ocean material/Crest override,"_Foam=1 _FoamTexture assigned _Caustics=1 _CausticsTexture assigned",STATIC VERIFIED material setup; PENDING runtime capture
Crest foam simulation,Assets/_Project/Scenes/02_HECTON_WORLD.unity,Crest runtime/system,H8_CREST_FOAM_INPUT_PASS_1464,"RegisterFoamInput enabled _disableRenderer=1 MeshRenderer disabled",STATIC VERIFIED serialized input; PENDING Crest debug/runtime output
Authored shoreline foam ribbons,Assets/_Project/Art/Materials/MAT_H8_SurfaceFoamRibbons_1428.mat,Authored mesh/decal fake,SURFACE_FOAM_RIBBON_1428_2,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Offshore foam break,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticShoreFoamOrganic_1428.mat,Authored mesh/decal fake,H8_OFFSHORE_FOAM_BREAK_1428_0,"GameObject active MeshRenderer m_Enabled=0",STATIC VERIFIED disabled renderer
Visible wave foam,Assets/_Project/Scenes/02_HECTON_WORLD.unity,Authored mesh/decal fake,H8_VisibleWaveFoam_1438,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Surface foam lace/blob,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_SurfaceFoamBlob_1447.mat,Authored mesh/decal fake,H8_SurfaceFoamLace_1453,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Visible unlit foam,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_VisibleFoamUnlit_1436.mat,Authored mesh/decal fake,H8_VisibleFoamUnlit_1436,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Broken/readable foam legacy,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_SurfaceFoamRing_1432.mat,Authored mesh/decal fake,H8_VisibleBrokenFoam_1435,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Deferred caustics pass,Assets/_Project/Scripts/Rendering/AbyssalCaustics/HectonDeferredCausticsFeature.cs,URP renderer feature,PC/PC_High/Mobile/Quest_VR renderer assets,m_Active=1 in all four renderer assets,STATIC VERIFIED feature active; PENDING runtime owner/buffer proof
Deferred caustics runtime publisher,Assets/_Project/Scripts/Rendering/AbyssalCaustics/AbyssalDeferredCausticsRuntime.cs,Runtime owner/publisher,Script GUID 4cbb8fb5b0c14e57aa7d232232ca0004,No GUID hits in searched scene/prefab/data assets,STATIC VERIFIED not serialized in searched assets; hidden bootstrap not proven
Legacy caustics projector,Assets/_Project/Scripts/Visor/CausticsProjectorManager.cs,Legacy shim,Code route only,Awake/OnEnable disable component,STATIC VERIFIED disabled by code
Analytical caustics service,Assets/_Project/Scripts/Graphics/Caustics/AnalyticalCausticsService.cs,Legacy shim,Code route only,EnsureRuntimeInstance returns null and Awake disables component,STATIC VERIFIED disabled by code
Floor caustic soft mesh,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_FloorCausticSoft_1443.mat,Authored floor mesh fake,H8_FloorCausticSoft_1443,"m_IsActive=1 MeshRenderer enabled material assigned",STATIC VERIFIED active mesh; PENDING camera visibility/strength proof
Floor caustic patches,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_FloorCausticVertex_1438.mat,Authored floor mesh fake,H8_FloorCausticPatches_1438,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Photic terrain caustics,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_FloorCausticSoft_1443.mat,Material/procedural fake,H8_PhoticTerrainCaustics_1453,"m_IsActive=0 MeshRenderer m_Enabled=0; shader depends on masks/vertex alpha",STATIC VERIFIED mesh disabled; PENDING material receiver proof
Water caustic ribs,Assets/_Project/Art/Materials/World/MAT_WorldThinServiceSignal_1428.mat,Authored mesh/service marker,WATER_CAUSTIC_RIB_3 and WATER_CAUSTIC_RIB_1428_10,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Crest underwater renderer,Assets/_Project/Scenes/02_HECTON_WORLD.unity,Crest camera underwater pass,Crest.UnderwaterRenderer,"m_Enabled=1 _depthFogDensityFactor=0.92 _copyOceanMaterialParamsEachFrame=1",STATIC VERIFIED serialized/enabled; PENDING capture/post-stack proof
Atmosphere underwater profile,Assets/_Project/Scenes/02_HECTON_WORLD.unity,Atmosphere/profile route,HectonAtmosphereManager,"_profileUnderwater assigned _waterSurfaceY=14.02 _useAutoUnderwaterDetection=0",STATIC VERIFIED profile data present; PENDING runtime state/camera depth proof
WaterOptics runtime,Assets/_Project/Scripts/Rendering/WaterOptics/WaterOpticsRuntime.cs,Runtime owner/constant buffer,Script GUID 26500000000000000000000000000004,No GUID hits in searched scene/prefab/data assets,STATIC VERIFIED not serialized in searched assets; hidden bootstrap not proven
WaterOptics telemetry feature,Assets/_Project/Scripts/Rendering/WaterOptics/HectonWaterOpticsTelemetryFeature.cs,Renderer/telemetry feature,Script GUID 26500000000000000000000000000005,No GUID hits in searched assets,STATIC VERIFIED not serialized in searched assets
Underwater horizon haze,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_UnderwaterHorizonHaze_1437.mat,Authored mesh fake,H8_UnderwaterHorizonHaze_1437,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Underwater haze curtain,Assets/_Project/Art/Materials/World/Photic1453/MAT_H8_UnderwaterHazeCurtain_1454.mat,Authored mesh fake,H8_UnderwaterHazeCurtain_1454,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Underwater surface sheet,Assets/_Project/Art/Materials/World/Photic1453/MAT_H8_UnderwaterSurfaceSheet_1455.mat,Authored mesh fake,H8_UnderwaterSurfaceSheet_1455,"m_IsActive=0 MeshRenderer m_Enabled=0",STATIC VERIFIED disabled
Underwater suspended specks,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_UnderwaterSpecks_1446.mat,Authored particulate mesh fake,H8_UnderwaterSuspendedSpecks_1446,"GameObject m_IsActive=0 MeshRenderer enabled",STATIC VERIFIED disabled by inactive GameObject
Suspended particulate field,Assets/_Project/Scenes/02_HECTON_WORLD.unity,Authored particulate mesh fake,SUSPENDED_PARTICULATE_1428_39,"GameObject active MeshRenderer m_Enabled=0",STATIC VERIFIED sampled renderer disabled
Marine snow renderer,Assets/_Project/Scripts/VFX/HectonMarineSnowRenderer.cs,GPU runtime VFX owner,Script GUID 117377a1299b43878297cc0f26000481,No GUID hits in searched scene/prefab/data assets,STATIC VERIFIED not serialized in searched assets
Jacobian foam runtime,Assets/_Project/Scripts/VFX/JacobianFoam/JacobianFoamGpuRuntime.cs,GPU runtime foam owner,Script GUID 2e0bd2c7a9684b68b5bea776ea7775a0,No GUID hits in searched scene/prefab/data assets,STATIC VERIFIED not serialized in searched assets
Jacobian foam render feature,Assets/_Project/Scripts/VFX/JacobianFoam/HectonJacobianFoamRenderFeature.cs,Renderer feature,Script GUID fc79c581ebb44ecfa8fc6f97b39e8666,No GUID hits in searched renderer scene/prefab/data assets,STATIC VERIFIED not serialized in searched assets
