Route,Type,Static state,Classification,Activation path,Rollback state,Key risk,Proof required
MAT_H8_SurfaceCrestOcean_1428,Crest ocean material,Enabled fields populated,Organic/premium candidate,Material already has foam/caustics enabled; verify Crest pass and camera path,Restore original material values only if Unity owner edits them,"Enabled material can still render no visible contact foam",Frame Debugger Crest passes + before/after shoreline screenshot + GPU/profiler sample
H8_CREST_FOAM_INPUT_PASS_1464,Crest foam input,GameObject active; renderer disabled as expected sim input,Disabled but salvageable / sim candidate,Verify Crest foam sim debug output before any authored mesh activation,Restore original active state and renderer-disabled sim-input state,"Renderer disabled is expected; do not turn it into visible mesh output",Crest foam debug/Frame Debugger proof + shoreline screenshot
H8_OFFSHORE_FOAM_BREAK_1428_0,Authored foam mesh,GameObject active; MeshRenderer disabled,Disabled but salvageable,Enable MeshRenderer only for one camera test,Set MeshRenderer back disabled,"May read as offshore slab if mesh bounds/alpha are wrong",One screenshot; reject on rectangular sheet or pixel grid
MAT_H8_PhoticShoreFoamOrganic_1428,Authored foam material,Texture assigned; alpha/color populated,Organic/premium candidate but screenshot-failed route,Use only with replacement/retuned mesh or masked contact test,Restore material alpha/renderer state,"1473 organic-only screenshot shows hard wedge/grid sheet",Close shoreline screenshot; no rectangular sheet; no pixel grid
SURFACE_FOAM_RIBBON_1428_2,Authored ribbon mesh,GameObject inactive,Debug-looking risk / reject until replacement,Do not enable for recovery unless mesh/material replaced,Keep inactive,"Ribbon/sheet route likely reads as fake strip",Replacement mesh proof + screenshot
H8_VisibleWaveFoam_1438,Authored wave foam mesh,GameObject inactive; renderer disabled,Disabled but salvageable one-shot test,Enable one route only after Crest baseline,Restore inactive and renderer disabled,"May be visible but not tied to shoreline contact",Before/after screenshot from exact camera
H8_SurfaceFoamLace_1453,Authored lace foam mesh,GameObject inactive; renderer disabled,Reject/delete candidate until material/mesh replaced,Do not re-enable as-is,Keep inactive/renderer disabled,"1473 lace-only screenshot shows pixel-grid slab over water",Replacement art proof; no grid texture
MAT_H8_SurfaceFoamBlob_1447,Authored blob/lace material,Material exists under World/Photic1428,Primitive slab risk,Do not use as-is for shoreline recovery,Restore original material/object disabled state,"Batch22 path mismatch plus screenshot route failure risk",Material receiver screenshot after replacement only
H8_VisibleFoamUnlit_1436,Authored unlit foam mesh/material,GameObject inactive; material _BaseMap/_MainTex fileID 0,Reject/delete candidate until texture assigned,Do not enable as-is,Keep inactive/renderer disabled,"Empty texture slots can render invisible or flat unlit sheet",Material slot validation + screenshot
H8_VisibleBrokenFoam_1435,Legacy broken/readable foam,GameObject inactive; renderer disabled,Reject/delete candidate,Do not enable for recovery,Keep inactive/renderer disabled,"Name and Batch22 classify as broken legacy; likely debug-looking",Only replacement route proof
H8_SurfaceFoamTopOnly_1458_00..06,Authored top-only foam meshes,Scene objects inactive,Primitive slab risk,Do not bulk-enable; candidate only after mesh review,Restore inactive,"Top-only sheets risk flat quads above water",Screenshot and mesh/material review
