"ShotId","ViewName","RequiredSubject","CameraIntent","MustShow","RejectIf","RequiredCompanionReadback","Status"
"H8_1475_SHOT_01","Surface sky/Aegir/ocean/HUD gameplay","Bright surface, Aegir, sky, ocean surface, and HUD in first-person route context","Gameplay-height wide shot with surface beauty, route readability, and player instrument context in one frame","Readable sky gradient, hero Aegir with limb/cloud/band detail, premium ocean surface, coastline or route cue, active HUD state","Flat green/blue ocean sheet, muddy sky, toy Aegir, darkness/fog/bloom hiding weak art, cropped HUD, raw MCP PNG substitution","Sky/Aegir slot inspector; Crest/ocean slot inspector; player/HUD rows in no_mutation_readback_report.md; frame_debugger_stats.md","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_02","Shoreline/waterline contact","Waterline, wet terrain edge, foam/contact breakup, shallow transparency, and shoreline material scale","Close 1m to 3m shot at believable eye or tool height proving geometry contact","Wet rock transition, foam contacting geometry, shallow water transparency, material breakup, scale witness","Water merely adjacent to dark terrain, repeated/decorative foam, crushed black shoreline, fog cover, artist textures bound into Crest wave-data slots","Crest/ocean slot readback; terrain material slot readback; foam/contact/caustic draw rows in frame_debugger_stats.md","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_03","Photic terrain route","Traversable photic terrain, coastline geology, route silhouette, sediment, strata, and material identity","Gameplay route shot with forward decision, return cue, and visible terrain material truth","Readable route geometry, wet geology, nonprimitive terrain silhouette, material masks/normals, scale witness","Crushed terrain, noisy slick slope, primitive blob, blurry material, random scatter camouflage, post/fog hiding geometry","Active terrain receiver/material/shader readback; terrain slot classifications; product-face primitive blocker readback; terrain render stats","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_04","Underwater 0-5m route","Shallow underwater route, water ceiling, seabed, negative space, particles as evidence, and instrument context","First-person shallow route shot proving water volume and return readability","Water volume, ceiling/surface interaction, seabed detail, route cue, shallow terrain visibility, readable instrument/HUD state","Empty green/yellow slab, flat fog sheet, black void, full-screen marine snow, no seabed/ceiling read, no decision cue","Crest underwater material readback; player/HUD rows; terrain material readback; console_export.txt","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_05","Medium-depth 20-50m hero route","Medium-depth hero route with geology, flora/coral, fauna silhouettes where relevant, silt, and readable route cost","Forward route composition at real gameplay height, not an empty blue-water beauty angle","Cliffs/shelves, readable negative space, return cue, route hazard or salvage cue, premium mid-depth material and water response","Mislabeled depth, empty blue fog, black water, random coral carpet, no route decision, fog hiding weak art, raw MCP PNG substitution","Crest/ocean readback; terrain/material readback; product-face/ecology blocker rows if visible; frame_debugger_stats.md","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_06","Player/HUD binding close shot","Active production player, HUD/cockpit/visor carrier, component stack, and decision-bearing instrument state","Close scene-selected/inspector proof plus gameplay-facing instrument crop","Production player binding, HUD canvas routes, oxygen/pressure/power/signal/tool state, physical or diegetic carrier","Flat generic overlay, fake telemetry, screen-space UI posing as cockpit proof, unreadable state, missing production player binding","production_player_prefab_instance; PlayerRuntimeContextService.binding_state; HUD canvas render modes; component stack rows","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_07","Product-face tool/prefab close shot","Held tool, resource pickup, transport or prefab representative, visible mesh/material/LOD/collider proof","Close product-face shot that exposes authored quality instead of scenic camouflage","Nonprimitive mesh, PBR material roles, texture slot route, LOD chain, collider/proxy classification, route relevance","Built-in primitive mesh, blockout/default/proxy/null material, missing PBR role, missing LOD chain, missing collider/proxy role","Product-face primitive targets inspector; renderer/material rows; LODGroup level count; collider type/role rows","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_08","Crest/ocean inspector/readback companion","Active OceanRenderer, canonical Crest material route, foam/normals/caustics and _WD slot classification","Inspector/readback screenshot proving active ocean route, not visual beauty proof","OceanRenderer object path/state, Ocean.mat route, Ocean-Underwater.mat route, normals/foam/caustics slots, _WD classification","Crest wrapper/clone/override, noncanonical material route, missing active OceanRenderer, artist textures in _WD slots, repeated final foam as contact proof","effective_ocean_material_asset_path; effective_underwater_material_asset_path; normals_texture_slots; foam_texture_slots; _WD_wave_data_slots","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_09","Sky/Aegir inspector/readback companion","Active skybox, Aegir/cloud/moon renderer state, and effective material slot classification","Inspector/readback screenshot proving active scene route, not stale candidate asset","RenderSettings.skybox, Mat_HectonSky cloud/star slots, cloud overlay slot, Aegir band/cloud/disc slots, active renderer state","Null/stale/ignored active slots, orbit-only proof, duplicate sun/backdrop ownership, muddy/smeared Aegir hidden by post or fog","RenderSettings.skybox; Mat_HectonSky cloud/star slots; Aegir_band_cloud_disc_slots; sky_aegir_cloud_moon_renderer_state","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_10","Terrain/material inspector/readback companion","Active terrain receiver, active material, shader, basalt/sand/wetness/normal/mask slots, and stale material classifications","Inspector/readback screenshot proving material owner route and effective slot state","Visible active terrain route, actual material path, shader name/path, slot state, stale candidate classifications","Stale terrain material accepted as active, null/missing required slots, dark/noisy/flat material route, guessed GUID fix, hidden by fog","active_terrain_receiver_path; active_terrain_material_path; active_terrain_shader_name_path; basalt/sand/wetness/normal/mask slot rows","REQUIRED / PENDING_H8_1475_PACKET"
"H8_1475_SHOT_11","Final contact sheet/manifest row","Every canonical shot, abort note, readback, log, dirty audit, stats artifact, and visual comparison mapping","Contact sheet or manifest table proving no required view was omitted, renamed, or substituted","All required artifact paths, camera/source labels, checksum, Unity log, console export, dirty-state result, readback report, stats report","Missing view without ABORTED note, fake hash, orphan artifact, raw MCP PNG substitution, acceptance claim without artifacts","manifest.json; manifest.sha256; UnityLog.txt; console_export.txt; dirty_state_audit.md; no_mutation_readback_report.md; frame_debugger_stats.md","REQUIRED / PENDING_H8_1475_PACKET"
