"rank","priority_source","target","source_basis","current_packet","status","next_action","do_not_do"
"1","TX_B21_WetBasaltShoreline_Albedo_20260604","Wet basalt shoreline albedo","2022 rank 1; 2101","2101 wet basalt source package","BLOCKED BY SOURCE","Generate one candidate; run intake QA; manual 2x2 and 3x3 review; derive PBR only after albedo passes","Do not use current 1429 as broad terrain tile or production material"
"2","TX_B21_ShoreFoamSaltContact_Mask_20260604","Shore foam/salt contact RGBA mask","2022 rank 2; 2101","2101 wet basalt/waterline gates","BLOCKED BY SOURCE","Generate after rank 1 primary attempt; QA as linear mask source; keep presentation-only waterline fake","Do not use opaque white ribbon, storm grime, or water truth encoded in mask"
"3","TX_B21_PhoticSeabedSubstrate_AlbedoHeightSource_20260604","Photic seabed substrate albedo/height source","2022 rank 3; 2102","2102 photic seabed package","BLOCKED BY SOURCE","Generate one candidate; QA tileability and material identity; derive albedo/normal/masks after source passes","Do not accept generic blue-gray sand, flat Perlin, muddy darkness, or baked caustics"
"4","TX_B21_ShallowBranchingCoral_AlbedoHeightSource_20260604","Shallow branching coral source","2022 rank 4; 2103","2103 coral/flora constraints","BLOCKED BY SOURCE","Generate one source candidate after top 3 primary attempts; QA for coral material source only","Do not treat texture source as mesh/topology proof or final coral"
"5","TX_B21_AegirCloudBands_AlbedoSource_20260604","Aegir cloud-band source","2022 rank 5; 2105","2105 Aegir/sky package","BLOCKED BY SOURCE","Generate one candidate; reject sine stripes, low-res bands, muddy cover, hard terminator; keep Aegir direction if premium","Do not reject blue/purple direction by taste alone; reject only quality failure"
"6","TX_B21_BrightSurfaceCloudDeck_ColorSource_20260604","Bright surface cloud deck","2022 rank 6; 2105","2105 sky/cloud package","BLOCKED BY SOURCE","Do not spend before top 5 have at least one candidate and static intake result unless controller reprioritizes","Do not make storm/night-only acceptable sky"
"7","TX_B21_CausticParticleLookup_Source_20260604","Caustic/particle lookup source","2022 rank 7","2022 queue only","CANDIDATE","Use only as visual fake support after material blockers start moving","Do not bake caustics into albedo or create global dancing caustics without light reason"
"8","TX_B21_KelpBladeHoldfast_AlbedoHeightSource_20260604","Kelp blade/holdfast source","2022 rank 8; 2103","2103 coral/flora constraints","BLOCKED BY SOURCE","Generate only after spend-first surface/photic blockers have candidates; QA as material source, not whole plant proof","Do not accept flat ribbon wallpaper or underwater kelp on dry land"
"9","TX_B21_ScannerToolMaterial_AlbedoHeightSource_20260604","Scanner/tool casing source","2022 rank 9; 2106","2106 product-face package","BLOCKED BY SOURCE","Generate after surface/photic/sky blockers unless product-face slot is explicitly pulled forward","Do not claim tool mesh/prefab/interaction proof from source texture"
"10","TX_B21_ResourceOrePickupMaterial_AlbedoHeightSource_20260604","Resource ore pickup material source","2022 rank 10; 2106","2106 product-face package","BLOCKED BY SOURCE","Generate after higher route blockers; split ore host rock and mineral inclusion material truth","Do not ship colored-rock currency or primitive pickup with texture repaint"
