family_id,lod0_tris,lod1_tris,lod2_tris,hlod_or_impostor,collider_type,collider_budget,physics_semantics,lod_hysteresis,static_flags,validation_gate,reject_if
"GEO2005_SHORE_WET_DRY_OUTCROP","<=14000","<=5600","<=900","optional coastline HLOD after proof","compound convex proxy children or generated convex proxy","<=192 triangles total unless gameplay owner requires split proxies","blocks foot/vehicle traversal only where route owner marks blocker; no hidden snag volumes","dithered LOD with silhouette-preserving LOD2","static batching compatible, SRP Batcher shared material, probes valid","GeologyForgeSelfAudit plus collider overlay screenshot","LOD0 collider, missing COL child, default material, primitive proxy"
"GEO2005_BEACH_COBBLE_FIELD","<=3500 per hero cobble, dense instances lower","<=900","<=180","density culled by distance, no separate HLOD needed","render-only by default; simple collider only for explicitly marked blocker stones","0 for render-only; <=32 tris for blocker stones","must not create collider spam on beach; terrain owns walking surface","early fade/cull acceptable only if beach remains grounded","shared material, no per-instance clone","density proof plus physics object count review","individual colliders on dense field, floating stones, hard pop"
"GEO2005_COAST_CLIFF_FACE_CHUNK","<=18000","<=7000","<=1200","mergeable into distant coastline HLOD","compound proxy children aligned to playable surfaces","<=200 tris per chunk or named proxy group","terrain or route owner decides climb/block; proxy must not exceed visual bounds badly","dithered LOD, no seam pop at coastline","static renderer flags, shadow/probe settings accepted","GeologyForgeSelfAudit/RockSculptor validation plus seam proof","single convex hull covers playable cavities, visible seam, no collider proof"
"GEO2005_TIDEPOOL_RIM_WET_LEDGE","<=8000","<=2400","<=450","none unless merged into shore cell","compound low ledge proxy or render-only when terrain owns collision","<=96 tris","walkable lip only where gameplay marks; no invisible step traps","stable LOD near player because tidepool is close inspection","shared material, no alpha-heavy wet edge","collider overlay and close gameplay readability proof","rim blocks route incorrectly, wet edge disappears at LOD1"
"GEO2005_SHALLOW_REEF_ANCHOR_ROCK","<=9000","<=3000","<=600","optional reef cell HLOD after proof","convex proxy or compound if coral/socket needs hard points","<=192 tris","blocks sub/character only if route owner marks; coral sockets cannot depend on render mesh","dithered LOD, coral hard points stable across LODs","static underwater prop, no material clones","underwater proof plus dry-land zero scatter proof","placed dry, preferSeafloor false, no substrate, LOD0 collider"
"GEO2005_UNDERWATER_SHELF_ROCK","<=15000","<=5600","<=1000","mergeable into shelf HLOD","compound proxy for traversable shelf faces","<=192 tris or route-approved split proxy","route shelf collision must match intended traversal/readability","longer hysteresis than debris because shelf silhouette is route-critical","static, shared wet material, probe settings verified","route readability, collider overlay, LOD transition shot","floating shelf, collider missing, LOD2 destroys route edge"
"GEO2005_HERO_ARCH_OVERHANG","<=18000","<=7000","<=1200","hero stays longer before HLOD; distant proxy allowed only past route readability distance","multiple named compound convex proxy children","<=200 tris per compound set unless explicit route proof accepts more","arch opening must remain physically open; no one-piece convex blocker","strict dither; low quality must preserve negative space","static hero prop, no primitive source, no material fallback","hero silhouette proof, route shot, compound collider overlay","single convex collider blocks arch, silhouette lost at low quality, proxy primitive"
"GEO2005_MEDIUM_DEPTH_ROUTE_MARKER","<=18000","<=6800","<=1100","distant route-marker impostor optional after proof","convex or compound base proxy only if collision relevant","<=160 tris","navigation landmark first; collision secondary unless route owner marks obstacle","silhouette-preserving LOD2 mandatory","static, shared material, no fog-only readability","medium-depth low quality proof and LOD overlay","dark blob, invisible at low quality, collider exceeds visual unexpectedly"
"GEO2005_DEBRIS_BLEND_ROCKS","<=2000","<=500","<=120","density culled/faded; no HLOD","render-only by default","0 except explicit blocker fragment <=24 tris","visual grounding only; cannot alter gameplay path truth","early fade acceptable with no seam exposure","shared inherited material, no clones","asset grounding proof and object count review","collider spam, uniform gravel noise, material mismatch"
"GEO2005_DISTANT_HLOD_COAST_MASS","<=12000 source shell or baked mesh","<=4000","<=800 or impostor","primary output is HLOD/impostor cell","none","0","terrain/route collision only; HLOD must never own gameplay collision","dithered transition from accepted close chunks","static HLOD, atlas/array compatible","coastline wide shot and transition shot","has collider, close-inspection usage, material pop, primitive coastline"
