release_set,packet_id,loc_id,locale,source_voice,subtitle_text,target_duration_seconds,caption_priority,source_noise,rtl_or_cjk_note,review_status
RS113,P440,loc_id_P440,en_US,Automated Voice,gravel and we're out of patche...,3.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,ar_SA,Automated Voice,gravel and we're out of patche...,7.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,de_DE,Automated Voice,gravel and we're out of patche...,7.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,es_ES,Automated Voice,gravel and we're out of patche...,6.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,fr_FR,Automated Voice,gravel and we're out of patche...,7.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,he_IL,Automated Voice,gravel and we're out of patche...,7.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,id_ID,Automated Voice,gravel and we're out of patche...,2.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,ja_JP,Automated Voice,gravel and we're out of patche...,7.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,ko_KR,Automated Voice,gravel and we're out of patche...,3.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,nl_NL,Automated Voice,gravel and we're out of patche...,5.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,pl_PL,Automated Voice,gravel and we're out of patche...,6.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,pt_BR,Automated Voice,gravel and we're out of patche...,7.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,ru_RU,Automated Voice,gravel and we're out of patche...,4.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,uk_UA,Automated Voice,gravel and we're out of patche...,4.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P440,loc_id_P440,zh_CN,Automated Voice,gravel and we're out of patche...,7.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,en_US,Automated Voice,kick to engage so watch your s...,7.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,ar_SA,Automated Voice,kick to engage so watch your s...,5.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,de_DE,Automated Voice,kick to engage so watch your s...,6.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,es_ES,Automated Voice,kick to engage so watch your s...,3.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,fr_FR,Automated Voice,kick to engage so watch your s...,2.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,he_IL,Automated Voice,kick to engage so watch your s...,5.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,id_ID,Automated Voice,kick to engage so watch your s...,4.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,ja_JP,Automated Voice,kick to engage so watch your s...,2.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,ko_KR,Automated Voice,kick to engage so watch your s...,6.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,nl_NL,Automated Voice,kick to engage so watch your s...,3.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,pl_PL,Automated Voice,kick to engage so watch your s...,2.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,pt_BR,Automated Voice,kick to engage so watch your s...,5.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,ru_RU,Automated Voice,kick to engage so watch your s...,3.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,uk_UA,Automated Voice,kick to engage so watch your s...,3.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P441,loc_id_P441,zh_CN,Automated Voice,kick to engage so watch your s...,3.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,en_US,Automated Voice,won't hold another cycle so wa...,3.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,ar_SA,Automated Voice,won't hold another cycle so wa...,4.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,de_DE,Automated Voice,won't hold another cycle so wa...,5.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,es_ES,Automated Voice,won't hold another cycle so wa...,5.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,fr_FR,Automated Voice,won't hold another cycle so wa...,6.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,he_IL,Automated Voice,won't hold another cycle so wa...,2.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,id_ID,Automated Voice,won't hold another cycle so wa...,1.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,ja_JP,Automated Voice,won't hold another cycle so wa...,6.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,ko_KR,Automated Voice,won't hold another cycle so wa...,7.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,nl_NL,Automated Voice,won't hold another cycle so wa...,6.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,pl_PL,Automated Voice,won't hold another cycle so wa...,6.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,pt_BR,Automated Voice,won't hold another cycle so wa...,2.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,ru_RU,Automated Voice,won't hold another cycle so wa...,7.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,uk_UA,Automated Voice,won't hold another cycle so wa...,2.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P442,loc_id_P442,zh_CN,Automated Voice,won't hold another cycle so wa...,6.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,en_US,Automated Voice,a pry bar. The old scanner won...,2.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,ar_SA,Automated Voice,a pry bar. The old scanner won...,4.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,de_DE,Automated Voice,a pry bar. The old scanner won...,4.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,es_ES,Automated Voice,a pry bar. The old scanner won...,4.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,fr_FR,Automated Voice,a pry bar. The old scanner won...,5.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,he_IL,Automated Voice,a pry bar. The old scanner won...,6.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,id_ID,Automated Voice,a pry bar. The old scanner won...,5.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,ja_JP,Automated Voice,a pry bar. The old scanner won...,3.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,ko_KR,Automated Voice,a pry bar. The old scanner won...,6.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,nl_NL,Automated Voice,a pry bar. The old scanner won...,6.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,pl_PL,Automated Voice,a pry bar. The old scanner won...,5.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,pt_BR,Automated Voice,a pry bar. The old scanner won...,5.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,ru_RU,Automated Voice,a pry bar. The old scanner won...,2.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,uk_UA,Automated Voice,a pry bar. The old scanner won...,2.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P443,loc_id_P443,zh_CN,Automated Voice,a pry bar. The old scanner won...,6.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,en_US,Automated Voice,kick to engage but we have to ...,4.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,ar_SA,Automated Voice,kick to engage but we have to ...,3.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,de_DE,Automated Voice,kick to engage but we have to ...,4.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,es_ES,Automated Voice,kick to engage but we have to ...,3.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,fr_FR,Automated Voice,kick to engage but we have to ...,5.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,he_IL,Automated Voice,kick to engage but we have to ...,7.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,id_ID,Automated Voice,kick to engage but we have to ...,7.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,ja_JP,Automated Voice,kick to engage but we have to ...,5.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,ko_KR,Automated Voice,kick to engage but we have to ...,7.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,nl_NL,Automated Voice,kick to engage but we have to ...,2.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,pl_PL,Automated Voice,kick to engage but we have to ...,7.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,pt_BR,Automated Voice,kick to engage but we have to ...,6.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
