"artifact_path","artifact_type","current_identity","current_visual_or_material_route","canonical_owner","allowed_future_action","forbidden_action","data_monolith_implication","proof_required","status"
"Assets/_Project/Data/Items/Resources/Raw/Data_TitaniumScrap.asset","item_data","stableId Data_TitaniumScrap; GUID e5817766c5653214f8db9a6161026a98; Titanium Scrap","No direct visual; worldPrefab GUID cc05a4753de6c1f48b51d49126443a9c","Inventory/data owner for TitaniumScrap","Preserve stableId, catalog role, stack/category/resource flags, and worldPrefab route unless migrated by explicit owner","Do not rename to Data_Titanium or split a second item identity without save/quest/craft/DataMonolith migration","Must be baked or verified as canonical static item row with stable hash and approved proxy indices","YAML item data plus catalog/quest/craft static search plus DataMonolith bake validation","GREEN_STATIC_CANONICAL_IDENTITY"
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_TitaniumScrap.prefab","canonical_pickup_prefab","Prefab GUID cc05a4753de6c1f48b51d49126443a9c; PickupItem itemData Data_TitaniumScrap","Built-in primitive cube mesh; Mat_Resource_Scrap material","Prefab/product-face owner under Data_TitaniumScrap route","Replace visible mesh/material with project-owned TitaniumScrap shard route while preserving itemData","Do not treat current primitive cube as final visual proof; do not change itemData to Data_Titanium","Runtime binary should reference approved proxy/template identity only if schema owns pickup proxies","Prefab YAML, rendered validation, validator pass, import proof","RED_STATIC_VISUAL_PLACEHOLDER_ON_CANONICAL_ROUTE"
"Assets/_Project/Prefabs/Item_Titanium.prefab","legacy_alias_prefab","Prefab GUID 64bf1bfdf2fc079449f22ccd9187776e; name Item_Titanium; itemData Data_TitaniumScrap; scan entry resource.titanium_fragment","Built-in primitive cube mesh; default/package material GUID 31321ba15b8f8eb4c954353edc038b1d","Legacy compatibility/scanner alias owner; canonical item owner remains Data_TitaniumScrap","Retain only as alias until bootstrap/scanner/scene references migrate; if retained inherit canonical TitaniumScrap visual/material route","Do not make Item_Titanium a separate item, Data_Titanium, or final product-face route","No separate DataMonolith item row unless explicit alias migration row is approved","Scoped reference scan, scanner migration proof, bootstrap migration proof, product-face validator pass","YELLOW_STATIC_COMPATIBILITY_ALIAS"
"Assets/_Project/Art/Materials/Resources/Mat_Resource_Scrap.mat","material","Material GUID 1ab6d90547f252c41bb386cefc8d12c2; shared scrap material name","URP Lit flat base color; BaseMap/BumpMap/MetallicGlossMap/OcclusionMap empty","Material/texture owner for scrap placeholders until replaced by canonical titanium scrap material","Replace with approved albedo, normal, packed mask route or assign a dedicated titanium scrap material","Do not accept flat color or empty texture slots as product-face proof","Runtime binary may reference numeric material/proxy index only after material route validation; source texture provenance stays authoring-side","Material YAML, texture import manifests, validator pass, screenshot proof","RED_STATIC_MATERIAL_PLACEHOLDER"
"Assets/_Project/Data/Items/ItemCatalog.asset","catalog","Contains Data_TitaniumScrap GUID e5817766c5653214f8db9a6161026a98","No visual route","Catalog/data owner","Keep catalog entry pointed at Data_TitaniumScrap; update only through data owner migration","Do not add duplicate Data_Titanium catalog row as shortcut","Catalog hash/order must align with DataMonolith item section if DataMonolith owns runtime items","Catalog YAML and DataMonolith duplicate-hash validation","GREEN_STATIC_CANONICAL_REFERENCE"
"Assets/_Project/Data/Lore/Quests/Quest_FirstHour_CollectTitanium.asset","quest","Quest completion and critical item IDs use Data_TitaniumScrap","No visual route","Quest/data owner consuming canonical item identity","Keep first-hour titanium collection keyed to Data_TitaniumScrap unless migration packet owns quest compatibility","Do not rewrite quest to Data_Titanium without save/progression migration","Quest IDs and item references need DataMonolith/static quest route validation if schema owns quest facts","Quest YAML and progression smoke validation","GREEN_STATIC_CANONICAL_REFERENCE"
"Assets/_Project/Data/Lore/Quests/Quest_FirstHour_CraftScanner.asset","quest","Trigger item ID uses Data_TitaniumScrap; completion is Item_Tool_Scanner","No visual route","Quest/data owner consuming canonical item identity","Keep trigger on Data_TitaniumScrap; scanner tool completion remains separate","Do not conflate scanner craft output with titanium item identity","Quest trigger references must align with baked item hash route if DataMonolith owns quests","Quest YAML and scanner progression validation","GREEN_STATIC_CANONICAL_REFERENCE"
"Assets/_Project/Data/Crafting/Recipes/Recipe_StructuralBracket.asset","recipe","Ingredient GUID e5817766c5653214f8db9a6161026a98; amount 1","No visual route","Crafting/data owner consuming Data_TitaniumScrap","Keep ingredient on Data_TitaniumScrap or migrate through explicit recipe owner","Do not add Data_Titanium ingredient alias without migration","Recipe section must resolve Data_TitaniumScrap hash if DataMonolith owns recipes","Recipe YAML and craft validation","GREEN_STATIC_CANONICAL_REFERENCE"
"Assets/_Project/Data/Crafting/Recipes/Recipe_ReinforcedPlate.asset","recipe","Ingredient GUID e5817766c5653214f8db9a6161026a98; amount 2","No visual route","Crafting/data owner consuming Data_TitaniumScrap","Keep ingredient on Data_TitaniumScrap or migrate through explicit recipe owner","Do not add Data_Titanium ingredient alias without migration","Recipe section must resolve Data_TitaniumScrap hash if DataMonolith owns recipes","Recipe YAML and craft validation","GREEN_STATIC_CANONICAL_REFERENCE"
"Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_TitaniumScrap.asset","resource_node","stableId resource.node.titanium_scrap; lootPickupPrefab PFB_Resource_TitaniumScrap; yield Data_TitaniumScrap","Pickup visual inherited from PFB_Resource_TitaniumScrap; currently primitive placeholder","Resource node/data owner","Keep yield and pickup proxy on canonical TitaniumScrap route; update visuals through prefab/material owner","Do not yield Data_Titanium or a generic scrap item without route packet","Node/yield facts need DataMonolith route if resource nodes are baked","Resource node YAML, harvest validation, DataMonolith schema proof","GREEN_STATIC_CANONICAL_REFERENCE_WITH_VISUAL_RISK"
