Category,RuntimeHits,EditorToolHits,P0Targets,PrimaryRisk,RequiredNextOwner,Status
DirectInput,13,3,"Assets/_Project/Scripts/World/HectonWorldShellController1428.cs lines 115,132-142,153,161,164-165","Active shell can bypass InputDispatcher with Keyboard.current, Mouse.current, Input.GetKey, Input.GetMouseButton, and Input.GetAxisRaw.","Unity/runtime readback owner; input owner","P0_ACTIVE_PLAYER_BLOCKER"
ScreenSpaceOverlay,13,6,"Assets/_Project/Scripts/Visor/SuitHUDScreenCompositor.cs lines 31,288-291; Assets/_Project/Scripts/UI/SuitHUDV4CanvasOverlay.cs lines 2395,2475,7233","Interactive gameplay HUD can be forced into ScreenSpaceOverlay or accepted without physical/diegetic proof.","Unity/runtime readback owner; HUD owner","P0_HUD_ROUTE_BLOCKER"
TMPStringMutation,22,680,"Assets/_Project/Scripts/Bootstrap/GameBootstrapper.cs line 1977; runtime/editor-facade mixed hits require scoped owner review","Static hits exist, but many are editor/tooling labels. Active HUD hot path still requires GCMonitor proof, not grep acceptance.","UI/HUD owner","P1_SCOPE_AND_PROFILER_REQUIRED"
SetActive,199,13,"Multiple runtime files; not classified as all hot-path defects by static grep alone","SetActive is forbidden in hot UI paths and suspicious in gameplay cadence, but static grep cannot classify cadence or pooling context.","Runtime owners by domain","P1_OWNER_TRIAGE_REQUIRED"
CameraMainFind,1,122,"Assets/_Project/Scripts/Scavenging/ScavengingLootOracle.cs line 1892","Runtime Resources.FindObjectsOfTypeAll appears in reload cleanup scan; cadence and context need owner proof.","Scavenging/runtime owner","P2_CONTEXT_REVIEW"
PhysicsCast,0,3,"None outside excluded editor/tooling scan","No non-editor Physics Raycast/SphereCast/CapsuleCast/OverlapSphere hits in this scoped grep.","Physics/runtime owner","STATIC_SCAN_CLEAR_FOR_PATTERN"
StartCoroutine,0,0,"None in current Assets/_Project/Scripts scan; original DRS prepatch hit archived in THERMAL_DRS_STATIC_DEFECT_ANCHORS_20260605","DRS coroutine repair route is source-patched, but compile, Unity Console, Play Mode, GC/profiler, registration churn, and binary artifact proof are still absent.","Graphics scalability owner packets 06 and 07","SOURCE_PATCHED_PENDING_FULL_PROOF"
OnGUI,3,60,"Assets/_Project/Scripts/Physiology/DcsAscentProfileOverlay.cs line 22; other hits are inspector/tool windows","OnGUI exists outside excluded editor folders; must be editor/debug-only or removed from runtime route.","Physiology/debug UI owner","P2_CONTEXT_REVIEW"
MPBAlloc,77,0,"Many runtime cold allocations; not all defects if cold and documented","MPB allocation is allowed only cold; static grep cannot prove no hot allocation. SRP Batcher risk remains per-owner.","Rendering/domain owners","P1_OWNER_TRIAGE_REQUIRED"
MaterialAccess,84,41,"Multiple runtime files; requires scoped material-owner review","renderer.material/materials access can clone/leak or allocate; static grep needs owner/cadence classification.","Rendering/material owners","P1_OWNER_TRIAGE_REQUIRED"
SendMessage,1,0,"Assets/_Project/Scripts/Gameplay/Combat/ArmorPenetrationEditorFacade.cs line 614 string-count scanner hit","Hit is scanner text, not direct runtime SendMessage call in the scoped sample.","Combat/runtime owner","STATIC_SCAN_NO_DIRECT_CALL_IN_SAMPLE"
