"Priority","TextureFamily","RouteMoment","RepresentativeAssets","StaticUsers","CurrentDisposition","EvidenceClass","BlockingRisk","ProofArtifact","OwnerNextAction","RejectionRule","LowTierConsequence","MiddleTierConsequence","HighTierConsequence","UltraTierConsequence"
"P0","foam_contact","surface exit; shoreline contact; photic first impression","Assets/Crest/Crest/Textures/foam.png; Assets/_Project/Art/TEXTURES/foam.png; Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605 foam contact sources","02_HECTON_WORLD via MAT_SurfaceSplashFoamDirty_1428; MAT_H8SurfaceShoreFoam_1428; Hecton Ocean prefab static reachability","REJECTED_VISIBLE_SUPPORT_OR_SOURCE_ONLY","STATIC_SOURCE","Rejected foam is serialized-reachable in active world/ocean material paths; cleanup source is still authoring reference only.","Docs/AssetAudit/ContactSheets/water_foam_caustic_contact_sheet.png","Texture authoring plus Unity material readback owner; import matrix rows: foam_contact albedo, normal, mrao_mask, rgba_contact_mask; prove Crest/ocean slots, import roles, bright shoreline screenshot, Stats/Frame Debugger.","Reject if turquoise pool-foam sheet remains visible, if Crest is patched through wrapper/clone, or if channel/import proof is absent.","No flat foam fallback; preserve contact breakup through compressed role-correct maps and smooth residency control.","Route-owned foam/contact maps only after slot and channel proof.","Spend extra budget on wet-edge detail and shoreline breakup after proof.","Layer micro-breakup and richer waterline response only after memory/render proof."
"P1","sky_aegir_cloud","surface sky first-viewport signal; Aegir/moon/cloud readability","TX_H8AegirGasGiantBakedDisc_1428.png; clouds0_diff.png; Aegir_storms.png; Sky/oblaka!.png; CleanupPass AegirCloud sources","02_HECTON_WORLD via MAT_H8SurfaceGasGiantDisc_1428, MAT_AegirGasGiant_Impostor_1428, Mat_GasGiant, MAT_AegirSky_Master, MAT_H8SurfaceCloudDeck_1428; 01_ORBIT also has static refs","READBACK_BLOCKED_SOURCE_CANDIDATE","STATIC_SOURCE","Old baked disc is soft/toy-like; storm masks are blob-like/source-only; static refs do not prove effective sky shader slots.","Docs/AssetAudit/ContactSheets/sky_aegir_cloud_contact_sheet.png","Celestial/sky material owner; import matrix rows: aegir_cloud band_albedo, storm_mask_rgba, detail; prove Mat_HectonSky/Aegir slots, import role, bright surface screenshot.","Reject toy-marble Aegir, stale/unbound slots, blob storm mask, crushed surface lighting, or use of orbit refs as main-route proof.","Lower mip residency only if Aegir still reads premium and surface remains bright.","Route-owned layered sky material with channel proof.","Extend cloud/detail residency and richer Aegir response after proof.","Add layered atmosphere/detail after Frame Debugger and memory proof."
"P1","terrain_geology_wet_basalt_shell_sand","shoreline; photic terrain; traversal surface; medium-depth route geology","Terrain Textures basalt/sand/sand+green; Rock031 color/normal; TX_H8_WetBasaltShoreline_Albedo_1428; Ground074/Ground079; Docs/GeneratedAssets/Batch31_LocalPBR sources","02_HECTON_WORLD and WorldGenerator via Mat_Terrain, MAT_H8SurfaceWetBasaltReal_1428, MAT_H8TerrainLit_BasaltSediment_1428, Photic terrain materials","CANDIDATE_CLEAN_PBR_BLOCKED","STATIC_SOURCE","Active terrain materials exist, but source mix risks baked lighting, repetition, muddy broad terrain, and unowned generated Docs sources.","Docs/AssetAudit/ContactSheets/terrain_geology_contact_sheet.png","Terrain/material owner; import matrix rows: wet_basalt_shell_sand albedo, normal_mrao; prove clean PBR channel packs, terrain/material readback, tile seams, route screenshot.","Reject blurry mud, baked-light source, repeated ridges, random scan promotion, or terrain material without channel/import proof.","Preserve wet rock/sand identity with compressed maps, baked AO, and no proxy texture fallback.","Use route-owned PBR stacks with tiling breakup and material slot proof.","Add detail normals, decals, wetness masks, and longer residency after proof.","Increase material layering/decal density only after VRAM and render proof."
"P1","flora_coral_imported_stacks","photic shallows organic dressing; reef route silhouettes","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported family coral/kelp albedo, detail, mask, normal stacks","02_HECTON_WORLD and baked flora prefabs via Photic coral materials plus WorldProceduralProxy material paths","CANDIDATE_BLOCKED_BY_MATERIAL_IMPORT_PROOF","STATIC_SOURCE","Source art may be usable, but proxy materials are active in world evidence and streaming mips are often disabled.","Docs/AssetAudit/ContactSheets/flora_coral_fauna_contact_sheet.png","Mesh/prefab/material owner; import matrix rows: flora_coral albedo, normal_detail_mask; prove final material binding, import roles, dither/alpha path, LOD/silhouette screenshot.","Reject proxy-flat organic surfaces, candy-gradient material read, alpha-blend overdraw assumption, hard LOD pops, or unproven material binding.","Keep organic silhouettes and material identity; reduce density smoothly, never swap to primitive proxy pool.","Final family material route and stable LOD crossfade before placement.","Extend LOD residency and detail maps after proof.","Increase near-field density/detail only after Stats and memory proof."
"P0","proxy_placeholder_materials","photic route contamination; route screenshot contamination","Assets/_Project/Art/Materials/WorldProceduralProxy/*.mat; Assets/_Project/Prefabs/WorldProceduralProxy; Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders","02_HECTON_WORLD static refs include WorldProceduralProxy materials for coral/kelp families; candidate prefab pools also reference proxy/placeholder material paths","REJECT_VISIBLE_ROUTE_PLACEMENT","STATIC_SOURCE","Proxy material/prefab paths are static evidence of visible-route contamination risk; they are not acceptable final route material owners.","Docs/AssetAudit/VISUAL_MESH_ASSET_TAXONOMY_20260605.csv","Visible-route owner must replace or prove final non-proxy material paths; no import matrix row until final material family is named.","Reject any visible route placement or screenshot using proxy/placeholder material or primitive placeholder pool.","Never use as low-tier fallback; fewer proven instances beats cheap proxy density.","No product-face use until final material route replaces it.","No product-face use; high-tier must spend budget on final assets, not proxies.","No product-face use; overdetail must come from final route-owned material families."
"P2","ui_oxygen","Suit HUD oxygen readability; first-20 survival feedback","Assets/_Project/Art/Sprites/ui/OXYGEN.png; Assets/_Project/Art/Sprites/oxygen-tank.png","Suit_HUD_Canvas static refs are unresolved by this matrix; visual review says OXYGEN.png is detailed source, oxygen-tank.png is black silhouette/mask","UI_BINDING_AND_ATLAS_PROOF_BLOCKED","STATIC_IMAGE_QA","Detailed oxygen icon source is not proven bound; oxygen-tank mask can be misused as a final colored icon.","Docs/AssetAudit/ContactSheets/ui_textures_contact_sheet.png","UI sprite owner; import matrix rows: ui_oxygen icon_albedo and ui_oxygen_mask mask; prove sprite import, atlas, HUD binding, compact-scale screenshot.","Reject black silhouette as colored final icon, clipped HUD glyph, or atlas/import role ambiguity.","Legible compact HUD scale is mandatory; no decorative noise that weakens oxygen read.","Atlas-bound icon and mask role after proof.","Higher atlas residency only when it improves readability.","No extra visual noise; readability stays first."
"P1","generated_source_only_foam_aegir","source reference for surface contact and Aegir replacement authoring","Docs/GeneratedAssets/AssetSystem_20260605/FoamContactPrototype_20260605; AegirCloudPrototype_20260605; CleanupPass_20260605","No Assets GUID/material binding from Docs source packs; proof index marks packs as source/reference only","SOURCE_ONLY_AUTHORING_BLOCKED","STATIC_DOC","Cleanup sheets improved direction but direct material binding would bypass import roles, shader response, and route screenshot proof.","Docs/AssetAudit/ContactSheets/generated_source_only_contact_sheet.png; Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605","Texture authoring/import owner; use import matrix foam_contact and aegir_cloud rows only after rebuilt role-correct maps and Unity readback proof.","Reject direct Crest/ocean/sky binding from Docs source pack or contact sheet alone.","Use only as source for compressed role-correct maps; no flat replacement texture.","Route-owned material maps after channel proof.","Add detail only after shader-slot response is proven.","Layer extra contact/atmosphere detail only after material and memory proof."
"P1","generated_terrain_source_only_packs","photic seabed and shell/sand source reference","Docs/GeneratedAssets/Batch31_LocalPBR; Docs/GeneratedAssets/Gemini terrain/source packs","No Assets GUID/material binding from Docs source packs; candidate disposition rows mark missing meta/source-only status","SOURCE_ONLY_AUTHORING_BLOCKED","STATIC_DOC","Generated terrain sources can carry baked highlights, seams, false normals/MRAO, and no import metadata.","Docs/AssetAudit/ContactSheets/terrain_geology_contact_sheet.png","Terrain/material owner; create or map to wet_basalt_shell_sand import rows only after cleaned PBR authoring and material route naming.","Reject direct generated terrain import, baked-shadow albedo, naive normal/MRAO maps, or random route use.","No source-only terrain fallback on compact lane.","Use only after clean PBR and material route proof.","Add detail/decal support after proof.","Use as overdetail source only after route, memory, and shader proof."
"P2","unassigned_static_sources","future material source pool; no current route moment","FLOOR.png; FLOOR1.png; ORGANIC.png; mineral seep masks; soft plume noise; prologue planet surface maps","Some rows have no material users; several have streaming_mips disabled or mask sRGB/type risk in static disposition evidence","UNASSIGNED_STATIC_SOURCE","STATIC_SOURCE","Useful-looking sources lack owner, material role, import role, proof target, and route placement boundary.","Docs/AssetAudit/ContactSheets/unknown_textures_contact_sheet.png","Assign owner, material role, target route, and import matrix row before any use; then prove import settings and material binding.","Reject opportunistic use as route art, fallback texture, decal source, or mask without owner and import role.","No opportunistic fallback texture on low lane.","Use only after role assignment and proof packet.","Promote detail sources only after route proof.","Use as overdetail only after material, memory, and screenshot proof."
"P1","external_and_prototype_material_refs","surface ocean integrity; route material contamination boundary","Assets/Crest/Crest/Materials/Ocean.mat; Ocean-Underwater.mat; Feel/MM prototype material refs","_Project prefab/scene static refs point to Crest and Feel/MM materials, but internals were outside _Project material scan","READBACK_REQUIRED_EXTERNAL_REF","STATIC_SOURCE","Third-party material internals were not covered by the _Project-only scan; Crest material route cannot be patched by runtime wrappers or clones.","Docs/AssetAudit/TEXTURE_MATERIAL_USAGE_REVIEW_20260605.md","Unity readback owner plus third-party integrity check; no import matrix row until effective texture slots are read back.","Reject custom Crest wrapper, cloned material route, prototype material in route screenshot, or any patch made from static text alone.","Use asset material path only; no low-tier clone hack.","Prove material path and slots before route claim.","Richer response only through approved material route after proof.","Increase visual response only after proof; ownership route stays unchanged."
