release_set,packet_id,article_id,loc_namespace,loc_id,locale,status,surface,title,scanner_short,codex_short,audio_subtitle,terminal_summary,field_note,notes
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,en_US,SOURCE_AUTHORITY,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,ar_SA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,de_DE,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,es_ES,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,fr_FR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,he_IL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,id_ID,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,ja_JP,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,ko_KR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,nl_NL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,pl_PL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,pt_BR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,ru_RU,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,uk_UA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P440,ART_P440,ns.lore.P440,loc_id_P440,zh_CN,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 440: Operation Abyss-76,completely missed. The shift supervisor reassigned,An unmarked transport module leaked dense brine wi,gravel and we're out of patches. The contractor's ,liability assessment withheld the final payout cit,The heavy lifter crane triggered an automatic lock,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,en_US,SOURCE_AUTHORITY,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,ar_SA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,de_DE,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,es_ES,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,fr_FR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,he_IL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
