release_set,packet_id,locale,check_type,status,finding,risk,next_review_action
RS110,P410_CAPSULE_SEAL_SWEAT,en_US,VOICE_REGISTER,PASS_STATIC_DRAFT,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,ar_SA,SPOILER_BOUNDARY,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,de_DE,SPOILER_BOUNDARY,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,es_ES,RTL_DIRECTION,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,fr_FR,TERMINOLOGY_LOCK,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,he_IL,EXPANSION_RISK,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,id_ID,TERMINOLOGY_LOCK,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,ja_JP,EXPANSION_RISK,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,ko_KR,UNIT_AND_NUMBER_PRESERVATION,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,nl_NL,TERMINOLOGY_LOCK,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,pl_PL,RTL_DIRECTION,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,pt_BR,EXPANSION_RISK,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,ru_RU,CJK_GLYPH_SCOPE,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,uk_UA,ID_PRESERVATION,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P410_CAPSULE_SEAL_SWEAT,zh_CN,TERMINOLOGY_LOCK,NEEDS_NATIVE_REVIEW,Pending,Low,Schedule Review
RS110,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,en_US,CJK_GLYPH_SCOPE,PASS_STATIC_DRAFT,Pending,Low,Schedule Review
