macro,channel,min_height,max_height,min_slope,max_slope,noise_frequency,blend_softness
0,rock,0.00,1.00,34.0,90.0,0.35,0.080
0,sand,0.34,1.00,0.0,38.0,0.28,0.100
0,silt,0.00,0.46,0.0,30.0,0.32,0.120
0,erosion,0.00,0.58,0.0,24.0,0.20,0.090
1,rock,0.24,1.00,28.0,90.0,0.26,0.070
1,sand,0.18,0.86,0.0,34.0,0.22,0.095
1,silt,0.00,0.62,0.0,28.0,0.38,0.135
1,erosion,0.00,0.70,0.0,20.0,0.24,0.115
2,rock,0.58,1.00,24.0,90.0,0.42,0.065
2,sand,0.22,0.92,0.0,30.0,0.34,0.085
2,silt,0.00,0.40,0.0,24.0,0.28,0.105
2,erosion,0.00,0.50,0.0,18.0,0.18,0.090
